bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
GB6-220,220,f,Substation,f,GB6,-2.7300015,57.6863438,GB,POINT (-2.7300014999999886 57.686343796527915)
GB60-275,275,f,Substation,f,GB60,-2.1426196,52.36271319,GB,POINT (-2.1426195999999984 52.36271319488366)
GB61-275,275,f,Substation,f,GB61,-2.1249941,52.33712359,GB,POINT (-2.1249940999999852 52.33712359487318)
# GB62-220,220,f,Substation,f,GB62,2.5060803,52.24850499,GB,POINT (2.5060803000000034 52.24850499483682)
GB63-400,400,f,Substation,f,GB63,0.7255421,52.00039309,GB,POINT (0.7255420999999999 52.00039309473329)
# GB64-220,220,f,Substation,f,GB64,1.4246125,51.99963089,GB,POINT (1.424612499999998 51.999630894733)
GB65-400,400,f,Substation,f,GB65,-2.5976167,51.57876009,GB,POINT (-2.5976166999999943 51.5787600945513)
GB66-275,275,f,Substation,f,GB66,-3.143064416,51.54750643,GB,POINT (-3.1430644156273626 51.547506432123015)
GB68-275,275,f,Substation,f,GB68,-3.07819122,51.52427984,GB,POINT (-3.0781912197554986 51.52427983892058)
GB69-400,400,f,Substation,f,GB69,0.4716213,51.52161159,GB,POINT (0.4716212999999999 51.521611594526036)
GB7-275,275,f,Substation,f,GB7,-2.138815132,57.1742089,GB,POINT (-2.138815131785305 57.17420890242598)
GB71-275,275,f,Substation,f,GB71,-3.3339055,51.49921789,GB,POINT (-3.333905499999989 51.49921789451607)
GB72-400,400,f,Substation,f,GB72,-0.192474902,51.48511555,GB,POINT (-0.1924749018915612 51.48511554655634)
GB73-400,400,f,Substation,f,GB73,0.312917224,51.4592273,GB,POINT (0.3129172239189796 51.45922730034507)
GB74-275,275,f,Substation,f,GB74,0.165175041,51.44333737,GB,POINT (0.1651750409676874 51.443337371904725)
GB74-400,400,f,Substation,f,GB74,0.165436907,51.44355166,GB,POINT (0.1654369068235738 51.443551664677564)
GB75-400,400,f,Substation,f,GB75,0.6902156,51.44033449,GB,POINT (0.6902156000000071 51.440334494489846)
GB76-275,275,f,Substation,f,GB76,-0.0881416,51.36570379,GB,POINT (-0.0881415999999956 51.3657037944564)
GB78-400,400,f,Substation,f,GB78,0.0516055,51.34658629,GB,POINT (0.0516054999999982 51.34658629444776)
GB79-400,400,f,Substation,f,GB79,0.036362,51.34532109,GB,POINT (0.0363620000000033 51.3453210944472)
GB8-220,220,f,Substation,f,GB8,-1.7589614,56.5849318,GB,POINT (-1.7589613999999976 56.58493179626428)
GB81-400,400,f,Substation,f,GB81,-2.950594572,51.18265582,GB,POINT (-2.9505945719637627 51.18265582483288)
GB82-275,275,f,Substation,f,GB82,0.96410185,50.9143972,GB,POINT (0.9641018499933217 50.91439719547431)
GB83-400,400,f,Substation,f,GB83,-1.4746633,50.90390799,GB,POINT (-1.4746632999999942 50.903907994243845)
GB9-275,275,f,Substation,f,GB9,-3.3055849,56.1404298,GB,POINT (-3.3055848999999915 56.14042979614795)
relation/10377509-400,400,f,Substation,f,relation/10377509,-3.050444102,55.03199063,GB,POINT (-3.0504441021355966 55.03199063013473)
relation/10695345,400,t,Substation,f,relation/10695345,1.345638898,51.30987814,GB,POINT (1.3456388979917795 51.3098781414565)
relation/10695345-400,400,f,Substation,f,relation/10695345,1.345638898,51.30987814,GB,POINT (1.3456388979917684 51.30987814424089)
relation/10925187-275,275,f,Substation,f,relation/10925187,-1.49655456,53.77709845,GB,POINT (-1.4965545603383181 53.77709844561821)
relation/11051275-400,400,f,Substation,f,relation/11051275,-2.670464759,54.29765311,GB,POINT (-2.6704647586994694 54.29765310564759)
relation/11543333-400,400,f,Substation,f,relation/11543333,-1.555028214,54.70567199,GB,POINT (-1.5550282140403664 54.70567199074047)
relation/12543034-275,275,f,Substation,f,relation/12543034,-3.299087619,51.57455529,GB,POINT (-3.2990876190347147 51.574555293822065)
relation/13110367-400,400,f,Substation,f,relation/13110367,-4.989693057,51.68215993,GB,POINT (-4.989693057134756 51.6821599313734)
relation/13110368-275,275,f,Substation,f,relation/13110368,-1.255426653,52.86342639,GB,POINT (-1.255426653086503 52.86342638561905)
relation/13110368-400,400,f,Substation,f,relation/13110368,-1.255163941,52.86364381,GB,POINT (-1.2551639405673118 52.863643805547966)
relation/13110369-400,400,f,Substation,f,relation/13110369,-0.80883446,53.35935915,GB,POINT (-0.8088344601805582 53.35935914632314)
relation/13186702-275,275,f,Substation,f,relation/13186702,-2.97612483,51.54838496,GB,POINT (-2.976124830461531 51.548384955887606)
relation/14921826-275,275,f,Substation,f,relation/14921826,-2.96240536,54.94214226,GB,POINT (-2.9624053599211826 54.94214225873508)
relation/14921826-400,400,f,Substation,f,relation/14921826,-2.962139659,54.94236341,GB,POINT (-2.9621396593512914 54.94236341489138)
relation/2452471-275,275,f,Substation,f,relation/2452471,-3.860721547,56.00757672,GB,POINT (-3.860721547474732 56.00757671967789)
relation/7650368-400,400,f,Substation,f,relation/7650368,-0.500739962,51.93429316,GB,POINT (-0.5007399619516261 51.93429316098837)
relation/7872518-400,400,f,Substation,f,relation/7872518,0.575898117,51.86573283,GB,POINT (0.5758981171408185 51.86573282741804)
relation/7879831-275,275,f,Substation,f,relation/7879831,-3.958613809,51.68587296,GB,POINT (-3.958613809406172 51.68587295880674)
relation/7879831-400,400,f,Substation,f,relation/7879831,-3.958370213,51.6860959,GB,POINT (-3.9583702131720218 51.68609590314178)
relation/7880111-275,275,f,Substation,f,relation/7880111,-0.48424131,51.3504784,GB,POINT (-0.4842413102397478 51.350478403863626)
relation/7880111-400,400,f,Substation,f,relation/7880111,-0.483982929,51.35069411,GB,POINT (-0.4839829291472356 51.35069410569256)
