LoadID,bus_name,load_weight,RegionName
143,way/166703764-275,0.00050729,East Kilbride
144,relation/7894974-275,0.000517418,Strathaven
145,relation/7894974-400,0.000574352,Strathaven
146,way/212779654-400,0.000576046,Wishaw
147,way/212779654-400,0.000576046,Wishaw
148,way/143383456-400,0.000582894,Linnmill
149,way/143383456-400,0.000582894,Linnmill
150,way/143383456-400,0.000548517,Linnmill
151,way/284874050-275,0.000478176,Linnmill
152,way/472289073-275,0.000524036,Dumfries
153,way/472289073-275,0.000496278,Dumfries
154,way/472289073-275,0.000496278,Dumfries
155,way/676646876-400,0.000525601,Dumfries
156,way/676646876-400,0.000630509,Dumfries
157,relation/10377509-400,0.001187042,Chapelcross
158,relation/14921826-275,0.001641254,Harker
159,relation/14921826-275,0.001641254,Harker
160,way/89427607-400,0.000625596,Wylfa
161,way/94004582-400,0.00042363,Heysham
162,GB22-400,0.001500873,Stanah
163,way/153884024-275,0.002344233,Birkenhead
164,way/1153252242-275,0.003160433,Lister Drive
165,way/81098733-275,0.001443827,Washway Farm
166,GB47-400,0.00126085,Pentir
167,GB49-400,0.001330342,Pentir
168,way/1214332448-275,0.001263543,Trawsfynydd
169,way/280317944-220,0.001543864,Connahs Quay
170,way/89573357-400,0.001465131,Trawsfynydd
171,way/89573357-400,0.001465131,Trawsfynydd
172,GB50-400,0.001606232,Legacy
173,way/23164132-275,0.003235212,Capenhurst
174,way/23164132-275,0.003235212,Capenhurst
175,way/95338682-400,0.003238807,Legacy
176,way/102198808-400,0.000370309,Eccles
177,way/143221984-275,0.001064783,Fourstones
178,GB16-400,0.002286703,Stella South
179,GB16-400,0.002286703,Stella South
180,way/642490160,0.001544162,Blyth 66kV
181,way/642490160,0.001544162,Blyth 66kV
182,way/642490160,0.004012338,Blyth 66kV
183,way/96630594-275,0.002535436,Tynemouth
184,relation/11051275-400,0.001941377,Hutton
185,way/184584639-275,0.001802767,South Shields
186,way/200635683-275,0.001671859,Offerton
187,way/1297690788-275,0.001021982,Hart Moor
188,way/1297690788-275,0.00192173,Hart Moor
189,way/1297690788-275,0.003655837,Hart Moor
190,way/97561542-275,0.002110658,Lackenby
191,way/109730296-400,0.002136545,Lackenby
192,way/142397822-400,0.004148105,Lackenby
193,way/142397822-400,0.004148105,Lackenby
194,way/97561542-275,0.003108846,Lackenby
195,GB20-400,0.000790754,Heysham
196,relation/7894483-400,0.003370635,Padiham
197,relation/7894975-400,0.003810345,Penwortham
198,relation/7894975-400,0.003810345,Penwortham
199,way/81098733-275,0.002867617,Washway Farm
200,way/367005272-275,0.003212576,Rainhill
