NationalGridBmUnit,lat,lon,capacity,carrier
IBG-CEZC1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-CGML1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-CNGS1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-CONS1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-CONV1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-COPN1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-DARE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-DMCC1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-DNGN1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-DSKC1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-DUFE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-DVAL1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-EDFT1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-EDMK1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-EGLE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ELEE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ELTR1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ENEL1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ENET1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ENGM1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ENSP1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ENTC1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-EOET1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-EPCO1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ERVA1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-EZCO1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-FPCD1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-GAZP1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-GLEN1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-HART1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-HELI1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-IBES1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-IDCE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-INCM1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-KCST1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-LTFD1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-MCRA1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-MFTE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-MONL1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-NEAS1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-NITR1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-NORL1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-NTPL1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-OMPX1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-OPMX1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-OUTL1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-PETC1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-PTRS1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-PWMR1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-PZEM1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-QUAR1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-QUEN1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-RESP1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-RWES1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-SETL1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-SSEG1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-STAT1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-TGPL1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-TRFD1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-TRFG1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-TRLS1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-VETR1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-VOLT1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-VSAL1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-XNON1,51.46000000000001,0.6530000000000001,0.0,interconnector
IED-ELEC1,51.59477777777778,-0.0017444444444444,0.0,interconnector
IED-EWIC1,51.59477777777778,-0.0017444444444444,0.0,interconnector
IED-IFA2,51.59477777777778,-0.0017444444444444,0.0,interconnector
IED-MOYL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
IED-VKL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
IEG-ELEC1,51.59477777777778,-0.0017444444444444,0.0,interconnector
IEG-EWIC1,51.59477777777778,-0.0017444444444444,0.0,interconnector
IEG-IFA2,51.59477777777778,-0.0017444444444444,0.0,interconnector
IEG-MOYL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
IEG-VKL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
IFD-ACCE1,51.105,0.9734000000000004,0.0,interconnector
IFD-ALEU1,51.105,0.9734000000000004,0.0,interconnector
IFD-ALIP1,51.105,0.9734000000000004,0.0,interconnector
IFD-ARON1,51.105,0.9734000000000004,0.0,interconnector
IFD-BDEN1,51.105,0.9734000000000004,0.0,interconnector
IFD-BKWE1,51.105,0.9734000000000004,0.0,interconnector
IFD-BNPS1,51.105,0.9734000000000004,0.0,interconnector
IFD-BPGE1,51.105,0.9734000000000004,0.0,interconnector
IFD-CBST1,51.105,0.9734000000000004,0.0,interconnector
IFD-CETL1,51.105,0.9734000000000004,0.0,interconnector
IFD-CEZC1,51.105,0.9734000000000004,0.0,interconnector
IFD-CGML1,51.105,0.9734000000000004,0.0,interconnector
IFD-CNGS1,51.105,0.9734000000000004,0.0,interconnector
IFD-CNRE1,51.105,0.9734000000000004,0.0,interconnector
IFD-CONS1,51.105,0.9734000000000004,0.0,interconnector
IFD-CONV1,51.105,0.9734000000000004,0.0,interconnector
IFD-COPN1,51.105,0.9734000000000004,0.0,interconnector
IFD-DARE1,51.105,0.9734000000000004,0.0,interconnector
IFD-DMCC1,51.105,0.9734000000000004,0.0,interconnector
IFD-DNGN1,51.105,0.9734000000000004,0.0,interconnector
IFD-DSKC1,51.105,0.9734000000000004,0.0,interconnector
IFD-DUEN1,51.105,0.9734000000000004,0.0,interconnector
IFD-DUFE1,51.105,0.9734000000000004,0.0,interconnector
IFD-DVAL1,51.105,0.9734000000000004,0.0,interconnector
IFD-ECCA1,51.105,0.9734000000000004,0.0,interconnector
IFD-EDFT1,51.105,0.9734000000000004,0.0,interconnector
IFD-EDMK1,51.105,0.9734000000000004,0.0,interconnector
IFD-EGLE1,51.105,0.9734000000000004,0.0,interconnector
IFD-ELEE1,51.105,0.9734000000000004,0.0,interconnector
IFD-ELTR1,51.105,0.9734000000000004,0.0,interconnector
IFD-ENEL1,51.105,0.9734000000000004,0.0,interconnector
IFD-ENET1,51.105,0.9734000000000004,0.0,interconnector
IFD-ENKI1,51.105,0.9734000000000004,0.0,interconnector
IFD-ENSC1,51.105,0.9734000000000004,0.0,interconnector
IFD-ENSP1,51.105,0.9734000000000004,0.0,interconnector
IFD-ENTC1,51.105,0.9734000000000004,0.0,interconnector
IFD-ENVM1,51.105,0.9734000000000004,0.0,interconnector
IFD-EOET1,51.105,0.9734000000000004,0.0,interconnector
IFD-EPCO1,51.105,0.9734000000000004,0.0,interconnector
IFD-ERVA1,51.105,0.9734000000000004,0.0,interconnector
IFD-EZCO1,51.105,0.9734000000000004,0.0,interconnector
IFD-FPCD1,51.105,0.9734000000000004,0.0,interconnector
IFD-GASE1,51.105,0.9734000000000004,0.0,interconnector
IFD-GAZP1,51.105,0.9734000000000004,0.0,interconnector
IFD-GDFE1,51.105,0.9734000000000004,0.0,interconnector
IFD-GLEN1,51.105,0.9734000000000004,0.0,interconnector
IFD-GRMT1,51.105,0.9734000000000004,0.0,interconnector
IFD-HART1,51.105,0.9734000000000004,0.0,interconnector
IFD-HELI1,51.105,0.9734000000000004,0.0,interconnector
IFD-IBES1,51.105,0.9734000000000004,0.0,interconnector
IFD-INCM1,51.105,0.9734000000000004,0.0,interconnector
IFD-KCST1,51.105,0.9734000000000004,0.0,interconnector
IFD-LTFD1,51.105,0.9734000000000004,0.0,interconnector
IFD-MCRA1,51.105,0.9734000000000004,0.0,interconnector
IFD-MFTE1,51.105,0.9734000000000004,0.0,interconnector
IFD-MQBN1,51.105,0.9734000000000004,0.0,interconnector
IFD-NEAS1,51.105,0.9734000000000004,0.0,interconnector
IFD-NEHO1,51.105,0.9734000000000004,0.0,interconnector
IFD-NITR1,51.105,0.9734000000000004,0.0,interconnector
IFD-NORL1,51.105,0.9734000000000004,0.0,interconnector
IFD-NTPL1,51.105,0.9734000000000004,0.0,interconnector
IFD-NVAL1,51.105,0.9734000000000004,0.0,interconnector
IFD-OMPX1,51.105,0.9734000000000004,0.0,interconnector
IFD-OPMX1,51.105,0.9734000000000004,0.0,interconnector
IFD-OUTL1,51.105,0.9734000000000004,0.0,interconnector
IFD-PLAN1,51.105,0.9734000000000004,0.0,interconnector
IFD-PTRS1,51.105,0.9734000000000004,0.0,interconnector
IFD-PWMR1,51.105,0.9734000000000004,0.0,interconnector
IFD-QUAR1,51.105,0.9734000000000004,0.0,interconnector
IFD-QUEN1,51.105,0.9734000000000004,0.0,interconnector
IFD-RESP1,51.105,0.9734000000000004,0.0,interconnector
IFD-RISQ1,51.105,0.9734000000000004,0.0,interconnector
IFD-RWES1,51.105,0.9734000000000004,0.0,interconnector
IFD-SETL1,51.105,0.9734000000000004,0.0,interconnector
IFD-SSEG1,51.105,0.9734000000000004,0.0,interconnector
IFD-STAT1,51.105,0.9734000000000004,0.0,interconnector
IFD-TFEE1,51.105,0.9734000000000004,0.0,interconnector
IFD-TRFD1,51.105,0.9734000000000004,0.0,interconnector
IFD-TRFG1,51.105,0.9734000000000004,0.0,interconnector
IFD-TRLS1,51.105,0.9734000000000004,0.0,interconnector
IFD-VOLT1,51.105,0.9734000000000004,0.0,interconnector
IFD-VSAL1,51.105,0.9734000000000004,0.0,interconnector
IFD-VTFS1,51.105,0.9734000000000004,0.0,interconnector
IFD-XNON1,51.105,0.9734000000000004,0.0,interconnector
IFG-ACCE1,51.105,0.9734000000000004,0.0,interconnector
IFG-ALEU1,51.105,0.9734000000000004,0.0,interconnector
