NationalGridBmUnit,carrier,bus,lon,lat
IFG-DUEN1,interconnector,4977,0.9734000000000004,51.105
IFG-DUFE1,interconnector,4977,0.9734000000000004,51.105
IFG-DVAL1,interconnector,4977,0.9734000000000004,51.105
IFG-ECCA1,interconnector,4977,0.9734000000000004,51.105
IFG-EDFT1,interconnector,4977,0.9734000000000004,51.105
IFG-EDMK1,interconnector,4977,0.9734000000000004,51.105
IFG-EGLE1,interconnector,4977,0.9734000000000004,51.105
IFG-ELEE1,interconnector,4977,0.9734000000000004,51.105
IFG-ELTR1,interconnector,4977,0.9734000000000004,51.105
IFG-ENEL1,interconnector,4977,0.9734000000000004,51.105
IFG-ENET1,interconnector,4977,0.9734000000000004,51.105
IFG-ENKI1,interconnector,4977,0.9734000000000004,51.105
IFG-ENSC1,interconnector,4977,0.9734000000000004,51.105
IFG-ENSP1,interconnector,4977,0.9734000000000004,51.105
IFG-ENTC1,interconnector,4977,0.9734000000000004,51.105
IFG-ENVM1,interconnector,4977,0.9734000000000004,51.105
IFG-EOET1,interconnector,4977,0.9734000000000004,51.105
IFG-EPCO1,interconnector,4977,0.9734000000000004,51.105
IFG-ERVA1,interconnector,4977,0.9734000000000004,51.105
IFG-EZCO1,interconnector,4977,0.9734000000000004,51.105
IFG-FPCD1,interconnector,4977,0.9734000000000004,51.105
IFG-GASE1,interconnector,4977,0.9734000000000004,51.105
IFG-GAZP1,interconnector,4977,0.9734000000000004,51.105
IFG-GDFE1,interconnector,4977,0.9734000000000004,51.105
IFG-GLEN1,interconnector,4977,0.9734000000000004,51.105
IFG-GRMT1,interconnector,4977,0.9734000000000004,51.105
IFG-HART1,interconnector,4977,0.9734000000000004,51.105
IFG-HELI1,interconnector,4977,0.9734000000000004,51.105
IFG-IBES1,interconnector,4977,0.9734000000000004,51.105
IFG-INCM1,interconnector,4977,0.9734000000000004,51.105
IFG-KCST1,interconnector,4977,0.9734000000000004,51.105
IFG-LTFD1,interconnector,4977,0.9734000000000004,51.105
IFG-MCRA1,interconnector,4977,0.9734000000000004,51.105
IFG-MFTE1,interconnector,4977,0.9734000000000004,51.105
IFG-MQBN1,interconnector,4977,0.9734000000000004,51.105
IFG-NEAS1,interconnector,4977,0.9734000000000004,51.105
IFG-NEHO1,interconnector,4977,0.9734000000000004,51.105
IFG-NITR1,interconnector,4977,0.9734000000000004,51.105
IFG-NORL1,interconnector,4977,0.9734000000000004,51.105
IFG-NTPL1,interconnector,4977,0.9734000000000004,51.105
IFG-NVAL1,interconnector,4977,0.9734000000000004,51.105
IFG-OMPX1,interconnector,4977,0.9734000000000004,51.105
IFG-OPMX1,interconnector,4977,0.9734000000000004,51.105
IFG-OUTL1,interconnector,4977,0.9734000000000004,51.105
IFG-PLAN1,interconnector,4977,0.9734000000000004,51.105
IFG-PTRS1,interconnector,4977,0.9734000000000004,51.105
IFG-PWMR1,interconnector,4977,0.9734000000000004,51.105
IFG-QUAR1,interconnector,4977,0.9734000000000004,51.105
IFG-QUEN1,interconnector,4977,0.9734000000000004,51.105
IFG-RESP1,interconnector,4977,0.9734000000000004,51.105
IFG-RISQ1,interconnector,4977,0.9734000000000004,51.105
IFG-RWES1,interconnector,4977,0.9734000000000004,51.105
IFG-SETL1,interconnector,4977,0.9734000000000004,51.105
IFG-SSEG1,interconnector,4977,0.9734000000000004,51.105
IFG-STAT1,interconnector,4977,0.9734000000000004,51.105
IFG-TFEE1,interconnector,4977,0.9734000000000004,51.105
IFG-TRFD1,interconnector,4977,0.9734000000000004,51.105
IFG-TRFG1,interconnector,4977,0.9734000000000004,51.105
IFG-TRLS1,interconnector,4977,0.9734000000000004,51.105
IFG-VOLT1,interconnector,4977,0.9734000000000004,51.105
IFG-VSAL1,interconnector,4977,0.9734000000000004,51.105
IFG-VTFS1,interconnector,4977,0.9734000000000004,51.105
IFG-XNON1,interconnector,4977,0.9734000000000004,51.105
ILD-ARON1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-BKWE1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-BPGM1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-CBST1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-CENT1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-CETL1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-CEZC1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-CONS1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-COPN1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-DARE1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-DMCC1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-DSKC1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-DUEN1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-DUFE1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-DVAL1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-EDFT1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-EDMK1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-ELTR1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-ENGM1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-ENSC1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-ENTC1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-EPCO1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-GLEN1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-HART1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-INCM1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-MCRA1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-MFTE1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-NEAS1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-NEHO1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-NITR1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-NORL1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-NTPL1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-NWAT1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-OPMX1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-OUTL1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-PREP1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-PWMR1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-QUAR1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-RESP1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-RISQ1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-RWES1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-SEFE1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-SETL1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-TGPL1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-TRFD1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-TRFG1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-TRLS1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-VOLT1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-VSAL1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-VTFS1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILD-XNON1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-ARON1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-BKWE1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-BPGM1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-CBST1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-CENT1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-CETL1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-CEZC1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-CONS1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-COPN1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-DARE1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-DMCC1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-DSKC1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-DUEN1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-DUFE1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-DVAL1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-EDFT1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-EDMK1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-ELTR1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-ENGM1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-ENSC1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-ENTC1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-EPCO1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-EZCO1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-GLEN1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-HART1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-HELI1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-INCM1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-MCRA1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-MFTE1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-NEAS1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-NEHO1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-NITR1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-NORL1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-NTPL1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-NWAT1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-OPMX1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-OUTL1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-PREP1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-PWMR1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-QUAR1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-RESP1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-RISQ1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-RWES1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-SEFE1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-SETL1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-TGPL1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-TRFD1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-TRFG1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-TRLS1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-VOLT1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-VSAL1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-VTFS1,interconnector,5269,-0.0017444444444444,51.59477777777778
ILG-XNON1,interconnector,5269,-0.0017444444444444,51.59477777777778
ING-ALIP1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-ALPE1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-ARON1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-AXPO1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-BDEN1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-BKWE1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-BPGM1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-CBST1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-CENT1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-CEZC1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-CNGS1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-CONS1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-CONV1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-COPN1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-DARE1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-DMCC1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-DSKC1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-DUFE1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-DVAL1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-EDFT1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-EDMK1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-ELEE1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-ELTR1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-ENET1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-ENTC1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-EPCO1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-GASE1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-GAZP1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-GLEN1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-HELI1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-IDCE1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-INCM1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-KCST1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-LMUS1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-MCRA1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-MFTE1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-NEAS1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-NEHO1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-NEMO1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-NITR1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-NORL1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-NTPL1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-OMPX1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-OPMX1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-OUTL1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-PWMR1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-QUEN1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-RESP1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-RISQ1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-RWES1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-SETL1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-SSEG1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-STAT1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-TGPL1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-TRFD1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-TRFG1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-TRLS1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-VOLT1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-VSAL1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-VTET1,interconnector,4955,0.8645384615384615,51.808076923076925
ING-XNON1,interconnector,4955,0.8645384615384615,51.808076923076925
ISD-DMCC1,interconnector,5950,-1.521,55.144
ISD-NDPL1,interconnector,5950,-1.521,55.144
ISG-DMCC1,interconnector,5950,-1.521,55.144
ISG-NDPL1,interconnector,5950,-1.521,55.144
IVD-ALIP1,interconnector,7909,-0.221,52.931
IVD-BDEN1,interconnector,7909,-0.221,52.931
IVD-CACM1,interconnector,7909,-0.221,52.931
IVD-COPN1,interconnector,7909,-0.221,52.931
IVD-DSKC1,interconnector,7909,-0.221,52.931
IVD-DVAL1,interconnector,7909,-0.221,52.931
IVD-EDMK1,interconnector,7909,-0.221,52.931
IVD-EENG1,interconnector,7909,-0.221,52.931
IVD-ELTR1,interconnector,7909,-0.221,52.931
IVD-ENSC1,interconnector,7909,-0.221,52.931
IVD-EZCO1,interconnector,7909,-0.221,52.931
IVD-HART1,interconnector,7909,-0.221,52.931
IVD-INCM1,interconnector,7909,-0.221,52.931
IVD-MFTE1,interconnector,7909,-0.221,52.931
IVD-NEAS1,interconnector,7909,-0.221,52.931
IVD-NEHO1,interconnector,7909,-0.221,52.931
IVD-NITR1,interconnector,7909,-0.221,52.931
IVD-NORL1,interconnector,7909,-0.221,52.931
IVD-NTPL1,interconnector,7909,-0.221,52.931
IVD-OPMX1,interconnector,7909,-0.221,52.931
IVD-PWMR1,interconnector,7909,-0.221,52.931
IVD-QUEN1,interconnector,7909,-0.221,52.931
IVD-RESP1,interconnector,7909,-0.221,52.931
IVD-RWES1,interconnector,7909,-0.221,52.931
IVD-TGPL1,interconnector,7909,-0.221,52.931
IVD-TRLS1,interconnector,7909,-0.221,52.931
IVD-VSAL1,interconnector,7909,-0.221,52.931
IVD-VTFS1,interconnector,7909,-0.221,52.931
IVG-ALIP1,interconnector,7909,-0.221,52.931
IVG-BDEN1,interconnector,7909,-0.221,52.931
IVG-CACM1,interconnector,7909,-0.221,52.931
IVG-COPN1,interconnector,7909,-0.221,52.931
IVG-DSKC1,interconnector,7909,-0.221,52.931
IVG-DVAL1,interconnector,7909,-0.221,52.931
IVG-EDMK1,interconnector,7909,-0.221,52.931
IVG-EENG1,interconnector,7909,-0.221,52.931
IVG-ELTR1,interconnector,7909,-0.221,52.931
IVG-ENSC1,interconnector,7909,-0.221,52.931
IVG-EZCO1,interconnector,7909,-0.221,52.931
IVG-HART1,interconnector,7909,-0.221,52.931
IVG-INCM1,interconnector,7909,-0.221,52.931
IVG-MFTE1,interconnector,7909,-0.221,52.931
IVG-NEAS1,interconnector,7909,-0.221,52.931
IVG-NEHO1,interconnector,7909,-0.221,52.931
IVG-NITR1,interconnector,7909,-0.221,52.931
IVG-NORL1,interconnector,7909,-0.221,52.931
IVG-NTPL1,interconnector,7909,-0.221,52.931
IVG-OPMX1,interconnector,7909,-0.221,52.931
IVG-PWMR1,interconnector,7909,-0.221,52.931
IVG-QUEN1,interconnector,7909,-0.221,52.931
IVG-RESP1,interconnector,7909,-0.221,52.931
IVG-RWES1,interconnector,7909,-0.221,52.931
IVG-TGPL1,interconnector,7909,-0.221,52.931
IVG-TRLS1,interconnector,7909,-0.221,52.931
IVG-VSAL1,interconnector,7909,-0.221,52.931
IVG-VTFS1,interconnector,7909,-0.221,52.931
CAS-BEU01,cascade,6438,-4.552586,57.444705
CAS-CLU01,cascade,6460,-3.778355,56.716948
CAS-CON01,cascade,6437,-4.830066,57.619203
CAS-GAR01,cascade,6437,-5.289194,57.066143
CAS-KIL01,cascade,8019,-4.307751,56.470679
CAS-MOR01,cascade,6437,-4.962463,57.144936
SLOY-1,hydro,6454,-4.735107,56.200593
SLOY-4,hydro,6454,-4.735107,56.200593
RHAMD-1,load,6029,-1.319,53.452
ACHRW-1,onwind,8520,-2.492993,55.923317
AFTOW-1,onwind,5905,-4.165,55.312
AKGLW-2,onwind,5893,-4.713441,54.970896
AKGLW-3,onwind,5893,-4.713441,54.970896
ANSUW-1,onwind,5899,-4.63623,55.14121
ARCHW-1,onwind,5893,-4.825652,55.222814
BEINW-1,onwind,6438,-4.42749,58.077876
BHLAW-1,onwind,5914,-4.033976,55.117955
BLKWW-1,onwind,5915,-3.482666,55.590763
BOWLW-1,offwind,5896,-5.537109,55.683779
BURWS-1,solar,4950,0.302,52.283
BUSTB-1,battery,6011,-2.02,52.549
CARR-1,fossil,5980,-2.504883,53.455349
CARR-2,fossil,5980,-2.504883,53.455349
CDCL-1,fossil,6045,-0.86792,53.219191
CGTHW-1,onwind,6440,-4.359638,57.190085
CNQPS-1,fossil,5939,-3.080651,53.231871
CNQPS-2,fossil,5939,-3.080651,53.231871
CNQPS-3,fossil,5939,-3.080651,53.231871
CNQPS-4,fossil,5939,-3.080651,53.231871
COUWW-1,onwind,5896,-5.484929,55.680679
COWB-1,battery,5234,-1.189058,51.709925
CREAW-1,onwind,6438,-4.504,58.21
CRGHW-1,onwind,6454,-4.790039,56.389584
CRMLW-1,onwind,6437,-4.838531,57.694245
CRUA-1,PHS,5931,-3.966064,53.080827
CRUA-2,PHS,5931,-3.966064,53.080827
CRUA-3,PHS,5931,-3.966064,53.080827
CRUA-4,PHS,5931,-3.966064,53.080827
CRYRW-2,onwind,6490,-2.39502,55.893796
CRYRW-3,onwind,6490,-2.39502,55.893796
CUMHW-1,onwind,5911,-3.991,55.567
DALQW-1,onwind,5911,-3.89,55.585
DAMC-1,fossil,4969,0.549316,51.460852
DIDCB5,fossil,5249,-1.26757,51.62363
DIDCB6,fossil,5249,-1.26757,51.62363
DINO-1,PHS,5931,-3.977051,53.008173
DINO-6,PHS,5931,-3.977051,53.008173
DNLWW-1,onwind,5943,-2.296143,55.776573
DOREW-1,onwind,6447,-2.795,57.448
DOREW-2,onwind,6447,-2.795,57.448
DOUGW-1,onwind,5911,-3.888,55.593
DRAXX-1,biomass,8021,-0.626221,53.748711
DRAXX-2,biomass,8021,-0.626221,53.748711
DRAXX-3,biomass,8021,-0.626221,53.748711
DRAXX-4,biomass,8021,-0.626221,53.748711
DRAXX-5,biomass,8021,-0.626221,53.748711
DRAXX-6,biomass,8021,-0.626221,53.748711
DRSLW-1,onwind,5905,-4.484173,55.311291
EECL-1,fossil,7286,-0.022763,51.662337
ERRO-1,hydro,6460,-3.790283,56.734649
ERRO-2,hydro,6460,-3.790283,56.734649
ERRO-3,hydro,6460,-3.790283,56.734649
EWHLW-1,onwind,5920,-3.205105,55.228662
FALGW-1,onwind,7471,-2.768555,55.936895
FAARW-1,onwind,6440,-4.094167,57.325
FAARW-2,onwind,6440,-4.094167,57.325
FASN-1,hydro,6437,-4.793703,57.325887
FASN2,hydro,6437,-4.793703,57.325887
FFES-1,PHS,6440,-4.361572,57.237449
FFES-3,PHS,6440,-4.361572,57.237449
FFES-4,PHS,6440,-4.361572,57.237449
FINL-1,hydro,6468,-3.614502,56.279961
FOYE-1,PHS,6452,-5.393722,56.34286
FOYE-2,PHS,6452,-5.393722,56.34286
FOYED-1,PHS,6438,-4.4835277777778,57.262111111111
GLNDO-1,hydro,6437,-5.174561,57.15412
GLNKW-1,onwind,6440,-4.241,57.25
GLWSW-1,onwind,5911,-3.921928,55.534273
GNAPW-1,onwind,5893,-5.026858,55.021378
GORDW-1,onwind,6441,-3.834229,58.066256
GORDW-2,onwind,6441,-3.834229,58.066256
GRAI1G,fossil,4972,0.70805555555556,51.443055555556
GRAI4G,fossil,4972,0.70805555555556,51.443055555556
GRIFW-1,onwind,8020,-3.394775,56.529199
GRIFW-2,onwind,8020,-3.394775,56.529199
GRMO-1,fossil,6482,-3.032227,55.930741
HALSW-1,onwind,6443,-3.425,58.456
HEYM11,nuclear,5201,-3.317871,51.138001
HEYM12,nuclear,5201,-3.317871,51.138001
HEYM2D-1,nuclear,5924,-2.91504,54.0273
HEYM27,nuclear,5201,-3.317871,51.138001
HEYM28,nuclear,5201,-3.317871,51.138001
HRSTW-1,onwind,5917,-3.636475,55.229023
HRTL-1,nuclear,5924,-2.916111111,54.02888889
HRTL-2,nuclear,5924,-2.916111111,54.02888889
HUMR-1,fossil,5981,-2.405816,53.165426
HUNBD-1,nuclear,5896,-4.89009,55.7221
INDQ-1,fossil,4969,0.602702,51.418947
KEAD-1,fossil,6038,-0.494385,53.585984
KEAD-2,fossil,7946,-0.7522,53.5952
KEADGT-3,fossil,6038,-0.494385,53.585984
KENNW-1,onwind,5911,-3.916,55.49
KILBW-1,onwind,6441,-4.0564,58.0395
KILLPG-1,fossil,6041,-0.25511,53.65952
KILLPG-2,fossil,6041,-0.25511,53.65952
KLGLW-1,onwind,5893,-4.76528,55.05
KPMRW-1,onwind,5907,-4.069,55.679
KTHLW-1,onwind,7471,-2.825456,55.817272
KYPEW-1,onwind,5907,-4.063,55.629
LAGA-1,fossil,5209,-3.966064,50.492463
LARKS-1,solar,5225,-2.477369,51.57851
LBAR-1,fossil,7454,-0.230713,52.22107
LBAR-1G,fossil,7454,-0.230713,52.22107
LCLTW-1,onwind,6438,-4.559326,57.73935
MEDP-1,fossil,4974,0.889893,51.378638
MIDMW-1,onwind,5914,-3.776,55.495
MILWW-1,onwind,6437,-4.866943,57.219608
MKHLW-1,onwind,5893,-4.822998,55.160043
MRWD-1,fossil,5253,-1.351318,50.903033
NANT-1,hydro,6452,-5.251465,56.163906
PEHE-1,fossil,6485,-1.867676,57.527622
PEHE-2,fossil,6485,-1.867676,57.527622
PEHED-1,fossil,6485,-1.78888,57.4772
PEMB-11,fossil,5183,-4.996378,51.684368
PEMB-21,fossil,5183,-4.996378,51.684368
PEMB-31,fossil,5183,-4.996378,51.684368
PEMB-41,fossil,5183,-4.996378,51.684368
PEMB-51,fossil,5183,-4.996378,51.684368
RATS-1,fossil,6049,-1.219482,52.855864
RATS-2,fossil,6049,-1.219482,52.855864
RATS-3,fossil,6049,-1.219482,52.855864
RATS-4,fossil,6049,-1.219482,52.855864
RATSGT-2,fossil,6049,-1.219482,52.855864
RATSGT-4,fossil,6049,-1.219482,52.855864
ROCK-1,fossil,5974,-2.592773,53.330873
RYHPS-1,fossil,5243,-0.285645,51.815407
SAKNW-1,onwind,5914,-4.025,55.346
SANQW-1,onwind,5914,-4.023363,55.322673
SCCL-1,fossil,6037,-0.131836,53.833081
SCCL-2,fossil,6037,-0.131836,53.833081
SCCL-3,fossil,6037,-0.131836,53.833081
SEAB-1,fossil,5224,-2.614746,51.481383
SEAB-2,fossil,5224,-2.614746,51.481383
SEEL-1,fossil,6053,-0.1321,52.8078
SIZB-1,nuclear,5943,-2.054443,55.813629
SIZB-2,nuclear,5943,-2.054443,55.813629
SLOY-2,hydro,6454,-4.735107,56.200593
SLOY-3,hydro,6454,-4.735107,56.200593
SPLN-1,fossil,6053,-0.252686,52.816043
STAY-1,fossil,6047,-0.98877,53.041213
STAY-2,fossil,6047,-0.98877,53.041213
STAY-3,fossil,6047,-0.98877,53.041213
STAY-4,fossil,6047,-0.98877,53.041213
STLGW-1,onwind,6460,-4.056,57.081
STLGW-2,onwind,6460,-4.056,57.081
STLGW-3,onwind,6460,-4.056,57.081
STRNW-1,onwind,6441,-3.89086,58.385271
SUTB-1,fossil,5888,0.098877,52.62306
SVRP-10,fossil,5188,-3.065186,51.740636
SVRP-20,fossil,5188,-3.065186,51.740636
TDBNW-1,onwind,7471,-2.81,55.77
TORN-1,nuclear,5923,-4.405518,53.370221
TORN-2,nuclear,5923,-4.405518,53.370221
TORND-1,nuclear,6490,-2.40908,55.968
TRLGW-1,onwind,5893,-4.81,55.23
TSREP-1,fossil,5964,-1.12042,54.5768
TWSHW-1,onwind,5914,-3.9185,55.3142
WBURB-1,fossil,6033,-0.53833,53.363665
WBURB-2,fossil,6033,-0.53833,53.363665
WBURB-3,fossil,6033,-0.53833,53.363665
WBURB-41,battery,6033,-0.538,53.364
WBURB-43,battery,6033,-0.538,53.364
WDRGW-1,onwind,5905,-4.306,55.244
WHIHW-1,onwind,5914,-4.02,55.32
WHLWB-1,battery,8037,-4.17331,55.6954
WILCT-1,fossil,5964,-1.1185,54.5894
WISHB-1,battery,8035,-3.93867,55.76927
WISTW-2,onwind,6486,-2.374558,56.844014
WYLF-1,nuclear,4960,0.241667,51.465278
WYLF-2,nuclear,4960,0.241667,51.465278
WYLF-3,nuclear,4960,0.241667,51.465278
WYLF-4,nuclear,4960,0.241667,51.465278
AG-CBS06B,battery,6008,-1.37484,53.22386
AG-HEL00G,battery,5970,-2.643,53.787
AG-HEL0DN,battery,6473,-3.204,56.166
AG-HEL0CP,battery,6473,-2.995,56.324
COVNB-1,battery,5223,-1.508,52.409
