LAD21CD,LAD21NM,LAU121CD,LAU121NM,ITL321CD,ITL321NM,ITL221CD,ITL221NM,ITL121CD,ITL121NM,ObjectId
E07000118,Chorley,E07000118,Chorley,TLD47,Chorley and West Lancashire,TLD4,Lancashire,TLD,North West (England),41
E07000127,West Lancashire,E07000127,West Lancashire,TLD47,Chorley and West Lancashire,TLD4,Lancashire,TLD,North West (England),42
E06000007,Warrington,E06000007,Warrington,TLD61,Warrington,TLD6,Cheshire,TLD,North West (England),43
E06000049,Cheshire East,E06000049,Cheshire East,TLD62,Cheshire East,TLD6,Cheshire,TLD,North West (England),44
E06000050,Cheshire West and Chester,E06000050,Cheshire West and Chester,TLD63,Cheshire West and Chester,TLD6,Cheshire,TLD,North West (England),45
E06000006,Halton,E06000006,Halton,TLD71,East Merseyside,TLD7,Merseyside,TLD,North West (England),46
E08000011,Knowsley,E08000011,Knowsley,TLD71,East Merseyside,TLD7,Merseyside,TLD,North West (England),47
E08000013,St. Helens,E08000013,St. Helens,TLD71,East Merseyside,TLD7,Merseyside,TLD,North West (England),48
E08000012,Liverpool,E08000012,Liverpool,TLD72,Liverpool,TLD7,Merseyside,TLD,North West (England),49
E08000014,Sefton,E08000014,Sefton,TLD73,Sefton,TLD7,Merseyside,TLD,North West (England),50
E08000015,Wirral,E08000015,Wirral,TLD74,Wirral,TLD7,Merseyside,TLD,North West (England),51
E06000010,"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",TLE11,"Kingston upon Hull, City of",TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber,52
E06000011,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,TLE12,East Riding of Yorkshire,TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber,53
E06000012,North East Lincolnshire,E06000012,North East Lincolnshire,TLE13,North and North East Lincolnshire,TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber,54
E06000013,North Lincolnshire,E06000013,North Lincolnshire,TLE13,North and North East Lincolnshire,TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber,55
E06000014,York,E06000014,York,TLE21,York,TLE2,North Yorkshire,TLE,Yorkshire and The Humber,56
