LAD21CD,LAD21NM,LAU121CD,LAU121NM,ITL321CD,ITL321NM,ITL221CD,ITL221NM,ITL121CD,ITL121NM,ObjectId
W06000018,Caerphilly,W06000018,Caerphilly,TLL16,Gwent Valleys,TLL1,West Wales and The Valleys,TLL,Wales,275
W06000019,Blaenau Gwent,W06000019,Blaenau Gwent,TLL16,Gwent Valleys,TLL1,West Wales and The Valleys,TLL,Wales,276
W06000020,Torfaen,W06000020,Torfaen,TLL16,Gwent Valleys,TLL1,West Wales and The Valleys,TLL,Wales,277
W06000012,Neath Port Talbot,W06000012,Neath Port Talbot,TLL17,Bridgend and Neath Port Talbot,TLL1,West Wales and The Valleys,TLL,Wales,278
W06000013,Bridgend,W06000013,Bridgend,TLL17,Bridgend and Neath Port Talbot,TLL1,West Wales and The Valleys,TLL,Wales,279
W06000011,Swansea,W06000011,Swansea,TLL18,Swansea,TLL1,West Wales and The Valleys,TLL,Wales,280
W06000021,Monmouthshire,W06000021,Monmouthshire,TLL21,Monmouthshire and Newport,TLL2,East Wales,TLL,Wales,281
W06000022,Newport,W06000022,Newport,TLL21,Monmouthshire and Newport,TLL2,East Wales,TLL,Wales,282
W06000014,Vale of Glamorgan,W06000014,Vale of Glamorgan,TLL22,Cardiff and Vale of Glamorgan,TLL2,East Wales,TLL,Wales,283
W06000015,Cardiff,W06000015,Cardiff,TLL22,Cardiff and Vale of Glamorgan,TLL2,East Wales,TLL,Wales,284
W06000005,Flintshire,W06000005,Flintshire,TLL23,Flintshire and Wrexham,TLL2,East Wales,TLL,Wales,285
W06000006,Wrexham,W06000006,Wrexham,TLL23,Flintshire and Wrexham,TLL2,East Wales,TLL,Wales,286
W06000023,Powys,W06000023,Powys,TLL24,Powys,TLL2,East Wales,TLL,Wales,287
S12000020,Moray,S30000033,North East Moray,TLM62,"Inverness and Nairn, Moray, and Badenoch and Strathspey",TLM6,Highlands and Islands,TLM,Scotland,288
S12000021,North Ayrshire,S30000034,Arran and Cumbrae,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",TLM6,Highlands and Islands,TLM,Scotland,289
S12000035,Argyll and Bute,S30000035,Argyll and Bute Islands,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",TLM6,Highlands and Islands,TLM,Scotland,290
S12000035,Argyll and Bute,S30000036,Argyll and Bute Mainland,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",TLM6,Highlands and Islands,TLM,Scotland,291
S12000017,Highland,S30000037,Lochaber,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",TLM6,Highlands and Islands,TLM,Scotland,292
S12000017,Highland,S30000038,Skye and Lochalsh,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",TLM6,Highlands and Islands,TLM,Scotland,293
S12000013,Na h-Eileanan Siar,S30000039,Na h-Eileanan Siar,TLM64,Na h-Eileanan Siar,TLM6,Highlands and Islands,TLM,Scotland,294
S12000023,Orkney Islands,S30000040,Orkney Islands,TLM65,Orkney Islands,TLM6,Highlands and Islands,TLM,Scotland,295
S12000027,Shetland Islands,S30000041,Shetland Islands,TLM66,Shetland Islands,TLM6,Highlands and Islands,TLM,Scotland,296
S12000041,Angus,S30000048,Angus,TLM71,Angus and Dundee City,TLM7,Eastern Scotland,TLM,Scotland,297
S12000042,Dundee City,S30000049,Dundee City,TLM71,Angus and Dundee City,TLM7,Eastern Scotland,TLM,Scotland,298
S12000005,Clackmannanshire,S30000003,Clackmannanshire,TLM72,Clackmannanshire and Fife,TLM7,Eastern Scotland,TLM,Scotland,299
S12000047,Fife,S30000042,Fife,TLM72,Clackmannanshire and Fife,TLM7,Eastern Scotland,TLM,Scotland,300
S12000010,East Lothian,S30000005,East Lothian,TLM73,East Lothian and Midlothian,TLM7,Eastern Scotland,TLM,Scotland,301
S12000019,Midlothian,S30000006,Midlothian,TLM73,East Lothian and Midlothian,TLM7,Eastern Scotland,TLM,Scotland,302
S12000036,City of Edinburgh,S30000008,City of Edinburgh,TLM75,City of Edinburgh,TLM7,Eastern Scotland,TLM,Scotland,303
S12000014,Falkirk,S30000009,Falkirk,TLM76,Falkirk,TLM7,Eastern Scotland,TLM,Scotland,304
S12000030,Stirling,S30000011,Stirling,TLM77,"Perth and Kinross, and Stirling",TLM7,Eastern Scotland,TLM,Scotland,305
S12000048,Perth and Kinross,S30000043,Perth and Kinross,TLM77,"Perth and Kinross, and Stirling",TLM7,Eastern Scotland,TLM,Scotland,306
S12000040,West Lothian,S30000012,West Lothian,TLM78,West Lothian,TLM7,Eastern Scotland,TLM,Scotland,307
S12000035,Argyll and Bute,S30000013,Helensburgh and Lomond,TLM81,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",TLM8,West Central Scotland,TLM,Scotland,308
S12000039,West Dunbartonshire,S30000014,West Dunbartonshire,TLM81,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",TLM8,West Central Scotland,TLM,Scotland,309
S12000045,East Dunbartonshire,S30000050,East Dunbartonshire,TLM81,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",TLM8,West Central Scotland,TLM,Scotland,310
S12000049,Glasgow City,S30000052,Glasgow City,TLM82,Glasgow City,TLM8,West Central Scotland,TLM,Scotland,311
S12000011,East Renfrewshire,S30000020,East Renfrewshire,TLM83,"Inverclyde, East Renfrewshire, and Renfrewshire",TLM8,West Central Scotland,TLM,Scotland,312
S12000038,Renfrewshire,S30000021,Renfrewshire,TLM83,"Inverclyde, East Renfrewshire, and Renfrewshire",TLM8,West Central Scotland,TLM,Scotland,313
S12000018,Inverclyde,S30000022,Inverclyde,TLM83,"Inverclyde, East Renfrewshire, and Renfrewshire",TLM8,West Central Scotland,TLM,Scotland,314
S12000050,North Lanarkshire,S30000053,North Lanarkshire,TLM84,North Lanarkshire,TLM8,West Central Scotland,TLM,Scotland,315
S12000026,Scottish Borders,S30000007,Scottish Borders,TLM91,Scottish Borders,TLM9,Southern Scotland,TLM,Scotland,316
S12000006,Dumfries and Galloway,S30000016,Dumfries and Galloway,TLM92,Dumfries and Galloway,TLM9,Southern Scotland,TLM,Scotland,317
S12000008,East Ayrshire,S30000017,East Ayrshire,TLM93,East Ayrshire and North Ayrshire mainland,TLM9,Southern Scotland,TLM,Scotland,318
S12000021,North Ayrshire,S30000018,North Ayrshire mainland,TLM93,East Ayrshire and North Ayrshire mainland,TLM9,Southern Scotland,TLM,Scotland,319
S12000028,South Ayrshire,S30000024,South Ayrshire,TLM94,South Ayrshire,TLM9,Southern Scotland,TLM,Scotland,320
S12000029,South Lanarkshire,S30000025,South Lanarkshire,TLM95,South Lanarkshire,TLM9,Southern Scotland,TLM,Scotland,321
N09000003,Belfast,N09000003,Belfast,TLN06,Belfast,TLN0,Northern Ireland,TLN,Northern Ireland,322
N09000002,"Armagh City, Banbridge and Craigavon",N09000002,"Armagh City, Banbridge and Craigavon",TLN07,"Armagh City, Banbridge and Craigavon",TLN0,Northern Ireland,TLN,Northern Ireland,323
