ONScode,LAD21NM,LAU121CD,LAU121NM,ITL321CD,ITL321NM,ITL221CD,ITL221NM,ITL121CD,ITL121NM,ObjectId,NUTS_ID
E08000005,Rochdale,E08000005,Rochdale,TLD37,Greater Manchester North East,TLD3,Greater Manchester,TLD,North West (England),28,UKD37
E06000008,Blackburn with Darwen,E06000008,Blackburn with Darwen,TLD41,Blackburn with Darwen,TLD4,Lancashire,TLD,North West (England),29,UKD41
E06000009,Blackpool,E06000009,Blackpool,TLD42,Blackpool,TLD4,Lancashire,TLD,North West (England),30,UKD42
E07000121,Lancaster,E07000121,Lancaster,TLD44,Lancaster and Wyre,TLD4,Lancashire,TLD,North West (England),31,UKD44
E07000128,Wyre,E07000128,Wyre,TLD44,Lancaster and Wyre,TLD4,Lancashire,TLD,North West (England),32,UKD44
E07000119,Fylde,E07000119,Fylde,TLD45,Mid Lancashire,TLD4,Lancashire,TLD,North West (England),33,UKD45
E07000123,Preston,E07000123,Preston,TLD45,Mid Lancashire,TLD4,Lancashire,TLD,North West (England),34,UKD45
E07000124,Ribble Valley,E07000124,Ribble Valley,TLD45,Mid Lancashire,TLD4,Lancashire,TLD,North West (England),35,UKD45
E07000126,South Ribble,E07000126,South Ribble,TLD45,Mid Lancashire,TLD4,Lancashire,TLD,North West (England),36,UKD45
E07000117,Burnley,E07000117,Burnley,TLD46,East Lancashire,TLD4,Lancashire,TLD,North West (England),37,UKD46
E07000120,Hyndburn,E07000120,Hyndburn,TLD46,East Lancashire,TLD4,Lancashire,TLD,North West (England),38,UKD46
E07000122,Pendle,E07000122,Pendle,TLD46,East Lancashire,TLD4,Lancashire,TLD,North West (England),39,UKD46
E07000125,Rossendale,E07000125,Rossendale,TLD46,East Lancashire,TLD4,Lancashire,TLD,North West (England),40,UKD46
E07000118,Chorley,E07000118,Chorley,TLD47,Chorley and West Lancashire,TLD4,Lancashire,TLD,North West (England),41,UKD47
E07000127,West Lancashire,E07000127,West Lancashire,TLD47,Chorley and West Lancashire,TLD4,Lancashire,TLD,North West (England),42,UKD47
E06000007,Warrington,E06000007,Warrington,TLD61,Warrington,TLD6,Cheshire,TLD,North West (England),43,UKD61
E06000049,Cheshire East,E06000049,Cheshire East,TLD62,Cheshire East,TLD6,Cheshire,TLD,North West (England),44,UKD62
E06000050,Cheshire West and Chester,E06000050,Cheshire West and Chester,TLD63,Cheshire West and Chester,TLD6,Cheshire,TLD,North West (England),45,UKD63
E06000006,Halton,E06000006,Halton,TLD71,East Merseyside,TLD7,Merseyside,TLD,North West (England),46,UKD71
E08000011,Knowsley,E08000011,Knowsley,TLD71,East Merseyside,TLD7,Merseyside,TLD,North West (England),47,UKD71
E08000013,St. Helens,E08000013,St. Helens,TLD71,East Merseyside,TLD7,Merseyside,TLD,North West (England),48,UKD71
E08000012,Liverpool,E08000012,Liverpool,TLD72,Liverpool,TLD7,Merseyside,TLD,North West (England),49,UKD72
E08000014,Sefton,E08000014,Sefton,TLD73,Sefton,TLD7,Merseyside,TLD,North West (England),50,UKD73
E08000015,Wirral,E08000015,Wirral,TLD74,Wirral,TLD7,Merseyside,TLD,North West (England),51,UKD74
E06000010,"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",TLE11,"Kingston upon Hull, City of",TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber,52,UKE11
E06000011,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,TLE12,East Riding of Yorkshire,TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber,53,UKE12
E06000012,North East Lincolnshire,E06000012,North East Lincolnshire,TLE13,North and North East Lincolnshire,TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber,54,UKE13
E06000013,North Lincolnshire,E06000013,North Lincolnshire,TLE13,North and North East Lincolnshire,TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber,55,UKE13
E06000014,York,E06000014,York,TLE21,York,TLE2,North Yorkshire,TLE,Yorkshire and The Humber,56,UKE21
E06000019,"Herefordshire, County of",E06000019,"Herefordshire, County of",TLG11,"Herefordshire, County of",TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England),57,UKG11
E07000234,Bromsgrove,E07000234,Bromsgrove,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England),58,UKG12
E07000235,Malvern Hills,E07000235,Malvern Hills,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England),59,UKG12
E07000236,Redditch,E07000236,Redditch,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England),60,UKG12
E07000237,Worcester,E07000237,Worcester,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England),61,UKG12
E07000238,Wychavon,E07000238,Wychavon,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England),62,UKG12
E07000239,Wyre Forest,E07000239,Wyre Forest,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England),63,UKG12
E07000218,North Warwickshire,E07000218,North Warwickshire,TLG13,Warwickshire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England),64,UKG13
E07000219,Nuneaton and Bedworth,E07000219,Nuneaton and Bedworth,TLG13,Warwickshire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England),65,UKG13
E07000220,Rugby,E07000220,Rugby,TLG13,Warwickshire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England),66,UKG13
E07000221,Stratford-on-Avon,E07000221,Stratford-on-Avon,TLG13,Warwickshire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England),67,UKG13
E07000222,Warwick,E07000222,Warwick,TLG13,Warwickshire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England),68,UKG13
E06000020,Telford and Wrekin,E06000020,Telford and Wrekin,TLG21,Telford and Wrekin,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England),69,UKG21
E06000051,Shropshire,E06000051,Shropshire,TLG22,Shropshire,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England),70,UKG22
E06000021,Stoke-on-Trent,E06000021,Stoke-on-Trent,TLG23,Stoke-on-Trent,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England),71,UKG23
E07000192,Cannock Chase,E07000192,Cannock Chase,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England),72,UKG24
E07000193,East Staffordshire,E07000193,East Staffordshire,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England),73,UKG24
E07000194,Lichfield,E07000194,Lichfield,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England),74,UKG24
E07000195,Newcastle-under-Lyme,E07000195,Newcastle-under-Lyme,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England),75,UKG24
E07000196,South Staffordshire,E07000196,South Staffordshire,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England),76,UKG24
E07000197,Stafford,E07000197,Stafford,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England),77,UKG24
E07000198,Staffordshire Moorlands,E07000198,Staffordshire Moorlands,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England),78,UKG24
E07000199,Tamworth,E07000199,Tamworth,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England),79,UKG24
E08000025,Birmingham,E08000025,Birmingham,TLG31,Birmingham,TLG3,West Midlands,TLG,West Midlands (England),80,UKG31
E08000029,Solihull,E08000029,Solihull,TLG32,Solihull,TLG3,West Midlands,TLG,West Midlands (England),81,UKG32
E08000026,Coventry,E08000026,Coventry,TLG33,Coventry,TLG3,West Midlands,TLG,West Midlands (England),82,UKG33
E08000027,Dudley,E08000027,Dudley,TLG36,Dudley,TLG3,West Midlands,TLG,West Midlands (England),83,UKG36
E08000028,Sandwell,E08000028,Sandwell,TLG37,Sandwell,TLG3,West Midlands,TLG,West Midlands (England),84,UKG37
E08000030,Walsall,E08000030,Walsall,TLG38,Walsall,TLG3,West Midlands,TLG,West Midlands (England),85,UKG38
E08000031,Wolverhampton,E08000031,Wolverhampton,TLG39,Wolverhampton,TLG3,West Midlands,TLG,West Midlands (England),86,UKG39
E06000031,Peterborough,E06000031,Peterborough,TLH11,Peterborough,TLH1,East Anglia,TLH,East,87,UKH11
E07000008,Cambridge,E07000008,Cambridge,TLH12,Cambridgeshire CC,TLH1,East Anglia,TLH,East,88,UKH12
E07000009,East Cambridgeshire,E07000009,East Cambridgeshire,TLH12,Cambridgeshire CC,TLH1,East Anglia,TLH,East,89,UKH12
E07000010,Fenland,E07000010,Fenland,TLH12,Cambridgeshire CC,TLH1,East Anglia,TLH,East,90,UKH12
E07000011,Huntingdonshire,E07000011,Huntingdonshire,TLH12,Cambridgeshire CC,TLH1,East Anglia,TLH,East,91,UKH12
E07000012,South Cambridgeshire,E07000012,South Cambridgeshire,TLH12,Cambridgeshire CC,TLH1,East Anglia,TLH,East,92,UKH12
E07000200,Babergh,E07000200,Babergh,TLH14,Suffolk CC,TLH1,East Anglia,TLH,East,93,UKH14
E07000202,Ipswich,E07000202,Ipswich,TLH14,Suffolk CC,TLH1,East Anglia,TLH,East,94,UKH14
E07000203,Mid Suffolk,E07000203,Mid Suffolk,TLH14,Suffolk CC,TLH1,East Anglia,TLH,East,95,UKH14
E07000244,East Suffolk,E07000244,East Suffolk,TLH14,Suffolk CC,TLH1,East Anglia,TLH,East,96,UKH14
E07000245,West Suffolk,E07000245,West Suffolk,TLH14,Suffolk CC,TLH1,East Anglia,TLH,East,97,UKH14
E07000144,Broadland,E07000144,Broadland,TLH15,Norwich and East Norfolk,TLH1,East Anglia,TLH,East,98,UKH15
E07000145,Great Yarmouth,E07000145,Great Yarmouth,TLH15,Norwich and East Norfolk,TLH1,East Anglia,TLH,East,99,UKH15
E07000148,Norwich,E07000148,Norwich,TLH15,Norwich and East Norfolk,TLH1,East Anglia,TLH,East,100,UKH15
E07000146,King's Lynn and West Norfolk,E07000146,King's Lynn and West Norfolk,TLH16,North and West Norfolk,TLH1,East Anglia,TLH,East,101,UKH16
E07000147,North Norfolk,E07000147,North Norfolk,TLH16,North and West Norfolk,TLH1,East Anglia,TLH,East,102,UKH16
E07000143,Breckland,E07000143,Breckland,TLH17,Breckland and South Norfolk,TLH1,East Anglia,TLH,East,103,UKH17
E07000149,South Norfolk,E07000149,South Norfolk,TLH17,Breckland and South Norfolk,TLH1,East Anglia,TLH,East,104,UKH17
E06000032,Luton,E06000032,Luton,TLH21,Luton,TLH2,Bedfordshire and Hertfordshire,TLH,East,105,UKH21
E07000095,Broxbourne,E07000095,Broxbourne,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East,106,UKH23
E07000096,Dacorum,E07000096,Dacorum,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East,107,UKH23
E07000098,Hertsmere,E07000098,Hertsmere,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East,108,UKH23
E07000099,North Hertfordshire,E07000099,North Hertfordshire,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East,109,UKH23
E07000102,Three Rivers,E07000102,Three Rivers,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East,110,UKH23
E07000103,Watford,E07000103,Watford,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East,111,UKH23
E07000240,St Albans,E07000240,St Albans,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East,112,UKH23
E07000241,Welwyn Hatfield,E07000241,Welwyn Hatfield,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East,113,UKH23
E07000242,East Hertfordshire,E07000242,East Hertfordshire,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East,114,UKH23
E07000243,Stevenage,E07000243,Stevenage,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East,115,UKH23
E06000055,Bedford,E06000055,Bedford,TLH24,Bedford,TLH2,Bedfordshire and Hertfordshire,TLH,East,116,UKH24
E06000056,Central Bedfordshire,E06000056,Central Bedfordshire,TLH25,Central Bedfordshire,TLH2,Bedfordshire and Hertfordshire,TLH,East,117,UKH25
E06000033,Southend-on-Sea,E06000033,Southend-on-Sea,TLH31,Southend-on-Sea,TLH3,Essex,TLH,East,118,UKH31
E06000034,Thurrock,E06000034,Thurrock,TLH32,Thurrock,TLH3,Essex,TLH,East,119,UKH32
E07000067,Braintree,E07000067,Braintree,TLH34,Essex Haven Gateway,TLH3,Essex,TLH,East,120,UKH34
E07000071,Colchester,E07000071,Colchester,TLH34,Essex Haven Gateway,TLH3,Essex,TLH,East,121,UKH34
E07000076,Tendring,E07000076,Tendring,TLH34,Essex Haven Gateway,TLH3,Essex,TLH,East,122,UKH34
E07000072,Epping Forest,E07000072,Epping Forest,TLH35,West Essex,TLH3,Essex,TLH,East,123,UKH35
E07000073,Harlow,E07000073,Harlow,TLH35,West Essex,TLH3,Essex,TLH,East,124,UKH35
E07000077,Uttlesford,E07000077,Uttlesford,TLH35,West Essex,TLH3,Essex,TLH,East,125,UKH35
E07000068,Brentwood,E07000068,Brentwood,TLH36,Heart of Essex,TLH3,Essex,TLH,East,126,UKH36
E07000070,Chelmsford,E07000070,Chelmsford,TLH36,Heart of Essex,TLH3,Essex,TLH,East,127,UKH36
E07000074,Maldon,E07000074,Maldon,TLH36,Heart of Essex,TLH3,Essex,TLH,East,128,UKH36
E07000066,Basildon,E07000066,Basildon,TLH37,Essex Thames Gateway,TLH3,Essex,TLH,East,129,UKH37
E07000069,Castle Point,E07000069,Castle Point,TLH37,Essex Thames Gateway,TLH3,Essex,TLH,East,130,UKH37
E07000075,Rochford,E07000075,Rochford,TLH37,Essex Thames Gateway,TLH3,Essex,TLH,East,131,UKH37
E09000001,City of London,E09000001,City of London,TLI31,Camden and City of London,TLI3,Inner London - West,TLI,London,132,UKI31
E09000007,Camden,E09000007,Camden,TLI31,Camden and City of London,TLI3,Inner London - West,TLI,London,133,UKI31
E09000033,Westminster,E09000033,Westminster,TLI32,Westminster,TLI3,Inner London - West,TLI,London,134,UKI32
E09000013,Hammersmith and Fulham,E09000013,Hammersmith and Fulham,TLI33,Kensington & Chelsea and Hammersmith & Fulham,TLI3,Inner London - West,TLI,London,135,UKI33
E09000020,Kensington and Chelsea,E09000020,Kensington and Chelsea,TLI33,Kensington & Chelsea and Hammersmith & Fulham,TLI3,Inner London - West,TLI,London,136,UKI33
E09000032,Wandsworth,E09000032,Wandsworth,TLI34,Wandsworth,TLI3,Inner London - West,TLI,London,137,UKI34
E09000012,Hackney,E09000012,Hackney,TLI41,Hackney and Newham,TLI4,Inner London - East,TLI,London,138,UKI41
E09000025,Newham,E09000025,Newham,TLI41,Hackney and Newham,TLI4,Inner London - East,TLI,London,139,UKI41
E09000030,Tower Hamlets,E09000030,Tower Hamlets,TLI42,Tower Hamlets,TLI4,Inner London - East,TLI,London,140,UKI42
E09000014,Haringey,E09000014,Haringey,TLI43,Haringey and Islington,TLI4,Inner London - East,TLI,London,141,UKI43
E09000019,Islington,E09000019,Islington,TLI43,Haringey and Islington,TLI4,Inner London - East,TLI,London,142,UKI43
E09000023,Lewisham,E09000023,Lewisham,TLI44,Lewisham and Southwark,TLI4,Inner London - East,TLI,London,143,UKI44
E09000028,Southwark,E09000028,Southwark,TLI44,Lewisham and Southwark,TLI4,Inner London - East,TLI,London,144,UKI44
E09000022,Lambeth,E09000022,Lambeth,TLI45,Lambeth,TLI4,Inner London - East,TLI,London,145,UKI45
E09000004,Bexley,E09000004,Bexley,TLI51,Bexley and Greenwich,TLI5,Outer London - East and North East,TLI,London,146,UKI51
E09000011,Greenwich,E09000011,Greenwich,TLI51,Bexley and Greenwich,TLI5,Outer London - East and North East,TLI,London,147,UKI51
E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,TLI52,Barking & Dagenham and Havering,TLI5,Outer London - East and North East,TLI,London,148,UKI52
E09000016,Havering,E09000016,Havering,TLI52,Barking & Dagenham and Havering,TLI5,Outer London - East and North East,TLI,London,149,UKI52
E09000026,Redbridge,E09000026,Redbridge,TLI53,Redbridge and Waltham Forest,TLI5,Outer London - East and North East,TLI,London,150,UKI53
E09000031,Waltham Forest,E09000031,Waltham Forest,TLI53,Redbridge and Waltham Forest,TLI5,Outer London - East and North East,TLI,London,151,UKI53
E09000010,Enfield,E09000010,Enfield,TLI54,Enfield,TLI5,Outer London - East and North East,TLI,London,152,UKI54
E09000006,Bromley,E09000006,Bromley,TLI61,Bromley,TLI6,Outer London - South,TLI,London,153,UKI61
E09000008,Croydon,E09000008,Croydon,TLI62,Croydon,TLI6,Outer London - South,TLI,London,154,UKI62
E09000021,Kingston upon Thames,E09000021,Kingston upon Thames,TLI63,"Merton, Kingston upon Thames and Sutton",TLI6,Outer London - South,TLI,London,155,UKI63
E09000024,Merton,E09000024,Merton,TLI63,"Merton, Kingston upon Thames and Sutton",TLI6,Outer London - South,TLI,London,156,UKI63
E09000029,Sutton,E09000029,Sutton,TLI63,"Merton, Kingston upon Thames and Sutton",TLI6,Outer London - South,TLI,London,157,UKI63
E09000003,Barnet,E09000003,Barnet,TLI71,Barnet,TLI7,Outer London - West and North West,TLI,London,158,UKI71
E09000005,Brent,E09000005,Brent,TLI72,Brent,TLI7,Outer London - West and North West,TLI,London,159,UKI72
E09000009,Ealing,E09000009,Ealing,TLI73,Ealing,TLI7,Outer London - West and North West,TLI,London,160,UKI73
E09000015,Harrow,E09000015,Harrow,TLI74,Harrow and Hillingdon,TLI7,Outer London - West and North West,TLI,London,161,UKI74
E09000017,Hillingdon,E09000017,Hillingdon,TLI74,Harrow and Hillingdon,TLI7,Outer London - West and North West,TLI,London,162,UKI74
E09000018,Hounslow,E09000018,Hounslow,TLI75,Hounslow and Richmond upon Thames,TLI7,Outer London - West and North West,TLI,London,163,UKI75
E09000027,Richmond upon Thames,E09000027,Richmond upon Thames,TLI75,Hounslow and Richmond upon Thames,TLI7,Outer London - West and North West,TLI,London,164,UKI75
E06000036,Bracknell Forest,E06000036,Bracknell Forest,TLJ11,Berkshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),165,UKJ11
E06000037,West Berkshire,E06000037,West Berkshire,TLJ11,Berkshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),166,UKJ11
E06000038,Reading,E06000038,Reading,TLJ11,Berkshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),167,UKJ11
E06000039,Slough,E06000039,Slough,TLJ11,Berkshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),168,UKJ11
E07000163,Craven,E07000163,Craven,TLE22,North Yorkshire CC,TLE2,North Yorkshire,TLE,Yorkshire and The Humber,169,UKE22
E07000164,Hambleton,E07000164,Hambleton,TLE22,North Yorkshire CC,TLE2,North Yorkshire,TLE,Yorkshire and The Humber,170,UKE22
E07000165,Harrogate,E07000165,Harrogate,TLE22,North Yorkshire CC,TLE2,North Yorkshire,TLE,Yorkshire and The Humber,171,UKE22
E07000166,Richmondshire,E07000166,Richmondshire,TLE22,North Yorkshire CC,TLE2,North Yorkshire,TLE,Yorkshire and The Humber,172,UKE22
E07000167,Ryedale,E07000167,Ryedale,TLE22,North Yorkshire CC,TLE2,North Yorkshire,TLE,Yorkshire and The Humber,173,UKE22
E07000168,Scarborough,E07000168,Scarborough,TLE22,North Yorkshire CC,TLE2,North Yorkshire,TLE,Yorkshire and The Humber,174,UKE22
E07000169,Selby,E07000169,Selby,TLE22,North Yorkshire CC,TLE2,North Yorkshire,TLE,Yorkshire and The Humber,175,UKE22
E08000016,Barnsley,E08000016,Barnsley,TLE31,"Barnsley, Doncaster and Rotherham",TLE3,South Yorkshire,TLE,Yorkshire and The Humber,176,UKE31
E08000017,Doncaster,E08000017,Doncaster,TLE31,"Barnsley, Doncaster and Rotherham",TLE3,South Yorkshire,TLE,Yorkshire and The Humber,177,UKE31
E08000018,Rotherham,E08000018,Rotherham,TLE31,"Barnsley, Doncaster and Rotherham",TLE3,South Yorkshire,TLE,Yorkshire and The Humber,178,UKE31
E08000019,Sheffield,E08000019,Sheffield,TLE32,Sheffield,TLE3,South Yorkshire,TLE,Yorkshire and The Humber,179,UKE32
E08000032,Bradford,E08000032,Bradford,TLE41,Bradford,TLE4,West Yorkshire,TLE,Yorkshire and The Humber,180,UKE41
E08000035,Leeds,E08000035,Leeds,TLE42,Leeds,TLE4,West Yorkshire,TLE,Yorkshire and The Humber,181,UKE42
E08000033,Calderdale,E08000033,Calderdale,TLE44,Calderdale and Kirklees,TLE4,West Yorkshire,TLE,Yorkshire and The Humber,182,UKE44
E08000034,Kirklees,E08000034,Kirklees,TLE44,Calderdale and Kirklees,TLE4,West Yorkshire,TLE,Yorkshire and The Humber,183,UKE44
E08000036,Wakefield,E08000036,Wakefield,TLE45,Wakefield,TLE4,West Yorkshire,TLE,Yorkshire and The Humber,184,UKE45
E06000015,Derby,E06000015,Derby,TLF11,Derby,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),185,UKF11
E07000033,Bolsover,E07000033,Bolsover,TLF12,East Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),186,UKF12
E07000034,Chesterfield,E07000034,Chesterfield,TLF12,East Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),187,UKF12
E07000038,North East Derbyshire,E07000038,North East Derbyshire,TLF12,East Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),188,UKF12
E07000032,Amber Valley,E07000032,Amber Valley,TLF13,South and West Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),189,UKF13
E07000035,Derbyshire Dales,E07000035,Derbyshire Dales,TLF13,South and West Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),190,UKF13
E07000036,Erewash,E07000036,Erewash,TLF13,South and West Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),191,UKF13
E07000037,High Peak,E07000037,High Peak,TLF13,South and West Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),192,UKF13
E07000039,South Derbyshire,E07000039,South Derbyshire,TLF13,South and West Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),193,UKF13
E06000018,Nottingham,E06000018,Nottingham,TLF14,Nottingham,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),194,UKF14
E07000170,Ashfield,E07000170,Ashfield,TLF15,North Nottinghamshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),195,UKF15
E07000171,Bassetlaw,E07000171,Bassetlaw,TLF15,North Nottinghamshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),196,UKF15
E07000174,Mansfield,E07000174,Mansfield,TLF15,North Nottinghamshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),197,UKF15
E07000175,Newark and Sherwood,E07000175,Newark and Sherwood,TLF15,North Nottinghamshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),198,UKF15
E07000172,Broxtowe,E07000172,Broxtowe,TLF16,South Nottinghamshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),199,UKF16
