FID,ONScode,ONSname,Region,BodyType,Battery electric (Company),Battery electric (Private),Battery electric (Total),Total (Company),Total (Private),Total (Total),Shape__Area,Shape__Length
1,E06000001,Hartlepool,North East,Heavy goods vehicles,0,0,0,0,0,0,93717028.4689178,70995.1737762769
2,E06000002,Middlesbrough,North East,Heavy goods vehicles,0,0,0,0,0,0,53881558.2759247,44479.6463704945
3,E06000003,Redcar and Cleveland,North East,Heavy goods vehicles,0,0,0,0,0,0,245069510.006897,96703.5106544218
4,E06000004,Stockton-on-Tees,North East,Heavy goods vehicles,0,0,0,0,0,0,204932934.937302,123404.959102325
5,E06000005,Darlington,North East,Heavy goods vehicles,0,0,0,0,0,0,197477753.555023,107202.299425244
6,E06000006,Halton,North West,Heavy goods vehicles,0,0,0,0,0,0,79084021.970459,77769.8366156168
7,E06000007,Warrington,North West,Heavy goods vehicles,3,0,3,3,0,3,180627983.012016,114688.093563908
8,E06000008,Blackburn with Darwen,North West,Heavy goods vehicles,3,0,3,3,0,3,137022093.525848,65284.3735150369
9,E06000009,Blackpool,North West,Heavy goods vehicles,1,0,1,1,0,1,34870852.2283325,34480.7839275111
10,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,Heavy goods vehicles,6,3,9,6,3,9,71583595.6552734,64680.530906749
11,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,Heavy goods vehicles,0,0,0,0,0,0,2404768954.86182,504120.094305933
12,E06000012,North East Lincolnshire,Yorkshire and The Humber,Heavy goods vehicles,0,0,0,0,0,0,192622985.584915,93246.2876540841
13,E06000013,North Lincolnshire,Yorkshire and The Humber,Heavy goods vehicles,0,0,0,0,0,0,846540125.376923,244546.761114545
14,E06000014,York,Yorkshire and The Humber,Heavy goods vehicles,4,0,4,4,0,4,271931454.715424,102020.797435209
15,E06000015,Derby,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,78031107.3557892,50036.3185804889
16,E06000016,Leicester,East Midlands,Heavy goods vehicles,1,0,1,1,0,1,73342034.1657257,51929.4942082033
17,E06000017,Rutland,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,393748938.333481,125879.320087916
18,E06000018,Nottingham,East Midlands,Heavy goods vehicles,23,0,23,23,0,23,74613549.3099365,58723.7427401093
19,E06000019,"Herefordshire, County of",West Midlands,Heavy goods vehicles,0,0,0,0,0,0,2179708317.85796,349869.988254535
20,E06000020,Telford and Wrekin,West Midlands,Heavy goods vehicles,0,0,0,0,0,0,290313536.554543,118775.749483715
21,E06000021,Stoke-on-Trent,West Midlands,Heavy goods vehicles,1,0,1,1,0,1,93448551.6496658,63971.3417170554
22,E06000022,Bath and North East Somerset,South West,Heavy goods vehicles,0,0,0,0,0,0,351123167.510914,141674.070852301
23,E06000023,"Bristol, City of",South West,Heavy goods vehicles,3,0,3,3,0,3,109666892.551918,109531.617064517
24,E06000024,North Somerset,South West,Heavy goods vehicles,6,0,6,6,0,6,374637219.77409,154748.225043695
25,E06000025,South Gloucestershire,South West,Heavy goods vehicles,2,0,2,2,0,2,497050998.431568,143098.847233425
26,E06000026,Plymouth,South West,Heavy goods vehicles,0,0,0,0,0,0,79849695.3191061,92644.2442555715
27,E06000027,Torbay,South West,Heavy goods vehicles,0,0,0,0,0,0,62886738.7989531,77909.5315513595
28,E06000030,Swindon,South West,Heavy goods vehicles,0,0,0,0,0,0,230093343.90052,103011.758683882
29,E06000031,Peterborough,East of England,Heavy goods vehicles,2,0,2,2,0,2,343378153.586609,112674.360200151
30,E06000032,Luton,East of England,Heavy goods vehicles,0,0,0,0,0,0,43352485.6740799,34569.1847138739
31,E06000033,Southend-on-Sea,East of England,Heavy goods vehicles,0,0,0,0,0,0,41673985.9965286,57782.8327652349
32,E06000034,Thurrock,East of England,Heavy goods vehicles,13,0,13,13,0,13,163837060.033562,115990.648083053
33,E06000035,Medway,South East,Heavy goods vehicles,0,0,0,0,0,0,193714210.347961,249512.121639654
34,E06000036,Bracknell Forest,South East,Heavy goods vehicles,0,0,0,0,0,0,109384217.921951,62507.6688894678
35,E06000037,West Berkshire,South East,Heavy goods vehicles,4,0,4,4,0,4,704182731.436508,166818.256909513
36,E06000038,Reading,South East,Heavy goods vehicles,6,0,6,6,0,6,40397937.1150055,39327.6361285706
37,E06000039,Slough,South East,Heavy goods vehicles,2,0,2,2,0,2,32542015.6781998,44179.9803340002
38,E06000040,Windsor and Maidenhead,South East,Heavy goods vehicles,0,0,0,0,0,0,198427158.641678,114827.85425453
39,E06000041,Wokingham,South East,Heavy goods vehicles,0,0,0,0,0,0,178969062.886101,86869.6892364658
40,E06000042,Milton Keynes,South East,Heavy goods vehicles,18,0,18,18,0,18,308626721.690674,102957.957280917
41,E06000043,Brighton and Hove,South East,Heavy goods vehicles,3,0,3,3,0,3,82832986.3240891,59517.9984461413
42,E06000044,Portsmouth,South East,Heavy goods vehicles,0,0,0,0,0,0,40381702.3692169,62708.2022736547
43,E06000045,Southampton,South East,Heavy goods vehicles,0,0,0,0,0,0,49880631.5834122,61542.7955829543
44,E06000046,Isle of Wight,South East,Heavy goods vehicles,0,0,0,0,0,0,379620110.286783,210137.73230538
45,E06000047,County Durham,North East,Heavy goods vehicles,1,0,1,1,0,1,2231432414.12584,315226.483631744
46,E06000049,Cheshire East,North West,Heavy goods vehicles,6,0,6,6,0,6,1166357340.22478,301202.123887001
47,E06000050,Cheshire West and Chester,North West,Heavy goods vehicles,3,1,4,3,1,4,920018024.621178,335602.059504914
48,E06000051,Shropshire,West Midlands,Heavy goods vehicles,0,0,0,0,0,0,3197275322.15964,580599.506306279
49,E06000052,Cornwall,South West,Heavy goods vehicles,0,0,0,0,0,0,3548939126.92263,1241696.51353641
50,E06000053,Isles of Scilly,South West,Heavy goods vehicles,0,0,0,0,0,0,16317752.1032921,117979.163844593
51,E06000054,Wiltshire,South West,Heavy goods vehicles,11,1,12,11,1,12,3255338105.52649,401997.073738198
52,E06000055,Bedford,East of England,Heavy goods vehicles,0,0,0,0,0,0,476408313.581512,131719.277394327
53,E06000056,Central Bedfordshire,East of England,Heavy goods vehicles,2,0,2,2,0,2,715665436.200249,232685.180099795
54,E06000057,Northumberland,North East,Heavy goods vehicles,1,0,1,1,0,1,5032312670.59779,606236.97163611
55,E06000058,"Bournemouth, Christchurch and Poole",South West,Heavy goods vehicles,8,0,8,8,0,8,162070069.443581,169170.190930922
56,E06000059,Dorset,South West,Heavy goods vehicles,1,0,1,1,0,1,2490956549.68954,594350.704732187
57,E06000060,Buckinghamshire,South East,Heavy goods vehicles,30,0,30,30,0,30,1564937984.73737,361907.474854908
58,E06000061,North Northamptonshire,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,986594539.219704,210624.116197611
59,E06000062,West Northamptonshire,East Midlands,Heavy goods vehicles,9,0,9,9,0,9,1380395590.74594,263780.515769498
60,E07000008,Cambridge,East of England,Heavy goods vehicles,0,0,0,0,0,0,40698821.5531006,37169.1755199722
61,E07000009,East Cambridgeshire,East of England,Heavy goods vehicles,0,0,0,0,0,0,651285998.080215,234186.37804255
62,E07000010,Fenland,East of England,Heavy goods vehicles,1,1,2,1,1,2,546450116.18045,187880.713056672
63,E07000011,Huntingdonshire,East of England,Heavy goods vehicles,0,0,0,0,0,0,912455230.935448,223334.105789929
64,E07000012,South Cambridgeshire,East of England,Heavy goods vehicles,5,0,5,5,0,5,901624749.081009,257074.63199472
65,E07000026,Allerdale,North West,Heavy goods vehicles,0,0,0,0,0,0,1258309894.67578,326487.424636605
66,E07000027,Barrow-in-Furness,North West,Heavy goods vehicles,0,0,0,0,0,0,77897003.596817,146479.945788182
67,E07000028,Carlisle,North West,Heavy goods vehicles,0,0,0,0,0,0,1038296843.15015,278387.275851956
68,E07000029,Copeland,North West,Heavy goods vehicles,0,0,0,0,0,0,737632415.012833,252310.172150818
69,E07000030,Eden,North West,Heavy goods vehicles,0,0,0,0,0,0,2156479430.46436,268766.165774266
70,E07000031,South Lakeland,North West,Heavy goods vehicles,0,0,0,0,0,0,1554926499.52023,381791.631485935
71,E07000032,Amber Valley,East Midlands,Heavy goods vehicles,1,0,1,1,0,1,265437895.569733,109015.606044319
72,E07000033,Bolsover,East Midlands,Heavy goods vehicles,7,0,7,7,0,7,160334643.513474,96233.3664932635
73,E07000034,Chesterfield,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,66035323.1428528,52615.4706045034
74,E07000035,Derbyshire Dales,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,795318009.745445,245455.056178363
75,E07000036,Erewash,East Midlands,Heavy goods vehicles,0,1,1,0,1,1,109630039.364151,73544.8394314227
76,E07000037,High Peak,East Midlands,Heavy goods vehicles,2,0,2,2,0,2,540254001.172287,159628.494883945
77,E07000038,North East Derbyshire,East Midlands,Heavy goods vehicles,2,0,2,2,0,2,275623494.267426,161225.071207051
78,E07000039,South Derbyshire,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,338126978.455208,166687.786160215
79,E07000040,East Devon,South West,Heavy goods vehicles,2,0,2,2,0,2,814238085.476988,219898.795348358
80,E07000041,Exeter,South West,Heavy goods vehicles,0,0,0,0,0,0,47033060.6327896,50236.9824915719
81,E07000042,Mid Devon,South West,Heavy goods vehicles,0,0,0,0,0,0,912900687.437094,246619.14811547
82,E07000043,North Devon,South West,Heavy goods vehicles,0,0,0,0,0,0,1085892202.46388,321506.402041659
83,E07000044,South Hams,South West,Heavy goods vehicles,0,0,0,0,0,0,886546852.068371,478785.950013974
84,E07000045,Teignbridge,South West,Heavy goods vehicles,0,0,0,0,0,0,673759624.001635,191462.662144763
85,E07000046,Torridge,South West,Heavy goods vehicles,0,0,0,0,0,0,985260246.945179,316896.681147026
86,E07000047,West Devon,South West,Heavy goods vehicles,0,0,0,0,0,0,1161110790.80115,254084.548041845
87,E07000061,Eastbourne,South East,Heavy goods vehicles,0,0,0,0,0,0,44161445.7946434,38031.9095181751
88,E07000062,Hastings,South East,Heavy goods vehicles,0,0,0,0,0,0,29796100.2023735,34101.6320304622
89,E07000063,Lewes,South East,Heavy goods vehicles,0,0,0,0,0,0,292106824.947899,168355.61556881
90,E07000064,Rother,South East,Heavy goods vehicles,0,0,0,0,0,0,511753821.206711,180525.083767321
91,E07000065,Wealden,South East,Heavy goods vehicles,0,0,0,0,0,0,834948480.554298,225861.743423267
92,E07000066,Basildon,East of England,Heavy goods vehicles,3,0,3,3,0,3,110001020.082626,85629.1291694682
93,E07000067,Braintree,East of England,Heavy goods vehicles,0,0,0,0,0,0,611708022.086105,168682.860674143
94,E07000068,Brentwood,East of England,Heavy goods vehicles,0,0,0,0,0,0,153124041.91967,72338.721114412
95,E07000069,Castle Point,East of England,Heavy goods vehicles,0,0,0,0,0,0,44673534.0900345,163436.439279142
96,E07000070,Chelmsford,East of England,Heavy goods vehicles,0,0,0,0,0,0,342227524.020721,126392.216101991
97,E07000071,Colchester,East of England,Heavy goods vehicles,0,0,0,0,0,0,332325207.81015,318166.219922529
98,E07000072,Epping Forest,East of England,Heavy goods vehicles,0,0,0,0,0,0,338984118.261093,123269.197706998
99,E07000073,Harlow,East of England,Heavy goods vehicles,1,0,1,1,0,1,30537927.558403,28513.3707443894
100,E07000074,Maldon,East of England,Heavy goods vehicles,0,0,0,0,0,0,357815646.392914,469755.638206894
101,E07000075,Rochford,East of England,Heavy goods vehicles,0,0,0,0,0,0,167092773.086838,234542.198085804
102,E07000076,Tendring,East of England,Heavy goods vehicles,0,0,0,0,0,0,336324365.655441,442534.709440991
103,E07000077,Uttlesford,East of England,Heavy goods vehicles,0,0,0,0,0,0,641182884.0028,166503.257259225
104,E07000078,Cheltenham,South West,Heavy goods vehicles,0,0,0,0,0,0,46596063.962883,38220.6903355067
105,E07000079,Cotswold,South West,Heavy goods vehicles,0,0,0,0,0,0,1164524434.81,332430.632142207
106,E07000080,Forest of Dean,South West,Heavy goods vehicles,0,0,0,0,0,0,525902205.293377,190123.946392423
107,E07000081,Gloucester,South West,Heavy goods vehicles,0,0,0,0,0,0,40553067.1238632,33535.1384359469
