ID,Project/Plant Name,Status,Rated Power (kW),Discharge Duration at Rated Power (hrs),Storage Capacity (kWh),Applications.Bulk Energy Services (General Energy Applications).0,Applications.Bulk Energy Services (General Energy Applications).1,Applications.Bulk Energy Services (General Energy Applications).2,Applications.Ancillary Services.0,Applications.Ancillary Services.1,Applications.Ancillary Services.2,Applications.Ancillary Services.3,Applications.Ancillary Services.4,Applications.Ancillary Services.5,Applications.Transmission Infrastructure Services.0,Applications.Transmission Infrastructure Services.1,Applications.Distribution Infrastructure Services.0,Applications.Customer Energy Management Services (End-User Services).0,Applications.Customer Energy Management Services (End-User Services).1,Applications.Customer Energy Management Services (End-User Services).2,Applications.Customer Energy Management Services (End-User Services).3,Applications.Others.0,Paired Grid Resources,Description/Notes,URL,Country,City,County,State/Province,Street Address,Postal Code,Latitude,Longitude,Announced Date,Commissioned Date,Constructed Date,Decommissioned Date,Latest Update Date,Project Data Validated?,Grid Interconnection Level,Interconnection Type,ISO/RTO,System Operator,Utility Type,Utility ID,Number of Subsystems,Energy Storage Technology Provider,Power Electronics Provider,Installer,Developer,O&M Contractor,EPC 1,EPC 2,EPC 3,Ownership Model,Ownership Model (Other),Owner(s),Captial Expenditure - CAPEX (USD),Annual Operational Cost - OPEX (USD),Annual Maintenance or Warranty Cost (USD),Projected Payback Period (years),Debt Provider,Funding Source 1,Funding Source Amount 1 (USD),Funding Source 2,Funding Source Amount 2 (USD),Funding Source 3,Funding Source Amount 3 (USD),Contact Information: Name,Contact Information: Email Address,Contact Information: Phone Number,Subsystems.0.Subsystem Name,Subsystems.0.ID,Subsystems.0.Storage Device.Technology Broad Category,Subsystems.0.Storage Device.Technology Mid-Type,Subsystems.0.Storage Device.Technology Sub-Type,Subsystems.0.Storage Device.Storage Capacity (kWh),Subsystems.0.Storage Device.Round-trip Efficiency (%),Subsystems.0.Storage Device.Depth of Discharge (%),Subsystems.0.Storage Device.Warranty Lifetime (cycles),Subsystems.0.Storage Device.Warranty Lifetime (years),Subsystems.0.Storage Device.Storage Operating Temperature (deg C),Subsystems.0.Storage Device.Specific Energy (kWh/ton-metric),Subsystems.0.Storage Device.Energy Density (kWh/m^3),Subsystems.0.Storage Device.Footprint (m^2/MWh),Subsystems.0.Storage Device.Number of Cells,Subsystems.0.Power Conversion System.Rated Power (kW),Subsystems.0.Power Conversion System.Maximum Charge Power (kW),Subsystems.0.Power Conversion System.Maximum Discharge Power (kW),Subsystems.0.Power Conversion System.Overload Capability (%),Subsystems.0.Power Conversion System.Time Allowed for Overload (s),Subsystems.0.Power Conversion System.Ramping Rate (kW/min),Subsystems.0.Power Conversion System.Response Time (s),Subsystems.0.Power Conversion System.Nominal DC Voltage (kV),Subsystems.0.Power Conversion System.Nominal AC Voltage (kV),Subsystems.0.Power Conversion System.Nominal Frequency (Hz),Subsystems.0.Power Conversion System.Operating Frequency Range (Hz) Low,Subsystems.0.Power Conversion System.Operating Frequency Range (Hz) High,Subsystems.0.Power Conversion System.Number of Phases,Subsystems.0.Power Conversion System.Topology,Subsystems.0.Power Conversion System.Full Load Efficiency (%),Subsystems.0.Power Conversion System.Efficiency Degradation,Subsystems.0.Power Conversion System.Standby Energy Consumption (kWh),Subsystems.0.Power Conversion System.Lagging Power Factor Range,Subsystems.0.Power Conversion System.Leading Power Factor Range,Subsystems.0.Power Conversion System.Maximum Total Current Harmonic Distortion (%),Subsystems.0.Power Conversion System.Frequency Ride Through (FRT),Subsystems.0.Power Conversion System.Low Voltage Ride Through (LVRT),Subsystems.0.Power Conversion System.High Voltage Ride Through (HVRT),Subsystems.0.Power Conversion System.Warranty Lifetime (years),Subsystems.0.Balance of System.Transformer Rating,Subsystems.0.Balance of System.Transformer Configuration,Subsystems.0.Balance of System.Enclosure Operating Temperature (deg C),Subsystems.0.Balance of System.Operating Temperature (deg C),Subsystems.0.Balance of System.Communications,Subsystems.0.Balance of System.Enclosures,Subsystems.0.Balance of System.Controller Type
287,Kops II Pumped Storage Power Station,Operational,525000,0,0,Electric Energy Time Shift (Arbitrage),,,,,,,,,,,,,,,,Electric Supply Capacity,null,"Kops 2 is an underground pumped storage power station located in the Austrian Alps. It shares its upper basin, Kops Reservoir, with Kops 1, a traditional hydroelectric power plant, and uses Rifa Reservoir as its lower basin. Kops 2 contains three Pelton-type machine sets, each with a generating capacity of 175 MW and a pumping capacity of 150 MW.  The total investment was around ???400 million.",http://www.kopswerk2.at/,Austria,Gaschurn,null,Vorarlberg,null,null,46.9858102,10.03,null,01-05-2009,01-03-2003,null,null,NO,Transmission,null,,null,null,null,1,VA TECH,ABB,null,Voralberger Illwerke AG,null,VA TECH,Swietelsky,"Jager Bau, Torno, Beton- und Monierbau, Alpine Mayreder, Zublin, Voith Siemens Hydro",Third-Party-Owned,null,Voralberger Illwerke AG,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,287.1,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,null,null,null,null,null,null,null,null,null,null,525000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
288,BYD Shenzhen Longgang Demo 2 (???????????????????????????????????????),Operational,200,4,800,Electric Energy Time Shift (Arbitrage),,,Ramp Support,Operating Reserve (Supplementary),,,,,,,,,,,,,null,"BYD Energy Power Research Institute has successfully established a 1MW battery based energy storage station, 200kW energy storage container and a 1MW PV Generation. The 1MW battery based energy storage station is the ever first one in the world with Fe-battery as storage media with following functions: Peak shaping, load leveling, power quality improving, and utility efficiency improving. The storage container is characterized with following functions: Short construction lead time, longer life, easy accessibility, higher reliability, less pollution, and less space. It has promising market foreground. The 1MW PV generation, bearing a design capacity of 1MW and with an area of 12,000 sq.m., is empowered with the in-house developed Multi-crystalline PV panels with 14.7% conversion efficiency. It has been put into application and well worth visits.",http://www.byd.com/energy/reference_ess.htm,China,Longgang,null,Guangdong,null,null,22.720358,114.25,null,01-06-2009,null,null,null,NO,null,null,,null,null,null,1,BYD,null,BYD,null,null,null,null,null,Customer-Owned,null,BYD,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,288.1,Electro-chemical battery and chemical storage,Lithium-ion battery,Lithium-iron phosphate battery,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
289,Pingshan 1MW/1MWh ESS For State Grid Company,Operational,1000,1,1000,Electric Energy Time Shift (Arbitrage),,,Frequency Regulation,,,,,,,,,,,,,Electric Supply Capacity,null,"Relying on the advanced Fe battery technology, BYD ESS technology uses a modular, flexible design and can be easily tailored to meet a diverse set of customer needs. Up to now, BYD has a lot of successful cases of battery storage solutions from KW sized to MW sized system at home and abroad.",http://www.byd.com/energy/reference_ess.htm,China,Pingshan,null,Shenzhen,BYD Road,null,22.543099,114.06,null,01-06-2009,null,null,null,NO,null,null,,null,Federally Owned,null,1,BYD,null,null,null,null,null,null,null,Utility-Owned,null,China State Grid Company,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,289.1,Electro-chemical battery and chemical storage,Lithium-ion battery,Lithium-iron phosphate battery,null,null,null,null,null,null,null,null,null,null,1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
290,Andasol 2 CSP Solar Power Plant,Operational,50000,7.5,375000,Renewable Energy Time Shift,Renewable Energy Time Shift (Firming),,,,,,,,,,,,,,,,null,"Construction of the solar power plant Andasol 2 started in the beginning of 2007. Andasol 2 is identical in dimension with Andasol 1. ACS/Cobra, which is responsible for the construction of the power plant, entered also in this project holding 75 percent of the shares today. 25 percent of the shares are in ownership of Solar Millennium Verwaltungs GmbH, a subsidiary of Solar Millennium AG.",http://www.nrel.gov/csp/solarpaces/project_detail.cfm/projectID=4,Spain,Aldeire y La Calahorra,null,Granada,null,null,37.182758,-3.06,null,01-06-2009,03-15-2007,null,null,NO,null,null,,null,Investor Owned,null,1,null,null,null,ACS/Cobra Group,Cobra,Cobra,Sener,null,Third-Party-Owned,null,ACS/Cobra Group,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,290.1,Thermal energy storage,Sensible heat,Molten salt,null,null,null,null,null,null,null,null,null,null,50000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
291,Enercon Wind Turbine NaS BESS,Operational,800,6,4800,Renewable Energy Time Shift,Renewable Energy Time Shift (Firming),,,,,,,,,,,,,,,,null,This unit is connected to a 6 MW wind turbine.,http://www.enercon.de/en-en/,Germany,Emden,null,Lower Saxony,null,null,53.3594029,7.21,null,01-07-2009,null,null,null,NO,null,null,,null,null,null,1,NGK Insulators Ltd.,null,null,null,null,null,null,null,Customer-Owned,null,Enercon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,291.1,Electro-chemical battery and chemical storage,Sodium-based battery,Sodium-sulfur battery,null,null,null,null,null,null,null,null,null,null,800,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
292,Arlanda Airport Aquifer Thermal Energy Storage,Operational,10000,0,0,,,,,,,,,,,,,Retail TOU Energy Charges,,,,,null,"The world?€?s largest thermal energy storage installation is in an underground aquifer at the Arlanda Airport in Sweden.  Sweco was responsible for project development, engineering design and rconstruction of the Aquifer Thermal Energy Storage (ATES) and all connecting systems.  The ATES system consists of two groups of wells, forming a ?€?warm?€? group in the southern part of the aquifer, and a ?€?cold?€? group in the northern part. The wells are connected to a pipe system ending at the distribution center where heat and cold from the ATES system is transferred over to a distribution pipe through a large plate heat exchanger.   The system consists of 11 wells, 5 cold and 6 warm. The water flow rate is 720 m3/h and the thermal capacity is roughly 10 MW. Calculated energy savings is 4 GWh/year electricity and 10 GWh/year district heating.",http://www.underground-energy.com/The_ATES_project___a_sustainable_solution_for_Stockholm-Arlanda_airport.pdf,Sweden,Arlanda,null,Stockholm,190 45 Stockholm-Arlanda,null,59.6493133,17.93,null,01-07-2009,01-09-2008,null,null,NO,null,null,,null,null,null,1,Malmberg Water AB,Alfa Lava,Sweco,LFV (the Swedish Civil Aviation Administration),Arlanda Energi AB (Swedavia),Sweco,null,null,Customer-Owned,null,Arlanda Energi AB (Swedavia),null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,292.1,Thermal energy storage,,,null,null,null,null,null,null,null,null,null,null,10000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
293,BYD Demo,Operational,1000,4,4000,Electric Energy Time Shift (Arbitrage),,,,,,,,,,,,,,,,Electric Supply Capacity,null,The BYD demo project was primarily used as a demonstration project with peak shaving capabilities.   System Parameter: Voltage Grade: 380V/50Hz Voltage grade: 10kV/0.4kV System efficiency: ???90% Running mode: Interactive/Unattended Completed near 1000 full cycles already,http://www.byd.com/energy/reference_ess.htm,China,Pingshan,null,Shenzhen,BYD Road,null,22.543099,114.06,null,01-07-2009,null,null,null,NO,null,null,,null,null,null,1,null,null,null,null,null,null,null,null,Customer-Owned,null,BYD,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,293.1,Electro-chemical battery and chemical storage,Lithium-ion battery,Lithium-iron phosphate battery,null,null,null,null,null,null,null,null,null,null,1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
294,BYD Shenzhen Longgang Demo 2 (???????????????????????????????????????),Operational,1000,4,4000,Electric Energy Time Shift (Arbitrage),,,Ramp Support,Operating Reserve (Supplementary),,,,,,,,,,,,,null,"BYD Energy Power Research Institute has successfully established a 1MW battery based energy storage station, 200kW energy storage container and a 1MW PV Generation. The 1MW battery based energy storage station is the ever first one in the world with Fe-battery as storage media with following functions: Peak shaping, load leveling, power quality improving, and utility efficiency improving. The storage container is characterized with following functions: Short construction lead time, longer life, easy accessibility, higher reliability, less pollution, and less space. It has promising market foreground. The 1MW PV generation, bearing a design capacity of 1MW and with an area of 12,000 sq.m., is empowered with the in-house developed Multi-crystalline PV panels with 14.7% conversion efficiency. It has been put into application and well worth visits.",http://www.byd.com/usa/news-posts/chinas-largest-and-first-environmentally-friendly-battery-storage-station-is-in-service/,China,Longgang,null,Guangdong,null,null,22.720358,114.25,null,01-07-2009,null,null,null,NO,null,null,,null,null,null,1,BYD,null,BYD,null,null,null,null,null,Customer-Owned,null,BYD,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,294.1,Electro-chemical battery and chemical storage,Lithium-ion battery,Lithium-iron phosphate battery,null,null,null,null,null,null,null,null,null,null,1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
295,Kaheawa Wind Project - Younicos,Operational,1500,0.25,375,Renewable Energy Time Shift (Firming),,,Ramp Support,,,,,,,,,,,,,,Wind,Younicos installed a 1.5 MW Dynamic Power Resource (DPR) as a demonstration project to perform Ramp Control for 3 MW of the 30 MW Kaheawa Wind Farm in Hawaii.  The project uses Xtreme's patented Dynamic Power Resource energy storage and power management system.,https://www.younicos.com/case-studies/maui-hawaii/,United States,Maui,null,Hawaii,null,null,20.7983626,-156.33,null,01-07-2009,null,null,null,NO,Transmission,null,,null,Investor Owned,null,1,Xtreme Power,null,Younicos,First Wind,null,null,null,null,Third-Party-Owned,null,First Wind,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,295.1,Electro-chemical battery and chemical storage,Lead-acid battery,Advanced lead-acid battery,null,null,null,null,null,null,null,null,null,null,1500,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
296,Horse Island Microgrid Project,Operational,12,5,60,Renewable Energy Time Shift,Renewable Energy Time Shift (Firming),,,,,,,,,,,,,,,Electric Supply Capacity,18 kW windfarm,"A tiny island of four cottages, Horse Island's residents sought to reduce their reliance on their two diesel generators.  In August 2009 the residents contracted Wind &amp; Sun LTD to install a battery bank and 6 wind turbines.",http://www.windandsun.co.uk/case-studies/islands-mini-grids/horse-island.aspx#.U35T1PldXXo,United Kingdom,Horse Island,null,"Highland, Scotland",null,IV26 2SY,57.986,-5.345,null,01-08-2009,01-08-2009,null,null,NO,null,null,,null,null,null,1,Rolls Battery LTD,Aeolus Power,GreenNRG,"Aeolus Power, GreenNRG",null,Wind &amp; Sun LTD,null,null,Customer-Owned,null,UNK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,296.1,Electro-chemical battery and chemical storage,Lead-acid battery,,null,null,null,null,null,null,null,null,null,null,12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
297,Woojin/Maxwell Daejeon Line 1 - Daedong Station (103),Operational,1870,0,0,Electric Energy Time Shift (Arbitrage),,,Voltage Support,,,,,,,,,,,,,Transportation Services,null,"Woojin Industrial Systems has completed installation of its energy storage system (ESS) ultracapacitor-based braking energy recuperation systems in seven Metro stations in Seoul, Daejon, Incheon and the Korea Train eXpress (KTX) high-speed rail depot in Seoul.  Beginning with installation of demonstration systems in 2009 under a contract with the Korean federal government's Korean Railroad Research Institute (KRRI), Woojin and rail system operators have achieved grid power consumption savings of more than 20 percent and realized additional benefits in the form of system voltage stabilization that reduces power infrastructure requirements and helps to ensure uninterrupted operation. The recuperation systems, ranging from 750 to 1,500 volts, employ Maxwell ultracapacitors to absorb energy during rail vehicle braking and deliver the stored energy to the vehicles' electric motors for propulsion and to stabilize voltage throughout the system.  Each installation employs up to 200 of Maxwell's 48-volt multi-cell ultracapacitor modules. Based on their positive experience to date, Woojin and rail system operators are planning several additional installations in 2014 and 2015.",http://www.wjis.co.kr,South Korea,Dong-gu,null,Daejeon,165 Dae-dong,null,36.3294157,127.44,null,01-08-2009,01-08-2009,null,null,NO,null,null,,null,Federally Owned,null,1,Maxwell Technologies,Woojin Industrial Systems,Woojin Industrial Systems,Woojin Industrial Systems,null,null,null,null,Customer-Owned,null,Daejeon Metropolitan Express Transit Corporation,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,297.1,Electro-chemical battery and chemical storage,Electro-chemical capacitor,,null,null,null,null,null,null,null,null,null,null,1870,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
298,Holaniku at Keahole Point,Operational,2000,2,4000,Renewable Energy Time Shift,Renewable Energy Time Shift (Firming),,,,,,,,,,,,,,,,null,"Technology:	Parabolic trough Land Area:	 3 acres PPA/Tariff Date:	 January 1, 2010  Plant Configuration Solar Field # of Solar Collector Assemblies (SCAs):	 1,008 SCA Manufacturer (Model):	 Sopogy (SopoNova??) SCA Drive Manufacturer:	Sopogy (SopoTracker???) Heat-Transfer Fluid Type:	Xceltherm-600 Solar-Field Inlet Temp:	 93??C Solar-Field Outlet Temp:	 176??C Power Block Turbine Capacity (Gross):	 2.0 MW Turbine Capacity (Net):	 2.0 MW Output Type:	Steam Rankine Cooling Method:	Wet cooling",http://www.nrel.gov/csp/solarpaces/project_detail.cfm/projectID=71,United States,Keahole Point,null,Hawaii,null,null,19.7267618,-156.06,null,01-12-2009,01-01-2006,null,null,NO,null,null,,null,null,null,1,null,null,null,"Keahole Solar Power, Sopogy",null,"Energy Industries Corporation, Inc.",null,null,Third-Party-Owned,null,Keahole Solar Power,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,298.1,Thermal energy storage,Heat thermal storage,,null,null,null,null,null,null,null,null,null,null,2000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
299,Los Andes Substation Battery Energy Storage System - AES Gener,Operational,12000,1,12000,,,,Frequency Regulation,Operating Reserve (Spinning),,,,,,,,,,,,,Grid,"The Los Andes project provides critical contingency services to maintain the stability of the electric grid in Northern Chile, an important mining area.  The project continuously monitors the condition of the power system and if a significant frequency deviation occurs, such as the loss of a generator or transmission line, the Los Andes system provides up to 12 MW of power nearly instantaneously.  This output can be maintained for 20 minutes at full power, allowing the system operator to resolve the event or bring other standby units online.",http://www.aesenergystorage.com/deployments/,Chile,Copiapo,null,Atacama,null,null,-27.366359,-70.33,null,01-12-2009,null,null,null,NO,Transmission,null,CDEC-SING,null,null,null,1,A123 Systems,Parker SSD,null,AES Energy Storage,null,null,null,null,Third-Party-Owned,null,AES Gener,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,299.1,Electro-chemical battery and chemical storage,Lithium-ion battery,,null,null,null,null,null,null,null,null,null,null,12000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
300,TAS Texas Cooperative,Operational,90000,12,1080000,Electric Energy Time Shift (Arbitrage),,,Ramp Support,Operating Reserve (Spinning),,,,,,,,,,,,Electric Supply Capacity,Gas Turbine,"This is a Generation Storage system in which water is chilled at off peak and stored in a thermal energy storage tank.  The following day during peak, chilled water is pulled from the tank to chill the inlet air of the gas turbine, resulting in increased output.  System is weather dependent, with full 90 MW output at 95F.  System offers increased MWs for capacity and/or ancillary services beginning at temperatures above 59F, with highest performance at highest temperatures",https://www.dntanks.com/projects/tes-for-jacksboros-natural-gas-power-plant/,United States,Jacksboro,null,Texas,Jack County Plant,null,33.218512,-98.16,null,08-08-2009,02-03-2008,null,null,NO,Primary Distribution,null,ERCOT,null,Cooperative (Customer Owned),null,1,DN Tanks,null,TAS Energy,null,null,null,null,null,Utility-Owned,null,Brazos Electric Cooperative,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,300.1,Thermal energy storage,Sensible heat,Chilled water,null,null,null,null,null,null,null,null,null,null,90000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
301,Long Island Bus BESS - New York Power Authority,Operational,1000,6.5,6500,Electric Energy Time Shift (Arbitrage),,,Black Start,Operating Reserve (Spinning),,,,,Transmission Congestion Relief,,,Retail TOU Energy Charges,,,,,null,"Long Island Bus?€?s Battery Energy Storage System (BESS) powers the natural gas compressors LI Bus uses to refuel its fixed route vehicles during the day. LI Bus' entire fleet of 330 buses runs on compressed natural gas utilizing an environmentally responsible technology to transport 30 million riders annually. BESS automatically recharges itself at night when low-demand makes electric rates less expensive. It lets LI Bus improve its energy efficiency, reduce costs and provide emergency backup power.   This device is among the first and largest sodium sulfur cell technology installations in the United States. It also marks the first time this type of advanced battery technology is being used by a consumer with an electric meter. That's an important development because storing power based on this battery process has the potential to allow customers to capture energy from sources such as wind or tidal power. They can then use the electricity when it's most needed.",http://www.sandia.gov/ess/docs/pr_conferences/2009/eckroad.pdf,United States,Garden City,null,New York,null,null,40.7267682,-73.63,01-05-2006,09-01-2009,01-09-2006,null,null,NO,Secondary Distribution,null,NYISO,null,Public Owned,null,1,NGK Insulators Ltd.,ABB,Long Island Power Authority,New York Power Authority,null,null,null,null,Customer-Owned,null,Metro Transit Authority (NYC),null,null,null,null,null,Federal/National Grant,null,Federal/National Grant,null,null,null,null,null,null,Subsystem 1,301.1,Electro-chemical battery and chemical storage,Sodium-based battery,Sodium-sulfur battery,null,null,null,null,null,null,null,null,null,null,1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
302,"Marble Bar PowerStore Flywheel Project - 2,000 Solar Modules and a Solar Tracking System",Operational,500,0,0,,,,Voltage Support,Frequency Regulation,,,,,,,,,,,,,Solar / Diesel,"&lt;p&gt;The world???????€??????€???s first high penetration, solar photovoltaic diesel power stations were commissioned in 2010 in the towns of Nullagine and Marble Bar, in Western Australia. The projects include more than 2,000 solar modules and a solar tracking system that follows the path of the sun throughout the day. When the sun is shining, PowerStore grid-stabilizing technology and DCS power management solution ensures maximum solar energy (100% peak penetration) goes into the network by lowering diesel generation, up to the minimum loading of the generation units. When the sun is obscured, the PowerStore covers the loss of solar power generation as the DCS ramps up the diesel generation, so the network has an uninterrupted energy supply. The solar energy systems generate over 1 gigawatt hour (GWh) of renewable energy per year, supplying 60 percent of the average daytime energy for both towns, saving 405,000 liters of fuel and 1,100 metric tons of greenhouse gas emissions each year. &lt;/p&gt;
&lt;p&gt;The PowerStore is a compact and versatile flywheel-based grid stabilizing generator. Its main purpose is to stabilize power systems against fluctuations in frequency and voltage. It includes state-of-the-art inverters and virtual generator control software. It enables the integration of intermittent and often erratic renewable generation and the higher utilization of renewable energy generators, protecting remote communities from exposure to volatile oil prices. &lt;/p&gt;
&lt;p&gt;PowerStore safeguards conventional microgrids, and ensures the safe integration of large amounts of wind and solar energy, reducing emissions and dependency on fossil fuels. High-speed software controls the power flow into and out of the flywheel, essentially making it a high inertia electrical shock absorber that can instantly smooth out power fluctuations generated by wind turbines or solar arrays. &lt;/p&gt;
&lt;p&gt;PowerStore acts like a STATCOM (advanced grid technology that quickly stabilizes voltage and improves power quality) and in addition is capable of rapidly absorbing or injecting real power within an isolated power network. It can stabilize both voltage and frequency, hold 18 MWs (megawatt seconds) of energy and shift from full absorption to full injection in 1 millisecond to stabilize the grid.&lt;/p&gt;",http://www.abb.com/cawp/seitp202/38567a1472ea578fc1257e8a0030a70d.aspx,Australia,Marble Bar,null,Western Australia,null,null,-21.16493,119.741631,null,01-01-2010,01-01-2010,null,null,NO,Transmission,null,,null,State/Municipal Owned,null,1,ABB,ABB,null,null,null,null,null,null,Utility-Owned,null,Horizon Power,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,302.1,Electro-mechanical energy storage,Flywheel,,null,null,null,null,null,null,null,null,null,null,500,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
303,China EPRI 100kW/100kWh ESS,Operational,100,1,100,,,,Frequency Regulation,,,,,,,,,,,,,,null,"Relying on the advanced Fe battery technology, BYD ESS technology uses a modular, flexible design and can be easily tailored to meet a diverse set of customer needs. Up to now, BYD has a lot of successful cases of battery storage solutions from KW sized to MW sized system at home and abroad.",http://www.byd.com,China,Beijing,null,Beijing,null,null,40,116,null,01-01-2010,null,null,null,NO,null,null,,null,null,null,1,BYD,null,null,null,null,null,null,null,Customer-Owned,null,China EPRI,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,303.1,Electro-chemical battery and chemical storage,Lithium-ion battery,Lithium-iron phosphate battery,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
304,ADWEA NaS BESS,Operational,8000,6,48000,Electric Energy Time Shift (Arbitrage),,,,,,,,,,,,,,,,,null,The Abu Dhabi Water and Electricity Authority (ADWEA) has successfully deployed a Battery Energy Storage System (BESS) which is connected to the Abu Dhabi electricity grid. This is a milestone and one of the many Smart Grid initiatives being implemented in the Sector that will contribute to accomplishing the 2030 vision of having a fully integrated 'SMART UTILITY'. The ADWEA BESS are one of the energy management systems used for purposes of leveling the electricity load curve in order to reduce the high cost of running peak load electrical generation. Such benefit is accomplished by storing excess available energy at night and injecting such energy back into the electrical grid during the day. The implementation of the BESS also develops a reserved distributed generation for emergency supply and contributes to the spinning reserve.,http://www.adwea.ae/en/press/press-releases/adwea-has-successfully-deployed-a-battery-energy-storage-system.aspx,United Arab Emirates,Abu Dhabi,null,Abu Dhabi,null,null,24.466667,54.37,null,01-01-2010,null,null,null,NO,null,null,,null,null,null,1,null,NGK Insulators Ltd.,null,null,null,null,null,null,Utility-Owned,null,Abu Dhabi Water & Electricity Authority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,304.1,Electro-chemical battery and chemical storage,Sodium-based battery,Sodium-sulfur battery,null,null,null,null,null,null,null,null,null,null,8000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
