Color by,Project Name,State Name,Type Name,Company,Country Name,DOE Support,If State,Location,Other,Plant,Project Date,Project ID,Project Link,Project Name,Status Detail Name,Status Name,Technology Name,Unit Base Name 1,Avg. Icon Size,Latitude,Longitude,Distinct count of Project ID,Major Injection Amount
Potential,CarbonSAFE Illinois Macon County,Illinois,Storage,Illinois State Geological Survey,United States,DOE Supported,", Illinois",Christian County,"The project willl work to establish the feasibility of a commercial-scale CO2 geologic storage complex within the Mt. Simon sandstone formation located in Macon County, Illinois.",,4/1/2017,362,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029381,CarbonSAFE Illinois Macon County,Planning,Potential,,,1,39.845347,-88.953416,1,
Potential,CarbonSAFE Illinois East Sub-Basin,Illinois,Storage,Illinois State Geological Survey,United States,DOE Supported,", Illinois",east sub-basin of the Illinois Basin,Conduct a pre-feasibility assessment for commercial-scale CO2 geological storage complexes in the East sub-basin of the Illinois Basin.,,3/1/2017,363,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029445,CarbonSAFE Illinois East Sub-Basin,Planning,Potential,,,1,39.800683,-87.975712,1,
Potential,California CO2 Storage Assurance Facility Enterprise (C2SAFE),California,Storage,EPRI - Electric Power Research Institute,United States,Other Support,", California",southern San Joaquin Valley,"Conduct an initial assessment of the southern San Joaquin Valley (SSJV) in California, specifically, of the technical, economic, social, and regulatory challenges and solutions related to the development of a commercial-scale, integrated CCS facility.",,2/1/2017,361,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029489,California CO2 Storage Assurance Facility Enterprise (C2SAFE),Planning,Potential,,,1,35.385317,-119.297308,1,
Potential,ZENG Worsham-Steed,Texas,Capture & Storage,CO2 Global,United States,Other Support,", Texas",Worsham-Steed," Technology development, process design and engineering began in 2007.  May lead to development of a larger 200+ MW plant if successful.",ZENG Worsham-Steed,1/1/2007,179,https://sequestration.mit.edu/tools/projects/worsham_steed.html,ZENG Worsham-Steed,Plant Design,Potential,,Tonnes per Day,1,32.461351,-97.890919,1,870
Potential,Yulin Coal to Chemicals CCS,Shaanxi Province,Capture & Storage,Shenhua Group,China,Other Support,", Shaanxi Province",Yulin City,Shenhua and Dow would likely form a 50:50 joint-venture company to build and operate the project which is planned to produce a large number of different chemicals. This project is still in the early stages of development.,New coal to chemical plant,1/1/2017,334,https://sequestration.mit.edu/tools/projects/Yulin.html,Yulin Coal to Chemicals CCS,Planning,Potential,Solvents,Tonnes per Day,1,38.237528,109.717015,1,"5,480"
Potential,White Rose CCS Project,North Yorkshire,Capture & Storage,Capture Power Limited,United Kingdom,Other Support,", North Yorkshire","Drax, Selby","On November 25, 2015, the UK announced that it was cancelling the UK £1bn CCS Competition. To date there has been no announcement of the project's current status.",Drax Power Station,9/1/2014,338,https://sequestration.mit.edu/tools/projects/white_rose.html,White Rose CCS Project,Permitting,Potential,Oxy-fuel Combustion,,1,53.744732,-0.998704,1,
Potential,Riley Ridge Gas Plant,Wyoming,Capture & Storage,"Denbury Onshore, LLC",United States,Other Support,", Wyoming",Big Piney,Initial development plans for CO2 capture from the Riley Ridge Gas plant envisaged a 2015-17 start-up date. Denbury has indicated that the new plan is for a 2020 development time-line,Riley Ridge Gas Plant,1/1/2020,347,http://www.zeroco2.no/projects/riley-ridge-gas-plant-eor,Riley Ridge Gas Plant,Planning,Potential,Amines,,1,42.4756,-110.489,1,
Potential,Poza Rica EOR Project,Veracruz,Capture & Storage,Comisión Federal de Electricidad (CFE),Mexico,Other Support,", Veracruz",Tuxpan,"Inititial proposal was to run the demonstration project in the Tuxpan Power Plant that would be refitted to use coal as primary source. Due to CFE strategic decisions, it was decided to have the CCS project in the NGCC Power Plant located at Poza Rica",Poza Rica Power Plant,1/1/2009,302,http://eventos.iingen.unam.mx/CCSworkshops/ponenciasMEXICO2012/LACYPresentacionMONITORINGPOZARICA.pdf,Poza Rica EOR Project,Planning,Potential,Amines,Tonnes per Day,1,20.526377,-97.491807,1,8
Potential,Petrom Zero Emissions Plant (ZEP),Prahova County,Capture & Storage,Petrom E&P,Romania,Other Support,", Prahova County",Brazi,Performing a feasibility study to design a zero emission plant. The plant will be supplied with CO2 rich gas from one of Petroms fields.  CO2 from plant will be reinjected into an oil field for EOR.,Petrom Zero Emissions Plant,1/1/2009,317,http://petrom.webstyler.ro/pdffiles/Climate-change-52-EN.pdf,Petrom Zero Emissions Plant (ZEP),Engineering design,Potential,Oxy-fuel Combustion,,1,45.929741,22.848412,1,
Potential,North Bohemia Clean Coal Project,Usti nad Labem,Capture & Storage,CEZ Group,Czech Republic,Other Support,", Usti nad Labem",North Bohemia,CEZ Group is planning to join a planned construction of demonstration low-emission units within the EU.,[new plant],1/1/2015,191,http://www.cez.hu/en/news/764.html,North Bohemia Clean Coal Project,Plant Design,Potential,,% Reduction,1,50.086012,14.43126,1,15
