City,Country,Data Center,Data Center,Latitude (generated),Longitude (generated)
Netherlands,Netherlands,Google Cloud,Google Cloud,52.1326,5.2913
Tokyo,Japan,Google Cloud,Google Cloud,35.68,139.77
Osaka,Japan,Google Cloud,Google Cloud,34.693,135.502
Mumbai,India,Google Cloud,Google Cloud,18.9667,72.8333
Hong Kong,Hong Kong,Google Cloud,Google Cloud,22.285,114.157
Frankfurt,Germany,Google Cloud,Google Cloud,50.110924,8.682127
Finland,Finland,Google Cloud,Google Cloud,61.9241,25.7482
Belgium,Belgium,Google Cloud,Google Cloud,50.5039,4.4699
Sydney,Australia,Google Cloud,Google Cloud,-33.868,151.21
Oregon,US,Amazon,Amazon,43.8041,-120.5542
Ohio,US,Amazon,Amazon,40.4173,-82.907
North Carolina,US,Amazon,Amazon,35.7596,-79.0193
London,UK,Amazon,Amazon,51.5073,-0.1276
Stockholm,Sweden,Amazon,Amazon,59.3294,18.0686
Seoul,South Korea,Amazon,Amazon,37.568,126.977
Cape Town,South Africa,Amazon,Amazon,-33.9351,18.4289
Singapore,Singapore,Amazon,Amazon,1.289,103.85
Ireland,Northern Island,Amazon,Amazon,,
Tokyo,Japan,Amazon,Amazon,35.68,139.77
Osaka,Japan,Amazon,Amazon,34.693,135.502
Milan,Italy,Amazon,Amazon,45.4642,9.1903
Mumbai,India,Amazon,Amazon,18.9667,72.8333
Hong Kong,Hong Kong,Amazon,Amazon,22.285,114.157
Frankfurt,Germany,Amazon,Amazon,50.110924,8.682127
Paris,France,Amazon,Amazon,48.8566,2.3518
Sao Paulo,Brazil,Amazon,Amazon,23.5505,-46.6333
Bahrain,Bahrain,Amazon,Amazon,,
Sydney,Australia,Amazon,Amazon,-33.868,151.21
