LineID,bus0,bus1,voltage,s_nom,r,x,b,length,under_construction
385,way/95338682-400,GB50-400,400,3574.953,0.184128,1.509851,0.00010644,12275.21,f
386,way/785730495-400,GB31-400,400,3574.953,0.111291,0.912584,6.43e-05,7419.38,f
387,GB34-400,way/313495269-400,400,3574.953,0.235336,1.929756,0.00013604,15689.07,f
388,GB31-400,relation/7881280-400,400,3574.953,0.323482,2.652556,0.00018699,21565.5,f
389,way/147475796-275,way/159736514-275,275,1843.335,0.058653,0.388573,2.43e-05,2932.63,f
390,way/90547685-275,GB37-275,275,1843.335,0.094569,0.626518,3.92e-05,4728.44,f
391,way/160616357-275,GB37-275,275,1843.335,0.149512,0.990518,6.2e-05,7475.61,f
392,GB37-275,way/143905069-275,275,921.668,1.874263,12.416991,0.00019431,46856.57,f
393,GB36-400,GB33-400,400,3574.953,0.437007,3.583454,0.00025261,29133.77,f
394,way/115887437-275,way/159736514-275,275,1843.335,0.065739,0.435521,2.73e-05,3286.95,f
395,way/81098733-275,way/30930911-275,275,1843.335,0.220935,1.463692,9.16e-05,11046.73,f
396,GB13-400,way/102198808-400,400,3574.953,0.823618,6.753666,0.00047609,54907.85,f
397,way/96905262-275,way/65482882-275,275,1843.335,0.193223,1.280101,8.01e-05,9661.14,f
398,way/96905262-400,way/27163121-400,400,3574.953,0.132208,1.084104,7.64e-05,8813.85,f
399,way/96905262-400,way/262532045-400,400,3574.953,0.465085,3.813694,0.00026884,31005.64,f
400,way/96630594-275,way/310502642-275,275,1843.335,0.334962,2.219125,0.00013891,16748.11,f
401,GB15-275,relation/7894974-275,275,1843.335,0.101288,0.671032,4.2e-05,5064.39,f
402,way/820237569-400,way/118821349-400,400,3574.953,0.355501,2.91511,0.0002055,23700.08,f
403,way/820229174-275,way/778717371-275,275,1843.335,0.855723,5.669166,0.00035486,42786.16,f
404,way/778717371-275,way/306451400-275,275,1843.335,0.265564,1.759363,0.00011013,13278.21,f
405,relation/11543333-400,way/43472283-400,400,3574.953,0.313413,2.569983,0.00018117,20894.17,f
406,GB40-275,way/92419253-275,275,921.668,0.709554,4.700798,7.36e-05,17738.86,f
407,way/97256377-275,way/135693940-275,275,1843.335,0.293733,1.945984,0.00012181,14686.67,f
408,way/4746208-275,way/22975329-275,275,1843.335,0.526946,3.491017,0.00021852,26347.3,f
409,way/123037622-275,way/101365758-275,275,1843.335,0.452878,3.000315,0.0001878,22643.89,f
410,way/90547674-275,way/193617444-275,275,1843.335,0.090047,0.596561,3.73e-05,4502.35,f
411,way/310502642-275,way/91955171-275,275,1843.335,0.536207,3.55237,0.00022236,26810.34,f
412,way/24165071-400,way/77065229-400,400,3574.953,0.40387,3.311731,0.00023346,26924.64,f
413,way/28691559-400,way/91082448-400,400,3574.953,0.77592,6.362545,0.00044852,51728.01,f
414,way/23988786-400,way/20851038-400,400,3574.953,0.550168,4.511376,0.00031803,36677.85,f
415,way/209404646-400,way/142397822-400,400,3574.953,0.083806,0.687206,4.84e-05,5587.04,f
416,way/183904046-275,way/200635683-275,275,1843.335,0.165958,1.099469,6.88e-05,8297.88,f
417,way/785730495-275,way/211549457-275,275,1843.335,0.498686,3.303796,0.0002068,24934.31,f
418,GB52-400,way/376450057-400,400,3574.953,0.088353,0.724492,5.11e-05,5890.18,f
419,way/222987687-275,GB66-275,275,1843.335,0.124012,0.82158,5.14e-05,6200.6,f
420,way/49601061-400,way/93299730-400,400,1787.476,0.080098,0.6568,1.16e-05,2669.92,f
421,way/227589012-400,way/371757485-400,400,1787.476,0.195722,1.604916,2.83e-05,6524.05,f
422,way/93299730-400,GB72-400,400,3574.953,0.082325,0.675065,4.76e-05,5488.33,f
423,GB72-400,way/1120475588-400,400,3574.953,0.101002,0.828219,5.84e-05,6733.49,f
424,way/93299730-400,way/31015820-400,400,1787.476,0.12826,1.051729,1.85e-05,4275.32,f
425,way/227495569-275,way/109730296-275,275,1843.335,0.039388,0.260946,1.63e-05,1969.4,f
426,way/142397822-400,way/109730296-400,400,3574.953,0.084087,0.689511,4.86e-05,5605.78,f
427,way/636630371-400,way/4715504-400,400,3574.953,0.114406,0.938132,6.61e-05,7627.09,f
428,way/310502642-400,GB16-400,400,3574.953,0.404017,3.312937,0.00023354,26934.45,f
429,way/184584639-275,way/183904046-275,275,1843.335,0.089893,0.595538,3.73e-05,4494.63,f
430,way/96630594-275,way/184584639-275,275,1843.335,0.137584,0.911497,5.71e-05,6879.22,f
431,relation/9598269-275,GB40-275,275,921.668,0.530988,3.517798,5.51e-05,13274.71,f
432,way/87464485-400,way/22975329-400,400,3574.953,0.0828,0.678961,4.79e-05,5520.01,f
433,way/22975329-275,way/23228569-275,275,1843.335,0.123393,0.817479,5.12e-05,6169.65,f
434,way/23228569-275,way/22975329-275,275,1843.335,0.124398,0.824138,5.16e-05,6219.91,f
435,relation/9409219-400,GB83-400,400,3574.953,0.242133,1.985487,0.00013997,16142.17,f
436,GB83-400,way/23988786-400,400,3574.953,0.06632,0.543821,3.83e-05,4421.31,f
437,way/103150854-400,way/494951597-400,400,3574.953,0.035741,0.293077,2.07e-05,2382.74,f
438,way/23132983-275,way/23228569-275,275,1843.335,0.150505,0.997098,6.24e-05,7525.27,f
439,way/23132983-275,way/23228569-275,275,1843.335,0.153305,1.015646,6.36e-05,7665.25,f
440,way/23299362-275,way/23390317-275,275,1843.335,0.360416,2.387755,0.00014946,18020.79,f
441,relation/7880111-400,way/32796576-400,400,3574.953,0.748187,6.135135,0.00043249,49879.15,f
442,way/87207123-400,way/87204522-400,400,3574.953,0.677937,5.559082,0.00039188,45195.79,f
443,way/92458761-400,GB57-400,400,1787.476,0.212258,1.740519,3.07e-05,7075.28,f
444,GB53-400,GB51-400,400,3574.953,0.115298,0.945441,6.67e-05,7686.51,f
445,way/87204522-400,GB56-400,400,3574.953,0.295953,2.426811,0.00017108,19730.17,f
446,way/92260633-275,GB58-275,275,1843.335,0.159421,1.056161,6.61e-05,7971.03,f
447,GB26-275,way/164380199-275,275,1843.335,0.094895,0.628682,3.94e-05,4744.77,f
448,way/164380199-275,GB28-275,275,1843.335,0.047058,0.311757,1.95e-05,2352.88,f
449,way/103150854-400,way/102549055-400,400,3574.953,0.241205,1.977884,0.00013943,16080.36,f
450,way/494951597-400,way/102549055-400,400,3574.953,0.210255,1.724093,0.00012154,14017.02,f
451,way/90547674-275,way/193617444-275,275,1843.335,0.090575,0.600057,3.76e-05,4528.73,f
452,way/90547674-400,way/313495269-400,400,3574.953,0.157955,1.295231,9.13e-05,10530.33,f
453,way/313495269-400,way/160580052-400,400,3574.953,0.169458,1.389553,9.8e-05,11297.18,f
454,way/160580052-400,way/25629803-400,400,3574.953,0.342223,2.806231,0.00019782,22814.89,f
455,way/25629803-400,way/33917128-400,400,3574.953,0.444907,3.64824,0.00025718,29660.49,f
456,way/77065229-400,GB63-400,400,3574.953,0.65275,5.35255,0.00037732,43516.67,f
457,way/98788846-275,GB68-275,275,1843.335,0.130234,0.862802,5.4e-05,6511.71,f
458,way/701436399-400,GB32-400,400,3574.953,0.070564,0.578622,4.08e-05,4704.24,f
459,way/160279525-400,GB35-400,400,3574.953,0.100486,0.823984,5.81e-05,6699.06,f
460,GB35-400,way/313180501-400,400,3574.953,0.08924,0.73177,5.16e-05,5949.35,f
461,GB25-400,relation/7894483-400,400,3574.953,0.719769,5.902102,0.00041606,47984.57,f
462,way/25629803-400,way/90125443-400,400,3574.953,0.253792,2.081094,0.00014671,16919.46,f
463,way/260300448-275,way/143105488-275,275,921.668,1.925468,12.756228,0.00019962,48136.71,f
464,way/422486984-275,relation/2452471-275,275,1843.335,0.080614,0.534066,3.34e-05,4030.69,f
465,way/29111844-400,GB69-400,400,3574.953,0.16345,1.340292,9.45e-05,10896.68,f
466,GB69-400,way/94530230-400,400,3574.953,0.148262,1.215744,8.57e-05,9884.1,f
467,GB63-400,way/25422135-400,400,3574.953,0.385708,3.162808,0.00022296,25713.89,f
468,GB52-400,way/190511290-400,400,3574.953,0.217539,1.78382,0.00012575,14502.6,f
469,way/27332350-275,way/27163121-275,275,1843.335,0.189857,1.257803,7.87e-05,9492.85,f
470,way/27163121-400,way/212779654-400,400,3574.953,0.797871,6.54254,0.00046121,53191.38,f
