Unit,Technology,cost(EUR/MWh),
battery,battery storage,0,
biomass,biomass,14.89361702,
cascade,hydro,0,
demand_flex,,0,
fossil,gas,20.1,
hydro,hydro,0,
interconnector,,0,
load,,0,
nuclear,nuclear,11.38,
offwind,offwind,0.02,
onwind,onwind,1.5,
PHS,PHS,0,
solar,solar,0.01,
