LoadID,Bus name,load_weight,RegionName
111,relation/7880111-400,0.0044879027913879,West Weybridge
112,way/49601061-400,0.0028737598690939,Willesden 132kV
113,way/49601061-400,0.0028737598690939,Willesden 132kV
114,way/23390317-275,0.0025501772517538,Chessington
115,way/31015820-400,0.0041524451813851,St Johns Wood
116,way/23132983-275,0.0038824062325398,Tottenham
117,way/23132983-275,0.0038824062325398,Tottenham
118,way/371757485-400,0.0028721317121157,Hackney
119,way/23299362-400,0.0033962019525707,Beddington (_J)
120,way/23299362-275,0.0047127166930165,Beddington (_J)
121,way/23299362-275,0.0047127166930165,Beddington (_J)
122,way/91082448-400,0.008689145801017,Bolney
123,way/49922626-400,0.0021921280153216,Chickerell
124,GB66-275,0.0014508584900851,Cardiff East
125,way/95279334-400,0.0041168214780552,Minety
126,relation/11543333-400,0.0029529793541005,Spennymoor
127,relation/11543333-400,0.0041862117109347,Spennymoor
128,relation/11543333-400,0.0041862117109347,Spennymoor
129,way/200511209-400,0.0011709803448067,Hawthorn Pit
130,way/200511209-400,0.0011709803448067,Hawthorn Pit
131,way/635829123-400,0.0049121829601042,Walpole (_A)
132,way/32227788-400,0.003085874931719,Norwich Main
133,way/148382435-275,0.0002019344269439,Glenluce
134,way/297840585-400,0.0001989683199308,Hunterston Farm
135,way/297840585-400,0.0004106066919541,Hunterston Farm
136,way/125860302-275,0.0002726943174903,Ayr
137,way/143398451-275,0.0004803590139233,Elderslie
138,way/143398451-275,0.0004803590139233,Elderslie
139,way/166703758-275,0.0005318587931328,Giffnock
140,way/143388743-275,0.0005175936142708,Kilmarnock Town
141,way/143388743-275,0.0005175936142708,Kilmarnock Town
142,way/143105488-275,0.000271337314759,Coylton
143,way/166703764-275,0.0005072898830281,East Kilbride
144,relation/7894974-275,0.0005174182031601,Strathaven
145,relation/7894974-400,0.0005743520698917,Strathaven
146,way/212779654-400,0.0005760462083825,Wishaw
147,way/212779654-400,0.0005760462083825,Wishaw
148,way/143383456-400,0.0005828938088262,Linnmill
149,way/143383456-400,0.0005828938088262,Linnmill
150,way/143383456-400,0.0005485174921435,Linnmill
151,way/284874050-275,0.0004781756131565,Linnmill
152,way/472289073-275,0.0005240363881205,Dumfries
153,way/472289073-275,0.0004962778400779,Dumfries
154,way/472289073-275,0.0004962778400779,Dumfries
155,way/676646876-400,0.0005256006522503,Dumfries
156,way/676646876-400,0.0006305092894899,Dumfries
157,relation/10377509-400,0.0011870424530943,Chapelcross
158,relation/14921826-275,0.0016412536334657,Harker
159,relation/14921826-275,0.0016412536334657,Harker
160,way/89427607-400,0.0006255960242078,Wylfa
161,way/94004582-400,0.0004236297690601,Heysham
162,GB22-400,0.0015008734444662,Stanah
163,way/153884024-275,0.0023442334866743,Birkenhead
164,way/1153252242-275,0.0031604325178834,Lister Drive
165,way/81098733-275,0.0014438270025058,Washway Farm
166,GB47-400,0.0012608497944149,Pentir
167,GB49-400,0.0013303415317436,Pentir
168,way/1214332448-275,0.0012635434096401,Trawsfynydd
169,way/280317944-220,0.0015438637182043,Connahs Quay
170,way/89573357-400,0.0014651314980161,Trawsfynydd
171,way/89573357-400,0.0014651314980161,Trawsfynydd
172,GB50-400,0.0016062321239444,Legacy
173,way/23164132-275,0.0032352117404516,Capenhurst
174,way/23164132-275,0.0032352117404516,Capenhurst
175,way/95338682-400,0.0032388071518784,Legacy
176,way/102198808-400,0.0003703090875135,Eccles
177,way/143221984-275,0.0010647833276824,Fourstones
178,GB16-400,0.002286703150156,Stella South
179,GB16-400,0.002286703150156,Stella South
180,way/642490160,0.0015441623926803,Blyth 66kV
181,way/642490160,0.0015441623926803,Blyth 66kV
182,way/642490160,0.0040123384641293,Blyth 66kV
183,way/96630594-275,0.0025354362120656,Tynemouth
184,relation/11051275-400,0.0019413767264475,Hutton
185,way/184584639-275,0.0018027673404566,South Shields
186,way/200635683-275,0.0016718594802056,Offerton
187,way/1297690788-275,0.0010219820276391,Hart Moor
188,way/1297690788-275,0.0019217304147678,Hart Moor
189,way/1297690788-275,0.0036558371886816,Hart Moor
190,way/97561542-275,0.0021106582138169,Lackenby
191,way/109730296-400,0.0021365450623856,Lackenby
192,way/142397822-400,0.0041481045535113,Lackenby
193,way/142397822-400,0.0041481045535113,Lackenby
194,way/97561542-275,0.0031088458942167,Lackenby
195,GB20-400,0.0007907543005915,Heysham
196,relation/7894483-400,0.0033706347345444,Padiham
197,relation/7894975-400,0.0038103447950769,Penwortham
198,relation/7894975-400,0.0038103447950769,Penwortham
199,way/81098733-275,0.0028676174637704,Washway Farm
200,way/367005272-275,0.003212576035467,Rainhill
201,way/315213320-275,0.0035509522035886,Fiddlers Ferry
202,way/163036722-400,0.0029581765841595,Rochdale
203,way/163036722-400,0.0029581765841595,Rochdale
204,way/97256377-400,0.003061723362757,Kearsley
205,way/97256377-400,0.003061723362757,Kearsley
206,way/92529432-275,0.0034954811970929,Carrington
207,way/92529432-275,0.0034954811970929,Carrington
