UnitID,name,type,Bus name,x,y,capacity
1,IBG-EGEN1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
2,IBG-ENGI1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
3,IBG-RSQ1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
4,IVD-VKL1,interconnector,7909,-0.221,52.931,0.0
5,IVG-VKL1,interconnector,7909,-0.221,52.931,0.0
6,BFSE01,battery,6051,-1.22,52.585,50.0
7,AG-HLIM01,battery,5249,-1.494,51.598,0.0
8,AG-HLIM02,battery,5252,-1.194,50.852,60.0
9,AG-HLIM03,battery,5226,-1.99,51.616,60.0
10,AG-HLIM04,battery,5249,-1.494,51.598,100.0
11,BRGDG-1,fossil,6038,-0.508006,53.540993,100.0
12,AG-MFLX02,battery,6029,-1.247,53.398,50.0
13,AG-NHAV02,fossil,5913,-3.781,55.803,50.0
14,CMSTW-1,onwind,6443,-3.270129,58.406935,0.0
15,ROTHW-1,onwind,6448,-3.36,57.53,50.0
16,PAUHW-1,onwind,6448,-3.458196,57.451933,0.0
17,AG-PFLX01,battery,8020,-3.423,56.412,65.0
18,NSC-ATL01,hydro,6438,-4.491,57.468,49.9
19,LCSMH-1,cascade,6453,-5.073,56.829,0.0
20,KNLCV-1,hydro,6453,-4.95803,56.7129,88.0
21,CAIRW-2,onwind,6448,-3.063895,57.504968,24.0
22,MDHLW-1,onwind,6486,-2.482026,56.964685,0.0
23,TMNCW-1,onwind,6440,-3.9,57.391,75.9
24,DRAXD-2,biomass,6032,-0.996389,53.7358,39.0
25,ABERU-1,fossil,6049,-1.270137,53.090486,3960.0
26,ABRTW-1,onwind,6441,-4.372559,58.430482,10.0
27,AIRSW-1,onwind,5914,-3.814161,55.51487,36.0
28,ARNKB-2,battery,4966,0.344,51.484,35.0
29,ASHWW-1,onwind,6452,-5.449219,56.065903,49.9
30,ASLVW-1,onwind,5911,-3.988675,55.621764,35.0
31,BARNB-1,battery,5999,-1.457,53.558,25.0
32,BETHW-1,onwind,6440,-3.966064,57.36209,52.5
33,BHOLB-1,battery,5229,-1.998,50.721,40.0
34,BLARW-1,onwind,5896,-5.636,55.564,29.0
35,BNWKW-1,onwind,6443,-3.21433,58.351973,7.5
36,BRDUW-1,onwind,5905,-4.141234,55.255156,35.0
37,BRGG-1,fossil,6042,-0.32959,53.442264,22.5
