Latitude,Longitude,ID,PowerKW,Title (AddressInfo.Country),Title (Connections.ConnectionType),Title (OperatorInfo)
59.61756,11.00393,116430,50,Norway,Unknown,
59.615011,16.228658,116429,50,Sweden,Unknown,
59.61353,8.94656,116427,50,Norway,Unknown,
59.60666,5.81389,116425,50,Norway,Unknown,
59.45875,18.035,116418,50,Sweden,Unknown,
59.419049,5.404459,116410,50,Norway,Unknown,
59.41132,9.07084,116409,50,Norway,Unknown,
59.41073,18.03333,116408,50,Sweden,Unknown,
59.40287,5.28983,116406,50,Norway,Unknown,
59.3806,17.9408,116403,50,Sweden,Unknown,
59.29075,17.8078,116389,50,Sweden,Unknown,
59.06497,5.91708,116368,50,Norway,Unknown,
58.985439,14.618242,116366,50,Sweden,Unknown,
58.83403,5.73236,116364,50,Norway,Unknown,
58.63219,8.29095,116360,50,Norway,Unknown,
58.31504,6.95888,116352,50,Norway,Unknown,
58.161,8.03953,116343,50,Norway,Unknown,
58.1456,7.98802,116341,50,Norway,Unknown,
58.09239,6.80746,116338,50,Norway,Unknown,
57.38732,15.80593,116298,50,Sweden,Unknown,
57.16573,16.0271,116294,50,Sweden,Unknown,
56.05476,14.56773,116279,50,Sweden,Unknown,
56.026407,14.17026,116274,50,Sweden,Unknown,
55.93885,12.81765,116272,50,Sweden,Unknown,
55.875421,12.8859,116266,50,Sweden,Unknown,
55.556035,14.356644,116246,50,Sweden,Unknown,
55.54885,13.03317,116242,50,Sweden,Unknown,
55.53895,13.36271,116241,50,Sweden,Unknown,
55.38424,13.086,116228,50,Sweden,Unknown,
61.229376,14.037099,106722,50,Sweden,Unknown,
60.510287,14.233471,106718,50,Sweden,Unknown,
60.29186,5.28475,106717,50,Norway,Unknown,
60.18554,5.40798,106715,50,Norway,Unknown,
59.50114,5.57623,106708,50,Norway,Unknown,
59.27877,9.72595,106691,50,Norway,Unknown,
59.23064,6.15427,106690,50,Norway,Unknown,
59.01665,6.03816,106683,50,Norway,Unknown,
58.88887,5.74139,106682,50,Norway,Unknown,
58.88484,5.62271,106681,50,Norway,Unknown,
58.51955,5.80516,106680,50,Norway,Unknown,
56.03972,12.69562,106658,50,Sweden,Unknown,
68.34252,16.83286,103135,50,Norway,Unknown,
65.47296,12.20712,103131,50,Norway,Unknown,
65.40361,12.54725,103130,50,Norway,Unknown,
62.57613,11.38022,103112,50,Norway,Unknown,
62.57459,11.39597,103111,50,Norway,Unknown,
60.62758,6.41762,103104,50,Norway,Unknown,
60.37798,5.98859,103103,50,Norway,Unknown,
60.04046,9.15658,103100,50,Norway,Unknown,
59.92811,11.16421,103095,50,Norway,Unknown,
59.74615,18.67631,103090,50,Sweden,Unknown,
59.66114,12.61405,103089,50,Sweden,Unknown,
59.36725,13.14426,103084,50,Sweden,Unknown,
59.1906,17.46031,103081,50,Sweden,Unknown,
58.07871,7.30756,103076,50,Norway,Unknown,
57.77157,11.9978,103073,50,Sweden,Unknown,
55.67624,13.06778,103065,50,Sweden,Unknown,
69.37625,19.36218,97081,50,Norway,Unknown,
67.34671,15.59071,97080,50,Norway,Unknown,
66.30481,14.13319,97079,50,Norway,Unknown,
65.53696,13.38759,97077,50,Norway,Unknown,
65.16748,13.36988,97076,50,Norway,Unknown,
65.10472,17.12272,97075,50,Sweden,Unknown,
63.73784,11.28169,97073,50,Norway,Unknown,
63.57803,19.48607,97072,50,Sweden,Unknown,
63.46089,8.01051,97070,50,Norway,Unknown,
62.85241,12.79359,97065,50,Sweden,Unknown,
62.66592,14.7493,97064,50,Sweden,Unknown,
62.52855,14.19369,97061,50,Sweden,Unknown,
61.75889,9.28585,97060,50,Norway,Unknown,
61.30957,7.80705,97059,50,Norway,Unknown,
61.23557,7.69933,97058,50,Norway,Unknown,
60.35415,10.57264,97049,50,Norway,Unknown,
60.25992,18.37645,97046,50,Sweden,Unknown,
60.20526,5.44962,97045,50,Norway,Unknown,
59.82421,7.19321,97040,50,Norway,Unknown,
