Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-04-27 21:00","25487","26033","26001",
"2025-04-27 21:05","25950","26505","26001",
"2025-04-27 21:10","26336","26798","26001",
"2025-04-27 21:15","26376","26910","26645",
"2025-04-27 21:20","26786","26936","26645",
"2025-04-27 21:25","27017","26967","26645",
"2025-04-27 21:30","26981","27003","26877",
"2025-04-27 21:35","26809","27014","26877",
"2025-04-27 21:40","26595","26970","26877",
"2025-04-27 21:45","26589","26872","26823",
"2025-04-27 21:50","26531","26761","26823",
"2025-04-27 21:55","26736","26681","26823",
"2025-04-27 22:00","26499","26632","26391",
"2025-04-27 22:05","26647","26569","26391",
"2025-04-27 22:10","26406","26446","26391",
"2025-04-27 22:15","26363","26264","26069",
"2025-04-27 22:20","25977","26049","26069",
"2025-04-27 22:25","25944","25830","26069",
"2025-04-27 22:30","25326","25607","25510",
"2025-04-27 22:35","25102","25387","25510",
"2025-04-27 22:40","25279","25180","25510",
"2025-04-27 22:45","25196","24985","24601",
"2025-04-27 22:50","25083","24759","24601",
"2025-04-27 22:55","24711","24460","24601",
"2025-04-27 23:00","24634","24089","23805",
"2025-04-27 23:05","24265","23725","23805",
"2025-04-27 23:10","23973","23451","23805",
"2025-04-27 23:15","23693","23266","23392",
"2025-04-27 23:20","23711","23123","23392",
"2025-04-27 23:25","23638","22976","23392",
"2025-04-27 23:30","23606","22825","22695",
"2025-04-27 23:35","23160","22676","22695",
"2025-04-27 23:40","23096","22538","22695",
"2025-04-27 23:45","22777","22409","22298",
"2025-04-27 23:50","22556","22301","22298",
"2025-04-27 23:55","22412","22224","22298",
"2025-04-28 00:00","22381","22179","21796",
"2025-04-28 00:05","22170","22133","21796",
"2025-04-28 00:10","22115","22054","21796",
"2025-04-28 00:15","21994","21943","21591",
"2025-04-28 00:20","22141","21822","21591",
"2025-04-28 00:25","22104","21710","21591",
"2025-04-28 00:30","22003","21609","21296",
"2025-04-28 00:35","21888","21513","21296",
"2025-04-28 00:40","21553","21415","21296",
"2025-04-28 00:45","21206","21316","21196",
"2025-04-28 00:50","21218","21218","21196",
"2025-04-28 00:55","21277","21123","21196",
"2025-04-28 01:00","21242","21033","20493",
"2025-04-28 01:05","21280","20945","20493",
"2025-04-28 01:10","21033","20858","20493",
"2025-04-28 01:15","20980","20770","20592",
"2025-04-28 01:20","21007","20684","20592",
"2025-04-28 01:25","21217","20600","20592",
"2025-04-28 01:30","20883","20517","20509",
"2025-04-28 01:35","20817","20437","20509",
"2025-04-28 01:40","20568","20362","20509",
