charging_id,bus_id,distance,region_ID
1,459,0.4006800314852733,UKD62
867,459,0.11780185695782168,UKD62
868,459,0.11780185695782168,UKD62
869,459,0.11780185695782168,UKD62
2846,459,0.0401114302401113,UKD62
2847,459,0.0401114302401113,UKD62
2848,459,0.014630484554084227,UKD62
2849,459,0.014630484554084227,UKD62
2859,459,0.13935090522537238,UKD62
2860,459,0.13935090522537238,UKD62
5933,460,0.01635324190838159,UKD62
6480,459,0.3241773240609455,UKD62
6481,459,0.3241773240609455,UKD62
7709,459,0.4809550955911664,UKD62
8776,459,0.29337047867202,UKD62
8777,459,0.29337047867202,UKD62
8778,459,0.29337047867202,UKD62
9533,459,0.12564273313815053,UKD62
9534,459,0.12564273313815053,UKD62
9535,459,0.12564273313815053,UKD62
9536,459,0.12564273313815053,UKD62
9537,459,0.12564273313815053,UKD62
9538,459,0.12564273313815053,UKD62
10109,459,0.44969016891811875,UKD62
10110,459,0.44969016891811875,UKD62
10111,459,0.44969016891811875,UKD62
10112,459,0.44969016891811875,UKD62
10113,459,0.44969016891811875,UKD62
10114,459,0.44969016891811875,UKD62
10181,459,0.36276833313543666,UKD62
10182,459,0.36276833313543666,UKD62
10183,459,0.36276833313543666,UKD62
10184,459,0.36276833313543666,UKD62
10185,459,0.36276833313543666,UKD62
10186,459,0.36276833313543666,UKD62
10187,459,0.36276833313543666,UKD62
10188,459,0.36276833313543666,UKD62
10249,459,0.24646978372414594,UKD62
10250,459,0.24646978372414594,UKD62
10251,459,0.24646978372414594,UKD62
10823,459,0.5973007253906388,UKD62
11914,459,0.2521470709830676,UKD62
11915,459,0.2521470709830676,UKD62
11916,459,0.2521470709830676,UKD62
11917,459,0.2521470709830676,UKD62
11918,459,0.2521470709830676,UKD62
12172,459,0.25050687430228225,UKD62
12173,459,0.25050687430228225,UKD62
12174,459,0.25050687430228225,UKD62
12175,459,0.25050687430228225,UKD62
12176,459,0.25050687430228225,UKD62
12177,459,0.25050687430228225,UKD62
12178,459,0.25050687430228225,UKD62
12179,459,0.25050687430228225,UKD62
12180,459,0.25050687430228225,UKD62
12181,459,0.25050687430228225,UKD62
12182,459,0.25050687430228225,UKD62
12201,459,0.28126732652727954,UKD62
12202,459,0.28126732652727954,UKD62
12203,459,0.28126732652727954,UKD62
12204,459,0.28126732652727954,UKD62
12205,459,0.28126732652727954,UKD62
12206,459,0.28126732652727954,UKD62
12207,459,0.28126732652727954,UKD62
12208,459,0.28126732652727954,UKD62
12209,459,0.28126732652727954,UKD62
12210,459,0.28126732652727954,UKD62
12211,459,0.28126732652727954,UKD62
12212,459,0.28126732652727954,UKD62
12213,459,0.28126732652727954,UKD62
12214,459,0.28126732652727954,UKD62
12215,459,0.28126732652727954,UKD62
12216,459,0.28126732652727954,UKD62
12217,459,0.28126732652727954,UKD62
12218,459,0.28126732652727954,UKD62
12219,459,0.28126732652727954,UKD62
12340,459,0.2823886720736281,UKD62
12341,459,0.2823886720736281,UKD62
12342,459,0.2823886720736281,UKD62
12343,459,0.2823886720736281,UKD62
12344,459,0.2823886720736281,UKD62
12345,459,0.2823886720736281,UKD62
12608,459,0.11273339607966998,UKD62
12609,459,0.11273339607966998,UKD62
12610,459,0.11273339607966998,UKD62
12611,459,0.11273339607966998,UKD62
12612,459,0.11273339607966998,UKD62
12613,459,0.11273339607966998,UKD62
13953,459,0.12676344643763673,UKD62
13985,459,0.34083299649490373,UKD62
13986,459,0.34083299649490373,UKD62
13987,459,0.34083299649490373,UKD62
13998,459,0.3757776963105371,UKD62
13999,459,0.3757776963105371,UKD62
14000,459,0.36555625172294925,UKD62
14001,459,0.36555625172294925,UKD62
14002,459,0.36097969123938833,UKD62
14003,459,0.36097969123938833,UKD62
19606,459,0.0042361808156992095,UKD62
19607,459,0.0042361808156992095,UKD62
23052,459,0.36692262806473785,UKD62
23053,459,0.36692262806473785,UKD62
23054,459,0.36692262806473785,UKD62
23055,459,0.36692262806473785,UKD62
23056,459,0.36692262806473785,UKD62
23057,459,0.36692262806473785,UKD62
24299,460,0.03767673914865391,UKD62
24300,460,0.03767673914865391,UKD62
27207,459,0.3709707427027075,UKD62
27208,459,0.3709707427027075,UKD62
27312,460,0.12144727530704169,UKD62
27313,460,0.12144727530704169,UKD62
27695,459,0.10282130917695648,UKD62
27696,459,0.10282130917695648,UKD62
27704,459,0.21704683119573837,UKD62
27705,459,0.21704683119573837,UKD62
27720,459,0.3711149223173789,UKD62
27721,459,0.3494097170312106,UKD62
27722,459,0.3494097170312106,UKD62
27723,459,0.4458503006990297,UKD62
27724,459,0.4458503006990297,UKD62
27725,459,0.4458503006990297,UKD62
28471,459,0.36151628097749966,UKD62
28472,459,0.36151628097749966,UKD62
28473,459,0.36151628097749966,UKD62
28474,459,0.36151628097749966,UKD62
28884,459,0.3411951405605195,UKD62
28885,459,0.3411951405605195,UKD62
28886,459,0.3411951405605195,UKD62
28939,459,0.11677361367663103,UKD62
28940,459,0.11677361367663103,UKD62
29783,459,0.5489649248223105,UKD62
30435,459,0.3736434304119724,UKD62
30436,459,0.3736434304119724,UKD62
30437,459,0.3736434304119724,UKD62
31434,459,0.3493286970854849,UKD62
31435,459,0.3493286970854849,UKD62
32263,459,0.2544352554457725,UKD62
32264,459,0.2544352554457725,UKD62
32265,459,0.2544352554457725,UKD62
32270,459,0.2932610014209979,UKD62
32271,459,0.2932610014209979,UKD62
32272,459,0.2932610014209979,UKD62
36454,459,0.2556168993845979,UKD62
36455,459,0.2556168993845979,UKD62
36456,459,0.2556168993845979,UKD62
37624,459,0.3752634058675296,UKD62
37625,459,0.3752634058675296,UKD62
37833,459,0.068234105763697,UKD62
37843,459,0.11692829841205818,UKD62
38176,459,0.11684455665053328,UKD62
38305,460,0.039799824403017305,UKD62
38306,460,0.039799824403017305,UKD62
39077,459,0.35835719596785315,UKD62
39078,459,0.35835719596785315,UKD62
39079,459,0.35835719596785315,UKD62
39301,459,0.12985594371395995,UKD62
39529,459,0.4231843766837833,UKD62
39530,459,0.4231843766837833,UKD62
39531,459,0.4231843766837833,UKD62
39548,459,0.3443017965411089,UKD62
39549,459,0.3443017965411089,UKD62
39614,459,0.26239205771297386,UKD62
39700,459,0.2503461950165476,UKD62
39820,459,0.11628159169212873,UKD62
39922,459,0.29763196206182435,UKD62
40126,459,0.35600409217544604,UKD62
40254,459,0.35784668412509085,UKD62
