Project name,country,status,Product,latitude,longitude,capacity_MWel,Capacity_Nm?? H???/h,Capacity_kt H2/y
Energiepark Eemshaven West (phase I),NLD,Feasibility study,H2,53.43912043,6.836530401,10,2222,1.7
Energiepark Eemshaven West (phase II),NLD,Feasibility study,H2,53.43912043,6.836530401,100,22222,17.3
ELYgator,NLD,Feasibility study,H2,51.32069552,3.815185436,200,44444,34.7
"Central Queensland Hydrogen CQ-H2, phase 1",AUS,Feasibility study,H2,-23.84020759,151.0473419,640,142222,110.9
Zeeland Refinery - H2ero,NLD,Feasibility study,H2,51.41895364,3.727398275,150,33333,26
FUREC,NLD,Feasibility study,H2,50.98229949,5.831535016,,69263,54
BrigH2,NLD,Feasibility study,H2,0,0,,16854,13.1
Hydrogen Wind Turbine in Wieringerwerf,NLD,FID/Construction,H2,52.83244411,4.93873371,5,962,0.7
H2-gateway,NLD,Feasibility study,H2,0,0,,257,0.2
Sinopec Star Corp Ordos Green Power-to-Gas Demonstration (or: Uxin Banner Wind-Solar Integrated Green Hydrogen Petrochemical Refinery Demo) Phase 1,CHN,FID/Construction,H2,39.67405784,109.7247561,59,12826,10
Sinopec - Kuqa,CHN,Operational,H2,41.82754999,83.39490166,260,56522,44.1
Pecos County Ultra Clean Fuels Refining (TX),USA,Concept,H2,31.39098157,-103.5359583,,,
GreenHyScale,DNK,Feasibility study,H2,56.56530195,9.02965887,100,21739,16.9
EI-H2 - Aghada (phase 1),IRL,Feasibility study,H2,51.84045272,-8.218320265,50,11111,8.7
Green lab skive (Phase II),DNK,FID/Construction,MeOH,56.56530195,9.02965887,18,4000,3.1
Khalifa Industrial Zone Abu Dhabi (KIZAD) Helios Industry- phase 1,ARE,Feasibility study,Ammonia,24.48524216,54.39272804,124,26946,21
"HySynergy, phase 3",DNK,Feasibility study,H2,55.59138504,9.752643675,700,155556,121.3
Kapuni Green Hydrogen Project - Taranaki,NZL,FID/Construction,Various,-39.32205121,174.4101175,4.2,936,0.7
Horizon H2 capture tailings CCS (ALB),CAN,Operational,H2,0,0,,,
Hyundai Oilbank - Blue H2 Ecosystem,KOR,Feasibility study,H2,0,0,,128264,100
Forestal del Atl??ntico - Triskelion,ESP,FID/Construction,MeOH,43.46907065,-8.214771433,88.345,19632,15.3
SoHyCal,USA,Operational,H2,36.73162032,-119.7740255,7.5,1442,1.1
Bee?€?ah waste-to-hydrogen,ARE,Concept,H2,24.48524216,54.39272804,,,
Industrial Cachimayo,PER,Operational,Ammonia,-13.37649265,-72.07907968,25,5435,4.2
Dos Bocas refinery,MEX,Concept,H2,18.41896827,-93.20383473,,,
Sirea - Castres site,FRA,Operational,H2,43.60769064,2.24104035,0.43,96,0.1
Rostock - RWE (future phases),DEU,Concept,H2,54.14507287,12.10939724,900,200000,155.9
Hy4Chem - BASF Ludwigshafen,DEU,FID/Construction,H2,47.81692921,9.057313619,54,10385,8.1
Davis-Besse Nuclear Power Station,USA,DEMO,H2,41.595232,-83.089336,2,385,0.3
Prairie Island,USA,DEMO,H2,44.62242749,-92.64020902,0.2,53,0
Bruce Nuclear Generating Station,CAN,Feasibility study,H2,44.31856386,-81.57397598,3,667,0.5
Heysham demonstrator 1,GBR,DEMO,H2,54.02965513,-2.914395771,1,263,0.2
Kola Nuclear Power Plant demo,RUS,Operational,H2,67.46500889,32.48146993,1,192,0.1
Hydrogen Lab Bremerhaven (phase 1),DEU,Operational,H2,53.53951134,8.591532904,1,192,0.1
Hydrogen Lab Bremerhaven (phase 2),DEU,Concept,H2,53.53951134,8.591532904,9,2000,1.6
Hydrogen Lab Leuna (phase 1),DEU,Operational,MeOH,51.32471117,12.02431106,1,263,0.2
Hydrogen Lab Leuna (phase 2),DEU,Concept,Synfuels,51.32471117,12.02431106,4,889,0.7
Hydrogen Lab Gorlitz,DEU,DEMO,H2,51.13242117,14.96321633,2,444,0.3
Hydrogen Eagle (various hubs),POL,Feasibility study,H2,0,0,100,22222,17.3
Hydrogen Eagle (various hubs),POL,Feasibility study,H2,0,0,10,2222,1.7
Hydrogen Eagle (various hubs),POL,Feasibility study,H2,0,0,,19240,15
Hydrogen Eagle (Litv??nov),CZE,FID/Construction,H2,50.57883081,13.60789487,30,5769,4.5
Hydrogen Eagle (Spolana),CZE,Feasibility study,H2,50.27041613,14.51319438,18,4000,3.1
"Hydrogen Eagle (Spolana), phase 1",CZE,Feasibility study,H2,50.27041613,14.51319438,6,1333,1
Hydrogen Eagle (various hubs),SVK,Feasibility study,H2,48.253797,17.459326,60,13333,10.4
GreenH2Atlantic,PRT,Feasibility study,H2,37.96403252,-8.810157888,100,19231,15
Porto do Acu Fortescue Ammonia Project,BRA,Feasibility study,Ammonia,-21.83434976,-41.04132684,300,66667,52
Hoasis (TCP Gecomp),CHL,Concept,Ammonia,-23.39908036,-69.25218282,2100,466667,363.8
Ecopetrol 50kW electrolyser,COL,Operational,H2,10.33779801,-75.49612978,0.05,10,0
HValleSur,CHL,Concept,H2,-36.42129877,-72.20167673,5,1111,0.9
METH2 Atacama,CHL,Concept,MeOH,-23.39908036,-69.25218282,300,66667,52
Villa Lisa ,PRY,Feasibility study,H2,-25.37468049,-57.58885117,0.4,94,0.1
Ciudad del Este ,PRY,Concept,H2,-25.48005734,-54.65073031,,,
Encarnacion ,PRY,Concept,H2,-27.25124394,-55.89586575,,,
TA?€?ZIZ blue ammonia,ARE,Feasibility study,Ammonia,24.48524216,54.39272804,,230968,180.1
BHP Nickel West Green Hydrogen ,AUS,Feasibility study,H2,-27.81834985,120.7006064,10,2222,1.7
Dawson Mine,AUS,Feasibility study,H2,-24.63083226,150.0624416,10,2222,1.7
"Camden County (GA), green power plant",USA,Operational,H2,30.95768278,-81.64722855,40,7692,6
Pego coal plant transition,PRT,Feasibility study,H2,39.46428751,-8.11183461,0.5,111,0.1
Sealhyfe,FRA,DEMO,H2,47.29447627,-2.511819652,1,192,0.1
Rajasthan pilot plant,IND,Operational,Ammonia,28.33215605,73.28154584,2.1,467,0.4
OCP Group demo project,MAR,FID/Construction,Ammonia,33.12983107,-8.622006959,,,
Hofors rolling project,SWE,Operational,H2,60.55783959,16.29933502,17,3696,2.9
Hyrasia one,KAZ,Feasibility study,Ammonia,42.79816358,53.59887962,20000,4444444,3465.1
Manilla Solar & Renewable Energy Storage Project,AUS,FID/Construction,H2,-30.7500912,150.7227758,2,444,0.3
"Green Hydrogen Oman (GEO), phase 2 (former Oman-Al Wusta green H2 project)",OMN,Feasibility study,Ammonia,19.68668404,56.86378032,9333,2074000,1617
AquaVentus (completion),DEU,Concept,H2,54.20234361,7.921268609,5000,1111111,866.3
EI-H2 - Aghada (phase 2),IRL,Concept,H2,51.84045272,-8.218320265,2650,588889,459.1
EI-H2 - Aghada (phase 3),IRL,Concept,Ammonia,51.84045272,-8.218320265,500,111111,86.6
New Jersey Offshore Wind plant,USA,Feasibility study,H2,40.2042419,-74.15376049,7.5,1667,1.3
Delicias Solar,MEX,Feasibility study,H2,21.257528,-100.588878,35,7778,6.1
Pico Truncado,ARG,Concept,H2,0,0,,,
Dhamma Energy Guanajuato ,MEX,Concept,H2,21.01949831,-101.2566787,,,
"Mexican Green Hydrogen Hub, phase 1",MEX,Feasibility study,Ammonia,24.05111224,-104.5229752,69,13269,10.3
Algeciras Bay,ESP,Feasibility study,H2,36.14068759,-5.452604114,237,52667,41.1
Gazifere grid injection,CAN,FID/Construction,H2,0,0,20,4444,3.5
GREEN H2 Langosteira,ESP,Feasibility study,H2,42.9222605,-9.271734499,1,222,0.2
Pouakai - Taranaki - NH3,NZL,Feasibility study,Ammonia,-39.11974032,173.9380123,,286632,223.5
Pouakai - Taranaki - H2,NZL,Feasibility study,H2,-39.32205121,174.4101175,,280899,219
Jintongling Biomass Gasification ,CHN,FID/Construction,H2,0,0,,22831,17.8
Khalifa Industrial Zone Abu Dhabi (KIZAD) Helios Industry- phase 2,ARE,Feasibility study,Ammonia,24.48524216,54.39272804,584.3,127032,99
Veolia wastewater sludge plant,FRA,Operational,H2,0,0,,,
IPCEI Blue Danube - first project,DEU,Feasibility study,H2,0,0,20,4444,3.5
Bay.H2 Project - Bayern Oil Refinery,DEU,Feasibility study,H2,49.35088434,8.144561438,,,
Enid fertiliser,USA,Operational,Ammonia,36.37933532,-97.76301183,,,
Ervia CCS - Irving refinery,IRL,Feasibility study,H2,51.84203641,-8.067696095,,,
Energean Prinos oil field,GRC,Concept,H2,40.81817142,24.45065136,,,
Sinopec Zhongyuan Oilfield EOR,CHN,Decommisioned,H2,35.762928,114.980511,,,
Changqing Oil Field EOR,CHN,Operational,MeOH,0,0,,,
Fortescue Future Industries - Port of Pecem  (Phase I and II),BRA,Feasibility study,Ammonia,-3.530928034,-38.79237746,1006,223565,174.3
Mar??timo Drag??o - Qair,BRA,Feasibility study,H2,-3.530928034,-38.79237746,1216,270222,210.7
RIST Hydrogen Research Centre - nuclear Hydrogen project,KOR,DEMO,H2,0,0,,,
Rhode Green Energy Park ,IRL,DEMO,H2,53.36134868,-7.210691025,,,
Lysekil refinery (phase 2),SWE,Feasibility study,H2,58.35011013,11.41815657,300,66667,52
KIMA - Aswan electrolyser,EGY,Decommisioned,Ammonia,24.12201459,33.02207094,,,
Zimbabwe NH3 plant,ZWE,Decommisioned,Ammonia,0,0,,,
APEX-Plug Power H2 plamt,USA,Feasibility study,H2,30.925541,-97.177594,182.6,35112,27.4
3 x 1250 kW projects in USA,USA,Operational,H2,0,0,3.75,721,0.6
1 x 500 kW projects in USA,USA,Operational,H2,0,0,0.5,96,0.1
18x180 kW projects in USA,USA,Operational,H2,0,0,3.24,623,0.5
12 x 120 kW projects in USA,USA,Operational,H2,0,0,1.44,277,0.2
"Frontier Energy, H2@Scale - gasification",USA,DEMO,H2,0,0,,35,0
Iberdrola-Foresa Green Methanol (phase 1),ESP,Feasibility study,MeOH,42.60417324,-8.646013758,5,962,0.7
Iberdrola-Foresa Green Methanol (phase 2),ESP,Feasibility study,MeOH,42.60417324,-8.646013758,150,33333,26
Danskammer Energy - Newburgh,USA,Concept,H2,0,0,,,
Balico - Virginia,USA,Concept,H2,0,0,,,
"Harrison Power Project in Cadiz, Ohio",USA,Concept,H2,0,0,,,
Western Green Energy Hub,AUS,Concept,Ammonia,-30.74776935,121.4650079,41574.3,9238727,7202.9
APA Renewable Methane Demonstration Project,AUS,DEMO,CH4,-26.49710826,148.7938334,0.005,1,0
Bio-Hydrogen Demonstration Plant,AUS,DEMO,H2,0,0,,0,0
Bundaberg Hydrogen Hub,AUS,Feasibility study,H2,-24.86622,152.3489,80,17778,13.9
Daintree Microgrid Project,AUS,Concept,H2,-16.25020305,145.3189798,,,
Christmas Creek Renewable Hydrogen Mobility Project,AUS,Operational,H2,-22.36264868,122.7386707,1.4,269,0.21
ABEL Energy Bell Bay Powerfuels Project - phase 1,AUS,Feasibility study,MeOH,-41.13101583,146.8704779,260,56522,44.1
Grange Resources Renewable Hydrogen,AUS,Feasibility study,H2,0,0,95,21111,16.5
Melbourne Hydrogen Hub,AUS,Feasibility study,H2,-37.80845507,144.9404822,10,1923,1.5
Portland Renewable Hydrogen Project,AUS,Feasibility study,H2,-38.361674,141.603662,50,11111,8.7
Swinburne University of Technology Victorian Hydrogen Hub ?€? CSIRO Hydrogen Refuelling Station,AUS,Operational,H2,-37.80845507,144.9404822,0,9,0
Agnes Energy Hub,ITA,Concept,H2,0,0,,,
"Konin Power Plant, phase 2 - ZE PAK",POL,FID/Construction,H2,52.2875093,18.2839037,2.5,481,0.4
"Konin Power Plant, phase 3",POL,Feasibility study,H2,52.2875093,18.2839037,45,8654,6.7
AquaSector,DEU,Feasibility study,H2,54.20234361,7.921268609,272,60444,47.1
H2Mare,DEU,FID/Construction,H2,0,0,14,2692,2.1
"Meirama plant, phase 2",ESP,Concept,H2,43.17444109,-8.407700488,150,33333,26
Freienbach plant,CHE,Feasibility study,H2,47.20080987,8.767420442,10,2222,1.7
"Trailblazer - Siemens-Air Liquide Oberhausen, Phase 1",DEU,Operational,H2,51.48694451,6.866316126,20,3846,3
"Trailblazer - Siemens-Air Liquide Oberhausen, Phase 2",DEU,FID/Construction,H2,51.48694451,6.866316126,10,1923,1.5
Trafford Low Carbon Energy Park - phase 1,GBR,FID/Construction,H2,53.43694426,-2.408255046,10.5,2333,1.8
Hidr??geno Verde Bah??a Quintero,CHL,Feasibility study,H2,-32.60769316,-70.89897675,10,2174,1.7
Wintershall Dea - VNG Turquoise H2 project,DEU,DEMO,H2,0,0,,187,0.1
Yarwun alumina refinery,AUS,FID/Construction,H2,-23.83055373,151.1497468,2.5,556,0.4
Hydrogen Generation Unit  - H2V Las Tortolas,CHL,Operational,H2,-33.20572411,-70.67851224,0,1,0
Sonam Nurboo Memorial Hopsital,IND,Feasibility study,H2,34.15413521,77.58227248,25,5556,4.3
Hokkaido green hydrogen plant,JPN,Feasibility study,H2,43.464549,143.5071925,3.2,705,0.6
"MMEX - Pecos, Texas",USA,Feasibility study,H2,31.39098157,-103.5359583,405.7,78027,60.8
Energy-Norweigian Catapult Centre,NOR,Operational,H2,0,0,0.9,196,0.2
Raven - Republic Services H2 from waste plant,USA,FID/Construction,H2,0,0,,2565,2
Javelina refinery,USA,Concept,H2,27.80682114,-97.46050667,,,
Cromarty Green Hydrogen Facility,GBR,Feasibility study,H2,57.96997752,-4.214047617,15,2885,2.2
North Dakota Hydrogen Hub (former Great Plains Synfuel Plant),USA,Feasibility study,H2,47.26326389,-101.7782947,,397619,310
Octopus Hydrogen - MIRA Technology Park,GBR,Operational,H2,52.55462082,-1.463244089,0.9,196,0.2
HEVO-Sul,PRT,FID/Construction,H2,37.95961408,-8.858586399,4.3,827,0.6
HYVALUE,ESP,Feasibility study,H2,0,0,,2052,1.6
"H2 Valcamonica,",ITA,Feasibility study,H2,45.95516239,10.29126135,6,1333,1
H2 ??vora - GreenGas I,PRT,DEMO,H2,38.57136364,-7.912554052,0.1,19,0
H2 ??vora - GreenGas II,PRT,Operational,H2,38.57136364,-7.912554052,0.3,58,0
PRIO ENERGY,PRT,Feasibility study,H2,0,0,0.9,180,0.1
KEME ENERGY,PRT,Feasibility study,H2,37.98716395,-8.848481602,0.9,180,0.1
HEVO Sines (Phase 2),PRT,Feasibility study,Various,37.95961408,-8.858586399,91,17500,13.6
HEVO-Morocco,MAR,Feasibility study,Ammonia,33.1267,-8.62028,689.2,132540,103.3
OceanH2,ESP,DEMO,H2,0,0,,,
TAQA-Emirates Steel Green H2,ARE,Concept,H2,24.33491011,54.47101004,,,
Salamander,GBR,Concept,H2,57.68261709,-1.513635316,10,2222,1.7
Votalia - Taqa Arabia -phase 1,EGY,Feasibility study,H2,29.64890991,32.35073039,500,111111,86.6
Tokyo Sewage-to-H2 plant,JPN,Operational,H2,35.66380216,139.7201748,,21,0
Inner Mongolia green hydrogen,CHN,FID/Construction,H2,39.68558922,109.8543549,,,
Heroya Industrial Park,NOR,Operational,H2,59.12122228,9.6305157,5.5,1196,0.9
H2 Energy Europe Esbjerg green hydrogen,DNK,Feasibility study,H2,55.47683853,8.462096409,1000,192308,149.9
HBIS DRI in Zhangxuan Technology of Hesteel Group,CHN,Feasibility study,H2,40.51834932,114.9417672,869.5,193228,151
Itochu/Petronas ammonia project,CAN,Concept,Ammonia,53.69784769,-113.2170845,,230968,180.1
Prax Lindsey Oil Refinery Phase 1,GBR,Feasibility study,H2,53.63974652,-0.257045555,,,
ArcelorMittal Hamburg,DEU,FID/Construction,H2,53.52496486,9.90024185,50,11111,8.7
H2GN - Power-to-gas Coquimbo,CHL,Operational,H2,-29.95893926,-71.33903611,0.15,33,0
Shell heavy residue gasification CCUS - Pernis refinery ,NLD,Feasibility study,H2,51.88080174,4.317581836,,128264,100
Southland green hydrogen project,NZL,Feasibility study,Ammonia,-44.07782426,170.5405291,600,133333,104
Gonfreville Raffinerie,FRA,Concept,H2,49.4864623,0.217559312,,119382,93.1
Vlissingen - VoltH2 - phase II,NLD,Feasibility study,H2,51.45546439,3.564851569,75,16667,13
Terneuzen - VoltH2 - phase I,NLD,Feasibility study,H2,51.3198236,3.815528055,25,5556,4.3
Green Wolverine,SWE,Feasibility study,Ammonia,65.73140341,21.94926284,600,133333,104
Fairfuel Atmosfair,DEU,Operational,Synfuels,52.8528701,7.6764179,1.3,250,0.2
PYROCO2,NOR,DEMO,Various,0,0,2.4,530,0.4
Wartsila - Vaasan,FIN,Feasibility study,H2,63.09304523,21.60517293,,,
Project Nour - Phase 1,MRT,Feasibility study,H2,19.171723,-15.994444,1650,366667,285.9
Concrete Chemicals - I,DEU,Feasibility study,MeOH,52.47883033,13.82982274,51.7,11235.95506,8.8
Concrete Chemicals - II,DEU,Feasibility study,MeOH,52.47883033,13.82982274,3,789,0.6
H2Perth electrolysis - I,AUS,Feasibility study,Various,-32.203,115.773,250,55556,43.3
H2Perth electrolysis - II,AUS,Feasibility study,Various,-32.203,115.773,2750,611111,476.4
H2Perth NG with CCUS - I,AUS,Feasibility study,Various,-32.203,115.773,,,84
Flotta Hydrogen Hub,GBR,Feasibility study,H2,58.83181218,-3.108185435,,,
Eastern Louisiana Clean Hydrogen Complex (LA) ,USA,FID/Construction,Various,29.72029519,-92.21217099,,884900,689.9
Hypster,FRA,DEMO,H2,0,0,1,192,0.1
Hyphen Hydrogen Energy - phase I,NAM,Feasibility study,Ammonia,-23.93868646,14.43824204,1000,222222,173.3
Hyphen Hydrogen Energy - phase II,NAM,Feasibility study,Ammonia,-23.93868646,14.43824204,2000,444444,346.5
H2TAS - phase I,AUS,Feasibility study,H2,-41.161972,146.944028,350,77778,60.6
H2TAS - phase II,AUS,Concept,H2,-41.161972,146.944028,400,88889,69.3
Hynovi - Vicat Montalieu-Vercieu cement plant,FRA,Feasibility study,MeOH,45.80349757,5.420945614,330,73333,57.2
Axpo Brugg,CHE,Feasibility study,H2,47.48427829,8.200810122,15,3333,2.6
H2 Green - Shoreham port - phase I,GBR,FID/Construction,Various,50.8317058,-0.235366151,20,4444,3.5
H2 Green - Shoreham port - phase II,GBR,Feasibility study,Various,50.8317058,-0.235366151,63.2,14045,11
Port of Gothenburg - Statkraft,SWE,Feasibility study,H2,57.70221104,11.94764596,4,889,0.7
H2opZee,NLD,Concept,H2,53.67823293,4.381783584,500,96154,75
SK Ulsan Complex,KOR,Feasibility study,H2,35.43317,129.3429,,,
Edmonton Blue Hydrogen plant (ALB) (Shell Polaris),CAN,Concept,Ammonia,53.7967431,-113.0911515,,,165
Northern Horizons wind project,GBR,Concept,Various,58.60691509,-2.690837877,,,
Terneuzen - VoltH2 - phase II,NLD,Concept,H2,51.3198236,3.815528055,55,12222,9.5
Atome - Itaipu,PRY,Feasibility study,Ammonia,-25.41479784,-54.61348074,300,65217,50.8
Green Fuel Iceland - phase I,ISL,Feasibility study,Ammonia,66.04764677,-17.34378663,30,6522,5.1
Green Fuel Iceland - phase II,ISL,Concept,Ammonia,66.04764677,-17.34378663,70,15217,11.9
"Kenya Private Sector Alliance - FFI MoU, phase 1",KEN,Feasibility study,Ammonia,-0.842934319,36.31870492,300,66667,52
EBIC - Ammonia plant -phase 1,EGY,Operational,Ammonia,29.63339263,32.30080635,15,2885,2.2
E.ON H2.Ruhr wind exports from Italy,DEU,Feasibility study,H2,0,0,20,4444,3.5
"Sun Metals Zinc Refinery, phase II",AUS,Concept,H2,-19.33116863,146.8839958,149,33111,25.8
"HyGreen Teesside, phase I",GBR,Feasibility study,H2,54.59730092,-1.204700234,80,17778,13.9
"HyGreen Teesside, phase II",GBR,Concept,H2,54.59730092,-1.204700234,420,93333,72.8
"Gigastack-Hornsea 2, phase II",GBR,Other/Unknown,H2,53.44594473,0.153631546,900,173077,134.9
Lesedi Power Project,BWA,Feasibility study,H2,0,0,,,
Sinopec - Zhangzhou,CHN,FID/Construction,H2,24.51849686,117.6443381,1049.4,233208,181.8
Port of Newcastle,AUS,Feasibility study,H2,-32.9242948,151.7870416,40,8889,6.9
Yosemite Clean Energy - Oroville,USA,Feasibility study,H2,39.54286777,-121.548156,,5712,4.5
KazMunayGas - Linde MoU,KAZ,Concept,H2,49.17551533,65.84789029,,,
"Fortescue Metals - Rio Negro, phase I",ARG,Feasibility study,H2,-39.91358808,-64.96109664,600,133333,104
"Fortescue Metals - Rio Negro, phase II",ARG,Concept,H2,-39.91358808,-64.96109664,1400,311111,242.6
"Fortescue Metals - Rio Negro, phase III",ARG,Concept,H2,-39.91358808,-64.96109664,13000,2888889,2252.3
"Tiwi Islands Green Hydrogen Project, phase I",AUS,Feasibility study,H2,-11.58660835,130.8815182,372.5,80978,63.1
"Tiwi Islands Green Hydrogen Project, phase II",AUS,Concept,H2,-11.58660835,130.8815182,1117.5,242935,189.4
Steinbeis Innovation Center Braunschweig,DEU,DEMO,H2,52.31668974,10.5106643,1,222,0.2
"Aberdeen Hydrogen Hub, phase II",GBR,Concept,H2,57.17912975,-2.101654656,5.37,1193,0.9
INEOS K??ln site,DEU,FID/Construction,Various,51.07118046,6.853230231,100,22222,17.3
"Plug Power - Fresno County, California",USA,FID/Construction,H2,36.76092268,-119.7720549,80,15385,12
"Oracle Power - Power China International MoU, Sindh",PAK,Feasibility study,H2,25.74329055,67.07608085,400,88889,69.3
Carlentini Energy park (Sicily),ITA,FID/Construction,H2,37.2728968,15.01238511,4,870,0.7
"Herne Bay, Kent",GBR,Concept,H2,51.37701359,1.127305448,32.6,7235,5.6
Iberdrola - H2 Green Steel,PRT,Feasibility study,H2,39.66944305,-8.513212535,800,177778,138.6
H2PiyR Pamiers,FRA,Operational,H2,43.13197818,1.62004782,,,
"Engie - Yara Pilbara test, phase II (project Yuri)",AUS,Feasibility study,Ammonia,-20.62454435,116.7831875,56,12444,9.7
H2 Magallanes - Phase 1,CHL,Feasibility study,Ammonia,-52.27645457,-69.52290731,3600,800000,623.7
"Central Queensland Hydrogen CQ-H2, phase 2",AUS,Feasibility study,H2,-23.84020759,151.0473419,1800,400000,311.9
Mathura refinery,IND,FID/Construction,H2,27.37747516,77.6858607,28.9,6413,5
Panipat refinery,IND,Feasibility study,H2,29.47705918,76.88123153,115.4,25653,20
AuxHYGen (Phase 2),FRA,Feasibility study,H2,47.79744501,3.566269916,2,435,0.3
Port of Auckland HRS,NZL,DEMO,H2,-36.84654172,174.7856405,0.9,211,0.2
Budweiser - Protium Wales brewery,GBR,FID/Construction,H2,51.58617255,-2.84666909,20,4444,3.5
Mississippi Clean Hydrogen Hub,USA,Feasibility study,H2,33.7229054,-90.02792693,634.9,141091,110
Tent Mountain,CAN,Concept,H2,49.55146474,-114.7249331,,,
Protium - Wilton Universal Group Teeside (Phase 2),GBR,Feasibility study,H2,54.58674987,-1.228746646,66.3,12750,9.9
Puglia green hydro-gen valley - Brindisi plant,ITA,Feasibility study,H2,40.63265042,17.94167785,60,13333,10.4
Linde Niagara Falls,USA,FID/Construction,H2,43.09848636,-79.06175354,35,6731,5.2
Doosan Changwon City,KOR,Operational,H2,35.18803153,128.5907537,,2341,1.8
Sweetman Hunter Valley,AUS,Concept,H2,-32.48155408,151.0505959,,,
"Wilhelmshaven , phase 2",DEU,Feasibility study,H2,53.52954064,8.1296932,340,75556,58.9
HySkies,SWE,Feasibility study,Synfuels,60.36927507,18.16025951,303.9,67536,52.7
SalalaH2,OMN,Feasibility study,Ammonia,17.02337104,54.12477427,400,88889,69.3
"Project Cavendish, phase1",GBR,Feasibility study,H2,51.50098666,0.562990964,,224157,174.8
"NTPC-Technip-L&T MeOH project, Vindhyachal",IND,FID/Construction,MeOH,25.17314881,82.50054458,5,962,0.7
"Arrowsmith Hydrogen Project, phase 2",AUS,Feasibility study,H2,-29.2453428,114.9341591,45,9783,7.6
"BlueScope?€?s Port Kembla Steelworks, Illawarra",AUS,Concept,H2,-34.47426333,150.8880219,10,2222,1.7
"Project Haber, phase 2",AUS,Feasibility study,H2,-28.83006869,114.6783515,,,
Mid West Clean Energy Project (MWCEP),AUS,Feasibility study,Ammonia,-29.47373322,115.0800986,,277162,216
South West Blue Hydrogen,AUS,Feasibility study,H2,-29.47373322,115.0800986,,,
INEOS / Petroineos Grangemouth chemicals complex,GBR,Feasibility study,H2,56.01351326,-3.696529193,,243702,190
Air Liquide Botlek Rotterdam refinery (Porthos CCS),NLD,FID/Construction,H2,51.88575552,4.256342769,,130000,101
Air Products Botlek Rotterdam refinery (Porthos CCS),NLD,FID/Construction,H2,51.86971868,4.286264871,,,109.5
Boegoebaai green hydrogen,ZAF,Feasibility study,H2,-30.05176635,18.75833803,2308.8,513057,400
H2Oman (Dhofar),OMN,Concept,H2,18.6325085,53.95588127,2078.7,461936,360
Fawley refinery,GBR,Feasibility study,H2,50.8956153,-1.359291927,,165461,129
"Nyrstar Port Pirie, phase 1",AUS,Feasibility study,H2,-33.16939965,138.0118771,85,18889,14.7
"Nyrstar Port Pirie, phase 2",AUS,Feasibility study,H2,-33.16939965,138.0118771,355,78889,61.5
"GET H2 Nukleus, phase 3",DEU,FID/Construction,H2,52.48255651,7.299667812,100,21739,16.9
Wasserstoffpark Lingen,DEU,Feasibility study,H2,52.48255651,7.299667812,1500,333333,259.9
KeyState Natural Gas Synthesis & CCUS,USA,Feasibility study,Ammonia,41.21976437,-78.01782835,,,
"Desert Bloom, phase 1",AUS,Concept,H2,-19.64701578,134.1788092,400,88889,69.3
"Desert Bloom, phase 2",AUS,Concept,H2,-19.64701578,134.1788092,7600,1688889,1316.7
Hunter Energy Hub,AUS,Concept,H2,-32.36960733,150.9798947,1075,238889,186.2
Monolith Materials demo plant,USA,Decommisioned,H2,0,0,,257,0
"Coega, Nelson Mandela Bay green ammonia plant, phase 1",ZAF,Feasibility study,Ammonia,-33.92383521,25.65237115,540.5,120103,93.6
Uljin County nuclear plant,KOR,Concept,H2,37.08507802,129.3896768,,,
Tamil Nadu project,IND,Feasibility study,H2,11.74800727,79.7709665,,,
NTPC green hydrogen mobiity project - Ladakh,IND,FID/Construction,H2,34.15374179,77.57463142,0.8,174,0.1
H2BE,BEL,Feasibility study,H2,51.04097789,3.844331149,,320225,249.7
"Ningxia Solar Hydrogen Project, Phase 2",CHN,Operational,H2,38.4925329,106.2384696,120,26087,20.3
"Coega, Nelson Mandela Bay green ammonia plant, phase 2",ZAF,Feasibility study,Ammonia,-33.92383521,25.65237115,2161.9,480414,374.5
Mote biomass-to-hydrogen plant (CA),USA,Feasibility study,H2,35.35258205,-119.0681614,,8979,7
8Rivers - Wyoming ,USA,Feasibility study,H2,41.25971006,-110.9646855,,116667,91
Project Phoenix,USA,Concept,Ammonia,41.25971006,-110.9646855,,,
Sasolburg green hydrogen project (existing electrolysers to be powered with renewable electricity),ZAF,FID/Construction,H2,-26.80985368,27.82913522,60,13043,10.2
Masen - KfW,MAR,Feasibility study,H2,31.15090448,-9.8437694,100,22222,17.3
Secunda SAF Project - Phase I,ZAF,Feasibility study,Synfuels,-26.54533998,29.16967197,89,19767,15.4
Secunda SAF Project - Phase II,ZAF,Concept,Synfuels,-26.54533998,29.16967197,14825.1,3294460,2568.5
Ra Green Ammonia project,EGY,Concept,H2,29.84513322,32.16283713,150,33333,26
Planta de Combustibles Carbono Neutral Cabo Negro - Parque E??lico Faro del Sur,CHL,Feasibility study,MeOH,-50.61509629,-74.5013589,240,46154,36
HyPro Aconcagua,CHL,Feasibility study,H2,-32.91269768,-71.48815349,20,4444,3.5
Antofagasta Mining Energy Renewable -AMER H2,CHL,Feasibility study,MeOH,-23.39908036,-69.25218282,80,17778,13.9
Green Steel - H2V CAP,CHL,Feasibility study,H2,-36.75121013,-73.12498155,12,2667,2.1
"Los Barrios coal plant, Cadiz, phase 1",ESP,Operational,H2,36.18514022,-5.492609168,5,1111,0.9
Grand Inga hydroelectric power project,COD,Concept,H2,-5.544218817,13.55740599,,,
