Project/Plant Name,status,technology_all,technology,rated power_kW,country,latitude,longitude,grid_level
Nevada Solar One R&D Project,Operational,Thermal energy storage,Heat thermal storage,100,United States,35.9787638,-114.8337739,null
Zhangbei National Wind and Solar Energy Storage and Transmission Demonstration Project (I),Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,6000,China,41.158557,114.72,null
Rankin Substation Energy Storage Project,De-Commissioned,Electro-chemical battery and chemical storage,Sodium-based battery,402,United States,35.2981943,-81.02,Primary Distribution
Beacon Power - 20 MW plant comprises 200 Beacon Power Series 400 flywheels,Operational,Electro-mechanical energy storage,Flywheel,20000,United States ,42.5539158,-73.3944466,Transmission
Limberg II Pumped Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,480000,Austria,47.1592991,12.71,Transmission
Falk??ping Substation Smart Grid - ABB,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,75,Sweden,58.1631846,13.56,Secondary Distribution
Qingdao XueJiadao Battery Pilot Project (????????????????????????????????????????????????????????????????????),Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,7020,China,36,120,null
Aquion Energy Sodium-Ion Battery for Grid-level Applications,De-Commissioned,Electro-chemical battery and chemical storage,Sodium-based battery,15,United States,40.4687825,-79.97,null
Southern California Edison - HVAC Optimization Program,Operational,Thermal energy storage,Latent heat,750,United States,34.0805651,-118.07,null
INES Project,Operational,Electro-chemical battery and chemical storage,Sodium-based battery,120,France,45.643296,5.87,Transmission
Xcel SolarTAC CES Test,Operational,Electro-chemical battery and chemical storage,Sodium-based battery,25,United States,39.755625,-104.62,Secondary Distribution
Lanai Sustainability Research / La Ola PV Farm - Xtreme Power,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,1125,United States,20.8165975,-156.93,null
Redding Electric Utilities (Phase 1) - Ice Energy,Operational,Thermal energy storage,Latent heat,1000,United States,40.5865396,-122.39,null
Astexol II Solar Power Plant,Operational,Thermal energy storage,Sensible heat,50000,Spain,39,-7,null
Lanzarote PowerStore Flywheel Project  - 18 MWs of energy,Operational,Electro-mechanical energy storage,Flywheel,1600,Spain,28.953154,-13.651196,Primary Distribution
"SDGE Pala SES, GRC ES Program Unit 1",Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,500,United States,33,-117,Primary Distribution
"Kannagawa Hydropower Plant No.1, No. 2",Operational,Electro-mechanical energy storage,Pumped hydro storage,940000,Japan,36,139,null
Univeristy of Corsica MYRTE Test Platform,Operational,Electro-chemical battery and chemical storage,Hydrogen storage,150,France,41.9075304,8.66,null
Aste 1B Solar Power Plant,Operational,Thermal energy storage,Sensible heat,50000,Spain,39,-3,null
Aste 1A Solar Power Plant,Operational,Thermal energy storage,Sensible heat,50000,Spain,39,-3,null
Arcosol 50 (Valle 1),Operational,Thermal energy storage,Sensible heat,50000,Spain,36.605904,-5.8,null
Sun-carrier Omega Net Zero Building in Bhopal,Operational,Electro-chemical battery and chemical storage,Flow battery,45,India,23,77,null
Cal Poly - Amonix / Greensmith Energy,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,75,United States,34,-118,Secondary Distribution
SMUD High Penetration Solar Pilot Project Anatolia (RES System),De-Commissioned,Electro-chemical battery and chemical storage,Lithium-ion battery,75,United States,38.5472263,-121.24,Secondary Distribution
SMUD High Penetration Solar Pilot Project Anatolia (CES System),De-Commissioned,Electro-chemical battery and chemical storage,Lithium-ion battery,90,United States,38.5520896,-121.24,Secondary Distribution
Ausgrid Smart Grid Smart City (SGSC) Project - RedFlow,De-Commissioned,Electro-chemical battery and chemical storage,Flow battery,200,Australia,-32.9206957,151.68,null
Acciona Energia Innovative Lithium-Ion System (ILIS) Project  ,De-Commissioned,Electro-chemical battery and chemical storage,Lithium-ion battery,1000,Spain,42.06483,-1.61,null
Gram Power Khareda Lakshmipura Microgrid,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,40,India,27.5,76.56,null
Woojin Industrial Systems 2nd Factory,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,150,South Korea,36.5184,126.8,null
Ausgrid Smart Grid Smart City (Scone Project) - RedFlow,De-Commissioned,Electro-chemical battery and chemical storage,Flow battery,100,Australia,-32.0506991,150.87,null
AES Angamos Storage Array,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,20000,Chile,-23.65,-70.4,Transmission
Slough Zero-Carbon Homes Community Energy Storage,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,75,United Kingdom,51.52164245,-0.61731975,null
HELCO BESS - Koyo (NELHA),Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,100,United States,19.7173967,-156.05,null
HELCO BESS - West Hawaii Civic Center,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,100,United States,20,-156,null
Fujian Electric Power Research Institute Mobile Energy Storage Station I,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,250,China,25.055999,118.19,null
Fujian Electric Power Research Institute Mobile Energy Storage Station II,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,125,China,25.055999,118.19,null
EaglePicher HQ PowerPyramid,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,1000,United States,37.0944308,-94.53,Secondary Distribution
Pualani Manor- EnSync Energy (formerly ZBB),Operational,Electro-chemical battery and chemical storage,Flow battery,60,United States,21.321448,-157.864271,null
University of Queensland - Redflow M90,De-Commissioned,Electro-chemical battery and chemical storage,Flow battery,90,Australia,-27.4709331,153.02,null
Kaheawa Wind Power Project II - Younicos,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,10000,United States,20.7963889,-156.51,null
Las Cruces - Apollo Solar / Iron Edison,Operational,Electro-chemical battery and chemical storage,Nickel-based battery,48,United States,32.3140354,-106.7798078,null
Danbury Residence - Trace / Iron Edison,Operational,Electro-chemical battery and chemical storage,Nickel-based battery,20,United States,41.394817,-73.45,null
Montezuma Canyon - Apollo Solar / Iron Edison,Operational,Electro-chemical battery and chemical storage,Nickel-based battery,17,United States,37.5998493,-109.2494316,null
Beijing Badaling Solar Tower - Institute of Electrical Engineering of Chinese Academy of Sciences,Operational,Thermal energy storage,Heat thermal storage,1500,China,40.456657,115.97,null
Extresol 2 Solar Power Plant,Operational,Thermal energy storage,Sensible heat,50000,Spain,38.6194489,-6.8,null
Extresol 3 Solar Power Plant,Operational,Thermal energy storage,Sensible heat,50000,Spain,38.6194489,-6.8,null
PG&E Vaca Battery Energy Storage Pilot Project,Operational,Electro-chemical battery and chemical storage,Sodium-based battery,2000,United States,38.3565773,-121.99,Primary Distribution
Grid on Wheels,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,360,United States,39.6777096,-75.75,null
San Diego Zoo Solar-to-EV Project,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,100,United States,32.7360673,-117.15,null
InterContinental Hotels Group Stem Energy Optimization System,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,15,United States,37.7820694,-122.4047432,Secondary Distribution
SDG&E Borrego Springs Microgrid Demonstration Project: Home Energy Storage,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,24,United States,33.2558717,-116.38,Secondary Distribution
SDG&E Borrego Springs Microgrid Demonstration Project: Community Energy Storage,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,75,United States,33.2558717,-116.38,Primary Distribution
EnerDel GRESS - FSK St. Petersburg,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,1500,Russia,59.9342802,30.34,Secondary Distribution
100 kW Furukawa Battery Iwaki Factory ,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,100,Japan,37.0504195,140.89,null
PSE Bellevue Storage Innovation Project,Operational,Electro-chemical battery and chemical storage,Flow battery,500,United States,47.6134732,-122.19,Primary Distribution
Pennsylvania ATLAS (Aggregated Transactive Load Asset),Operational,Thermal energy storage,Heat thermal storage,2010,United States,40.9995386,-75.18,null
Pillar Mountain Wind Project - Xtreme Power,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,3000,United States,57,-153,Transmission
Scripps Ranch Community Center BESS,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,100,United States,32.928679,-117.08,null
Lem K??r 1.2 MW ESS Demo - Vestas Wind Systems,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,1200,Denmark,56.0251898,8.38,null
San Fermin Solar BESS,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,2000,United States,18.4308037,-65.88,null
Kauai Island Utility Cooperative - Xtreme Power,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,1500,United States,21.9066667,-159.47,null
Zhangbei National Wind and Solar Energy Storage and Transmission Demonstration Project (IV),Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,3000,China,41.158557,114.72,null
Younicos and Vattenfall Project: Lithium Ion,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,200,Germany,52.42726,13.55,Secondary Distribution
Younicos and Vattenfall Project: Sodium Sulfur,Operational,Electro-chemical battery and chemical storage,Sodium-based battery,1000,Germany,52.42726,13.55,Secondary Distribution
Etten-Leur Smart Storage - Enexis,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,400,Netherlands,51.5922561,4.65,Secondary Distribution
Barclay Tower,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,225,United States,42.6434705,-73.7778297,Secondary Distribution
Port Angeles Landing Mall,De-Commissioned,Electro-chemical battery and chemical storage,Lithium-ion battery,75,United States,48.1139075,-123.42,Secondary Distribution
McAlpine Energy Storage System - Duke Energy / BYD,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,200,United States,35.2272086,-80.8430827,Primary Distribution
KIUC Port Allen Solar and BESS,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,3000,United States,21.9061111,-159.59,null
Sumba Island Microgrid Project ,Operational,Electro-chemical battery and chemical storage,Flow battery,400,Indonesia,-9.6993439,119.97,null
Qatar Science & Technology Park - BYD,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,250,Qatar,25.27639325,51.51158611,null
Marshall Steam Station Energy Storage Project,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,250,United States,35.6204121,-80.9864655,Primary Distribution
Southwest Jiaotong University 100kW/100kWh ESS,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,100,China,30.572269,104.07,null
Texas Dispatchable Wind - 2.0MW Wind Generation Project Located in West Texas,Operational,Electro-mechanical energy storage,Compressed air energy storage,2000,United States,32.7189926,-102.6449101,Primary Distribution
Notrees Battery Storage Project - Duke Energy,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,36000,United States,31.9819386,-102.61,Transmission
Energy Storage Holdings Altair ALTI-ESS,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,1800,United States,40.0583238,-74.41,null
EDF EN Gabardone Project,Operational,Electro-chemical battery and chemical storage,Sodium-based battery,20,France,43,3,null
ADEME Intelligent Electricity Networks - Industrial Area Demonstration,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,3300,France,43.6040202,1.48,null
"Gasfinolhu Island Resort - T&D Water Technologies and Development (with Nidec ASI, FIAMM, ABB)",Operational,Electro-chemical battery and chemical storage,Sodium-based battery,600,Maldives,4,74,null
SMUD Solar EV Charge Port,Operational,Electro-chemical battery and chemical storage,Sodium-based battery,50,United States,38.553074,-121.43,Secondary Distribution
ShoEi Foods Stem PowerStore System,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,72,United States,39,-122,null
Siah Bishe Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,1040000,Iran,36.198,51.321,Transmission
SMUD Galt Advanced Feeder Demo ESS,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,500,United States,38.2546373,-121.3,Secondary Distribution
EnBW Stuttgart Hydrogen Testing Facility,Operational,Electro-chemical battery and chemical storage,Hydrogen storage,400,Germany,48.7754181,9.18,null
Port Hueneme Naval Facility - EnSync Energy (formerly ZBB),De-Commissioned,Electro-chemical battery and chemical storage,Flow battery,25,United States,34.1477829,-119.2,null
LIRR Malverne WESS: Maxwell Technologies,Operational,Electro-chemical battery and chemical storage,Electro-chemical capacitor,1000,United States,40.6754071,-73.67,null
Toronto Hydro CES Project - eCAMION ,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,500,Canada,43.7306345,-79.49,Primary Distribution
Isle of Muck Microgrid System,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,45,United Kingdom,56.83582,-6.23917,Primary Distribution
Termosol 1 Solar Power Plant,Operational,Thermal energy storage,Sensible heat,50000,Spain,39.192614,-5.58,null
Termosol 2 Solar Power Plant,Operational,Thermal energy storage,Sensible heat,49000,Spain,39.089699,-5.46,null
Caceres Solar Power Plant,Operational,Thermal energy storage,Sensible heat,50000,Spain,40.0830699,-6.25,Transmission
Battelle Memorial Institute 5 MW / 1.25 MWh Pacific Northwest Smart Grid Demonstration ,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,5000,United States,44.9428975,-123.04,null
PSU GridSTAR Microgrid Test Center,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,250,United States,39.892936,-75.172169,null
Orkney Storage Park Project,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,2000,United Kingdom,58.984674,-2.96,null
Solar Grid Storage Hackettstown,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,250,United States,40.8553203,-74.82497512,null
Solar Grid Storage Denville,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,250,United States,40.8922694,-74.4774255,null
Jeju SmartGrid Jocheon Substation ESS Test,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,4000,South Korea,33.532445,126.68,null
BC Hydro Field Battery Energy Storage,Operational,Electro-chemical battery and chemical storage,Sodium-based battery,1000,Canada,51.395609,-116.49,Transmission
"E.ON Power to Gas"" Pilot Plant Falkenhagen""",Operational,Electro-chemical battery and chemical storage,Hydrogen storage,1000,Germany,53.2064644,12.2326645,Secondary Distribution
Gangneung Low Carbon Green City: Experience Center,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,100,South Korea,38,129,null
"Bi-directional EV Charging Stations, LA",Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,15,United States,34,-118,null
NRECA/CRN - Distributed Energy Storage Research Project (Great River Energy),Operational,Thermal energy storage,Heat thermal storage,15,United States,45.0954787,-93.44,Secondary Distribution
NRECA/CRN - Distributed Energy Storage Research Project (Federated),Operational,Electro-chemical battery and chemical storage,Lead-acid battery,5,United States,43.670011,-95.1500626,Secondary Distribution
NRECA/CRN - Distributed Energy Storage Research Project (Meeker),Operational,Electro-chemical battery and chemical storage,Lead-acid battery,5,United States,45.1271847,-94.5280474,Secondary Distribution
NRECA/CRN: Distributed Energy Storage Research Project (Minnesota Valley Electric),Operational,Electro-chemical battery and chemical storage,Lead-acid battery,32,United States,44.6671365,-93.61,Secondary Distribution
NRECA/CRN - Distributed Energy Storage Research Project (Wright-Hennepin),Operational,Electro-chemical battery and chemical storage,Lead-acid battery,64,United States,45.0927233,-93.75,Secondary Distribution
New Belgium Brewery  - City of Fort Collins Utilities,Operational,Thermal energy storage,Latent heat,135,United States,40.59335825,-105.0678422,Primary Distribution
Northern Powergrid CLNR ESS2-1,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,100,United Kingdom,54.5318057,-1.5524558,Secondary Distribution
Northern Powergrid CLNR EES1,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,2500,United Kingdom,54.5458828,-1.56,Primary Distribution
Northern Powergrid CLNR ESS2-2,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,100,United Kingdom,55.4221183,-1.6784563,Secondary Distribution
Northern Powergrid CLNR ESS3-1,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,50,United Kingdom,54.550091,-1.543956671,Secondary Distribution
Northern Powergrid CLNR EES3-2,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,50,United Kingdom,55.5458505,-2.0147556,Secondary Distribution
Northern Powergrid CLNR ESS3-3,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,50,United Kingdom,53.41831,-1.1866221,Secondary Distribution
Dynapower Headquarters - Enersys,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,250,United States,44.440095,-73.15234,null
Zerobase Ocean Vodka PV Microgrid,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,100,United States,21,-156,null
Konterra Realty HQ (Laurel) ESS,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,500,United States,39.087324,-76.9,null
SCE Irvine Smart Grid Demonstration: RESU,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,56,United States,33.6387024,-117.84,Secondary Distribution
ATK Launch Systems Microgrid EaglePicher BESS,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,300,United States,41.65921,-112.44,null
Passivhaus 50kW/130kWh ESS,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,50,Switzerland,46.9479222,7.44,null
Arenales CSP Plant,Operational,Thermal energy storage,Sensible heat,50000,Spain,37.161774,-5.54,null
GE Tehachapi Wind Durathon Battery Project - Invenergy,Operational,Electro-chemical battery and chemical storage,Sodium-based battery,300,United States,31.6137467,-98.57,Transmission
Energy Storage Holdings - NextEra,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,1800,United States,39.8318378,-75.19,null
Tibet Ali 2MW/5.32MWh Microgrid,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,2000,China,32.501111,80.11,null
Almacena Lithium Ion Battery,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,1000,Spain,37.471274,-5.64,null
Casablanca Solar Power Plant,Operational,Thermal energy storage,Sensible heat,50000,Spain,39.0345808,-5.23,Transmission
Endesa: V2G,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,80,Spain,36.721261,-4.42,null
Fort Hunter Liggett Battery Storage Project,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,1000,United States,36.0079494,-121.24,null
Green Charge Networks Lithium Ion Distributed Energy Storage System at 7-Eleven,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,100,United States,40.74502245,-73.77704494,Secondary Distribution
La Guardia Airport Avis Car Rental - Green Charge Networks,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,100,United States,40.7737328,-73.8871546,Secondary Distribution
Vestas Lem K??r ESS Demo 400 kW,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,400,Denmark,56.0251898,8.38,null
Ice Energy project at 1200 W Ogden Ave,Operational,Thermal energy storage,Latent heat,10,United States,41.7817857,-88.17266312,null
St Charles City Purchasing Department - Ice Energy,Operational,Thermal energy storage,Latent heat,10,United States,41.9036415,-88.3033342,null
Ice Energy project at 1028 Central St.,Operational,Thermal energy storage,Latent heat,10,United States,42.064113,-87.685746,null
Shakopee Public Utilities- Environmental Learning Center,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,9,United States,44.7980186,-93.5268986,Secondary Distribution
Ice Energy project at 7211 S. 16TH ST,Operational,Thermal energy storage,Latent heat,10,United States,33.38103821,-112.0472164,null
iZEUS ????? Intelligent Zero Emission Urban System,De-Commissioned,Electro-chemical battery and chemical storage,Lithium-ion battery,150,Germany,48.7433425,9.32,null
UEP CCNY Demonstration,Operational,Electro-chemical battery and chemical storage,Flow battery,100,United States,40.81819805,-73.95100898,Secondary Distribution
Netlab2 Sonderbuch,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,30,Germany,48.23081,9.46,null
Ice Energy project at 27140 Eucalyptus Ave Suite A,Operational,Thermal energy storage,Latent heat,10,United States,33.937517,-117.2305944,null
Ice Energy project at 27130 Eucalyptus Ave Ste D,Operational,Thermal energy storage,Latent heat,20,United States,33.937517,-117.2305944,null
Ice Energy project at 27110 Eucalyptus Ave ste E,Operational,Thermal energy storage,Latent heat,10,United States,33.937517,-117.2305944,null
Ice Energy project at 27120 Eucalyptus Ave Ste B,Operational,Thermal energy storage,Latent heat,20,United States,33.937517,-117.2305944,null
Kohl's Department Store - Ice Energy,Operational,Thermal energy storage,Latent heat,20,United States,40.592158,-122.35,null
Ice Energy project at 950 Twin View Blvd,Operational,Thermal energy storage,Latent heat,20,United States,40.62084286,-122.3703527,null
Ice Energy project at 1894 Churn Creek Rd ,Operational,Thermal energy storage,Latent heat,120,United States,40.58114683,-122.3543054,null
Ice Energy project at 729 North Dalton Ave.,Operational,Thermal energy storage,Latent heat,40,United States,34.13571985,-117.9050175,null
San Francisco Residence - Ice Energy,Operational,Thermal energy storage,Latent heat,20,United States,37.7169711,-122.41,null
Ice Energy project at 348 Boston Post Road,Operational,Thermal energy storage,Latent heat,10,United States,41.26218375,-73.00631746,null
Ice Energy project at 385 Boston Post Road,Operational,Thermal energy storage,Latent heat,10,United States,41.26140035,-73.00910026,null
Rustenburg VRLA Project,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,10,South Africa,-26,27,Secondary Distribution
Redding Subaru - Ice Energy,Operational,Thermal energy storage,Latent heat,30,United States,40.5706464,-122.36,null
Valley Ace Hardware - Ice Energy,Operational,Thermal energy storage,Latent heat,30,United States,40.564228,-122.35,null
Mountain View Medical Group - Ice Energy,Operational,Thermal energy storage,Latent heat,30,United States,40.5800399,-122.39,null
Angelo's Pizza Parlor - Ice Energy,Operational,Thermal energy storage,Latent heat,20,United States,40.5812156,-122.39,null
The Old Pine St Schoolhouse (Cheesecakes Unlimited Restaurant) - Ice Energy,Operational,Thermal energy storage,Latent heat,40,United States,40.5885906,-122.39,null
DIY ESS - 5kWh LiFePO4,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,2,France,48.8588897,2.320041022,null
SmartRegion Pellworm (Lithium-Ion),Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,560,Germany,54.523474,8.67,Secondary Distribution
SmartRegion Pellworm (Vanadium Redox Flow),Operational,Electro-chemical battery and chemical storage,Flow battery,200,Germany,54.523826,8.67,Secondary Distribution
Wright-Hennepin Solar Community,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,37,United States,45.0880899,-93.72,Secondary Distribution
Solana Solar Generating Plant,Operational,Thermal energy storage,Sensible heat,280000,United States,32.918396,-112.97,Transmission
"SustainX Inc Isothermal Compressed Air Energy Storage - 1.5MW pilot system in Seabrook, New Hampshire",Operational,Electro-mechanical energy storage,Compressed air energy storage,1500,United States,42.9006942,-70.8816111,Transmission
SkyGrid Energy,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,100,United States,20.2293206,-155.7985278,null
GM E-Motor Charging Station & Microgrid,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,30,United States,39,-76,null
Wilson Creek Winery - Ice Energy,Operational,Thermal energy storage,Latent heat,210,United States,33.54781,-117.05,null
PVCROPS  Evora Demonstration Flow Battery Project,Operational,Electro-chemical battery and chemical storage,Flow battery,5,Portugal,39,-8,null
"Portland Maine ATLAS (Aggregated Transactive Load Asset) - VCharge, Inc.",Operational,Thermal energy storage,Heat thermal storage,300,United States,44,-70,null
Ice Energy project at 20th Street West,Operational,Thermal energy storage,Latent heat,10,United States,34.6738959,-118.1656437,null
Ice Energy project at 33317 Santiago Road,Operational,Thermal energy storage,Latent heat,10,United States,34.6981064,-118.1366153,null
Ice Energy project at 1228 West Ave I,Operational,Thermal energy storage,Latent heat,10,United States,34.70350265,-118.152086,null
Endesa STORE: La Gomera Project -  Flywheel With Total Installed Capacity of 0.5MW/18MWs,Operational,Electro-mechanical energy storage,Flywheel,500,Spain,28.0271769,-17.2006914,Secondary Distribution
29 Palms Durathon Battery Project,Operational,Electro-chemical battery and chemical storage,Sodium-based battery,500,United States,33.8302961,-116.55,null
Ray Power Systems Beijing Frequency Regulation Project,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,2000,China,39.904336,116.41,null
Allegheny Power Demonstration Project (RDSI) - West Virginia Super Circuit,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,24,United States,39.629526,-79.96,Secondary Distribution
World Journal Stem PowerStore System,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,36,United States,38,-122,null
Bucknell University Thermal Energy Storage,Operational,Thermal energy storage,Sensible heat,1000,United States,40.9645293,-76.88,null
Sandia National Solar Thermal Test Facility Molten Salt Loop,Operational,Thermal energy storage,Sensible heat,1400,United States,34.9635,-106.51,Secondary Distribution
Reisseck II Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,430000,Austria,47.0791667,13.34,null
15 MW Energy Storage at Volklingen-Fenne Cogeneration Plant - STEAG GmbH,Contracted,Electro-chemical battery and chemical storage,Lithium-ion battery,15000,Germany,49.2489783,6.88,Transmission
1 MW LESSY Volklingen-Fenne Power Plant - STEAG,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,1000,Germany,49.2556226,6.86,null
Sumitomo EV Battery,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,600,Japan,34.6937378,135.5,null
UCSD BMW 2nd Life EV Energy Storage System,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,108,United States,32.8769207,-117.24,null
NEC 500kW/125kWh GSS- Hangzhou China,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,500,China,30.5483388,119.77,null
St. Petersburg Solar Parks Project - EnSync Energy (formerly ZBB),Operational,Electro-chemical battery and chemical storage,Flow battery,25,United States,28,-83,null
CERTS Test Bed ESS,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,100,United States,40,-83,null
Smart Operator Kisselbach Pb,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,75,Germany,50,8,Primary Distribution
Walgreens - Green Charge Network,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,27,United States,41,-74,null
49er Stadium Green Charge Networks GreenStation,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,30,United States,37.4016481,-122.0076931,Secondary Distribution
Redwood City Public Library Green Charge Networks Greenstation,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,30,United States,37.52997315,-122.2580937,null
SDG&E Julian - S&C / Kokam,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,1000,United States,33.0786552,-116.6,Primary Distribution
SDG&E Carmel Valley - Saft / ABB,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,1000,United States,32.9436607,-117.21,Primary Distribution
Goldthwaite Storage-Invenergy,Operational,Electro-chemical battery and chemical storage,Sodium-based battery,600,United States,31.4498855,-98.57,null
Eumseong ESS Project - Korea Institute of Energy Technology Evaluation and Planning,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,1000,South Korea,36.9396792,127.69,null
CSU Fullerton Greenstation - Green Charge Networks,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,480,United States,33.8800938,-117.89,null
Carros NICE GRID Primary Substation Battery (PSB) Project,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,1100,France,43.792389,7.19,Primary Distribution
Swiss Dual-Circuit Redox Flow Battery,Operational,Electro-chemical battery and chemical storage,Flow battery,10,Switzerland,46.1146883,7.084424,null
NREL American Vanadium CellCube Test Site,Operational,Electro-chemical battery and chemical storage,Flow battery,20,United States,39.7408399,-105.17,null
30 kW / 300 kWh DMG Mori Seiki Headquarters,Operational,Electro-chemical battery and chemical storage,Flow battery,30,Japan,35.7090259,139.73,null
Tehachapi Wind Energy Storage Project - Southern California Edison,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,8000,United States,35.036143,-118.28,Transmission
Ait Baha Plant Thermal Storage - Airlight Energy ,Operational,Thermal energy storage,Heat thermal storage,650,Morocco,30.218837,-9.15,null
CuisinArt Resort Solar Plus Storage Microgird,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,500,Anguilla,18.1758569,-63.11,Secondary Distribution
Annobon Island Microgrid,Operational,Electro-chemical battery and chemical storage,Sodium-based battery,5000,Equatorial Guinea,-1.4221087,5.62,null
