name,type,status,country,latitude,longitude,injection
LINC Energy - Wyoming EOR,Storage,Active,United States,42.847634,-105.973604,500
Judy Creek EOR,Storage,Active,Canada,54.570961,-115.520025,164
Japan CCS-Tomakomai,Storage,Active,Japan,36.08712387,138.0771027,548
Ecofisk EOR (Pilot),Storage,Active,Norway,56.549197,3.209986,
CarbonNet CCS Project,Storage,Active,Australia,-38.131486,146.363143,"13,700"
Big Sky Development Phase - Kevin Dome Project,Storage,Active,United States,48.859252,-111.721966,"1,000,000"
Yanchang Integrated Carbon Capture and Storage Demonstration Project,Capture & Storage,Active,China,37.4316,108.92,137
W.A. Parish Post-Combustion CO2 Capture and Sequestration Project,Capture & Storage,Active,United States,29.477664,-95.635021,"3,836"
Veolia Environment CCS Project,Capture & Storage,Active,France,48.955353,2.729149,548
Val Verde NG Plants,Capture & Storage,Active,United States,29.804012,-101.167563,"3,562"
Uthmaniyah CO2 EOR Demo Project,Capture & Storage,Active,Saudi Arabia,24.807775,49.356405,"2,192"
Tarong Plant Algae Oil Project,Capture & Storage,Active,Australia,-26.783863,151.915747,2
Taichung CCS,Capture & Storage,Active,Taiwan,24.214745,120.479255,"10,000"
South Korea CCS2,Capture & Storage,Active,South Korea,36.47430676,127.9467773,"3,288"
Snøhvit Field LNG and CO2 Storage Project,Capture & Storage,Active,Norway,70.6877507,23.597363,"1,918"
Sleipner Project,Capture & Storage,Active,Norway,58.188087,2.731416,"2,740"
Sinopec Shengli Power Plant CCS Project,Capture & Storage,Active,China,37.46,118.49,"2,740"
Searles Valley Minerals,Capture & Storage,Active,United States,35.759809,-117.376175,740
Petrobras Miranga CO2 injection,Capture & Storage,Active,Brazil,-12.36519,-38.273056,400
Petrobras Lula Oil Field Offshore CCS Project,Capture & Storage,Active,Brazil,-25.595699,-42.331474,"1,918"
PEMEX CCS Project,Capture & Storage,Active,Mexico,17.638724,-92.941641,"8,459,550"
OXYCFB300 Compostilla Project,Capture & Storage,Active,Spain,42.613066,-6.563108,"100,000"
Otway Basin Project - CO2CRC,Capture & Storage,Active,Australia,-38.530524,142.811616,"80,000"
Ordos Basin Project,Capture & Storage,Active,China,39.330467,110.151331,"9,590"
Oakdale NG Processing,Capture & Storage,Active,United States,37.539456,-105.104697,"1,096"
Northwest Upgrader Refinery,Capture & Storage,Active,Canada,53.841572,-113.112056,"3,288"
MRCSP Development Phase - Michigan Basin Project,Capture & Storage,Active,United States,45.019154,-84.529174,"1,000,000"
Mongstad Cogeneration Plant with CO2 Storage,Capture & Storage,Active,Norway,60.81358337,5.028857231,274
Korea CCS1,Capture & Storage,Active,South Korea,37.45,129.165,"2,740"
Klemetsrud Waste to Energy Plant,Capture & Storage,Active,Norway,59.840298,10.836658,
K12-B CO2 Injection Project,Capture & Storage,Active,Netherlands,53.341915,3.896861,55
Jilin Oil Field EOR,Capture & Storage,Active,China,45.119225,124.798169,"2,192"
Illinois Industrial Carbon Capture and Storage Project,Capture & Storage,Active,United States,39.88403,-88.887398,"2,740"
Hiroshima Pilot Plant,Capture & Storage,Active,Japan,34.233333,132.216667,
Greengen Project in China,Capture & Storage,Active,China,39.1037941,117.2521591,
Great Lakes Energy Research Park,Capture & Storage,Active,United States,43.38488,-84.630136,90
Gorgon Project,Capture & Storage,Active,Australia,-20.77690888,115.460907,"9,042"
Eni and Enel CCS Project,Capture & Storage,Active,Italy,44.99508667,9.939902306,22
Enel Brindisi CCS Project,Capture & Storage,Active,Italy,40.566917,18.031435,22
Enecogen Cryogenic CO2 Capture,Capture & Storage,Active,Netherlands,51.961685,4.09398,25
Collie South West Hub Project,Capture & Storage,Active,Australia,-33.501991,116.330709,"6,850"
CO2EuroPipe,Capture & Storage,Active,European Union,50.382708,10.92342,
CO2 Capture from Coffeyville Fertilizer Plant,Capture & Storage,Active,United States,37.046926,-95.608486,"2,400"
Century Plant Gas Processing,Capture & Storage,Active,United States,30.808782,-102.617342,"23,016"
CarbFix,Capture & Storage,Active,Iceland,64.036435,-21.396845,5
Boundary Dam Integrated CCS Project,Capture & Storage,Active,Canada,49.096174,-103.030653,"2,740"
Aquistore Project,Capture & Storage,Active,Canada,49.095559,-103.07764,"1,000"
Alberta Carbon Trunk Line,Capture & Storage,Active,Canada,53.788356,-112.961851,"40,004"
UKy-CAER Heat-integrated Transformative CO2 Capture Process for Pulverized Coal Power Plants,Capture,Active,United States,38.586201,-85.412379,
Sumitomo Chemicals Capture Project,Capture,Active,Japan,35.475659,140.028774,150
Sigma Power Ariake Mikawa,Capture,Active,Japan,33.020082,130.421904,10
Shute Creek Plant,Capture,Active,United States,42.261909,-110.194623,"1,096"
Scottish and Southern Energy - West Yorkshire,Capture,Active,England,53.717405,-1.279432,100
Scale-Up and Testing of Advanced Polaris Membrane CO2 Capture Technology,Capture,Active,Norway,60.803324,5.027942,
RWE nPower - Aberthaw Capture Project in UK,Capture,Active,United Kingdom,51.387226,-3.406614,50
Quest Carbon Capture and Storage Project,Capture,Active,Canada,53.799307,-113.093229,"3,014"
Puertollano Plant,Capture,Active,Spain,38.655582,-3.986858,100
Prairie State Energy Campus,Capture,Active,United States,38.27881,-89.667328,15
Post-Combustion Capture Project in Beijing,Capture,Active,China,39.886528,116.5325,8
Phulpur Urea Plant CO2 Recovery project,Capture,Active,India,28.276608,79.168361,"1,941"
Petronas Gas Processing Capture Project,Capture,Active,Malaysia,5.83516,100.49881,160
NRG Powerton Station,Capture,Active,United States,40.540775,-89.679655,
Nanko Natural Gas Pilot Plant,Capture,Active,Japan,34.61697769,135.4057465,2
Membrane-Sorbent Hybrid System for Post-combustion Carbon Capture,Capture,Active,Norway,60.803324,5.027942,
Luzhou Natural Gas Chemicals,Capture,Active,China,28.87176,105.442141,160
Large Pilot Testing of Linde/BASF Advanced Post-Combustion CO2 Capture Technology at a Coal-Fired Power Plant,Capture,Active,United States,40.104766,-88.241923,
Kurosaki Chemical Plant Capture Project,Capture,Active,Japan,33.872884,130.752913,330
ION Engineering Commercial Carbon Capture Design & Costing (C3DC),Capture,Active,United States,41.082047,-101.14317,
Intermountain Power Agency,Capture,Active,United States,39.509213,-112.580616,
"Initial Engineering, Testing, and Design of a Commercial-Scale, Post-combustion CO2 Capture System on an Existing Coal-Fired Generating Unit",Capture,Active,United States,47.065786,-101.212171,
Initial Engineering Design of a Post-Combustion CO2 Capture System for Duke Energys East Bend Station Using Membrane-Based Technology,Capture,Active,United States,38.905411,-84.851392,
HRL IDGCC Project,Capture,Active,Australia,-38.255862,146.592067,40
Gulf Petrochemical Industries Company (GPIC) Capture Project,Capture,Active,Bahrain,26.143917,50.639774,450
Great River Energy,Capture,Active,United States,47.37694168,-101.1572266,80
GPC Quimica Methanol Production Plant,Capture,Active,Brazil,-22.465016,-43.804919,164
Fertil-2 Capture project,Capture,Active,United Arab Emirates,24.136783,52.738073,
EW Brown Generating Station,Capture,Active,United States,37.788156,-84.713791,
Engineering Scale Testing of Transformational Non-Aqueous Solvent-Based CO2 Capture Process at Technology Centre Mongstad,Capture,Active,Norway,60.803324,5.027942,
Engineering Scale Demonstration of Mixed-Salt Process for CO2 Capture,Capture,Active,Norway,60.803324,5.027942,
E.ON Staudinger - Grosskrotzenburg Germany,Capture,Active,Germany,50.08917,8.95,90
CSIRO Transportable Capture Unit Loy Yang (Victoria),Capture,Active,Australia,-38.23505402,146.5717468,3
CATO2 CO2 Catcher,Capture,Active,Netherlands,51.957395,4.027916,6
