TerminalName,type,status,country,Capacity,CapacityUnits,CapacityInBcm/y,latitude,longitude
Delfin FLNG Terminal,Export,Proposed,United States,3.38,mtpa,4.59,29.13697735,-93.53395095
Delfin FLNG Terminal,Export,Proposed,United States,3.38,mtpa,4.59,29.13697735,-93.53395095
Delfin FLNG Terminal,Export,Proposed,United States,3.38,mtpa,4.59,29.13697735,-93.53395095
Driftwood LNG Terminal,Export,Proposed,United States,11,mtpa,14.96,30.091298,-93.330534
Driftwood LNG Terminal,Export,Proposed,United States,16.6,mtpa,22.58,30.091298,-93.330534
Eagle LNG Import Terminal,Import,Proposed,United States,,,--,30.40879661,-81.61041174
Eagle LNG Terminal,Export,Proposed,United States,550000,gal/day,0.44,30.40879661,-81.61041174
Eagle LNG Terminal,Export,Proposed,United States,550000,gal/day,0.44,30.40879661,-81.61041174
Eagle LNG Terminal,Export,Proposed,United States,550000,gal/day,0.44,30.40879661,-81.61041174
Elba Island LNG Terminal,Import,Retired,United States,12,mtpa,16.32,32.091111,-81.000278
Elba Island LNG Terminal,Export,Operating,United States,0.25,mtpa,0.34,32.091111,-81.000278
Elba Island LNG Terminal,Export,Operating,United States,0.25,mtpa,0.34,32.091111,-81.000278
Elba Island LNG Terminal,Export,Operating,United States,0.25,mtpa,0.34,32.091111,-81.000278
Elba Island LNG Terminal,Export,Operating,United States,0.25,mtpa,0.34,32.091111,-81.000278
Elba Island LNG Terminal,Export,Operating,United States,0.25,mtpa,0.34,32.091111,-81.000278
Elba Island LNG Terminal,Export,Operating,United States,0.25,mtpa,0.34,32.091111,-81.000278
Elba Island LNG Terminal,Export,Operating,United States,0.25,mtpa,0.34,32.091111,-81.000278
Elba Island LNG Terminal,Export,Operating,United States,0.25,mtpa,0.34,32.091111,-81.000278
Elba Island LNG Terminal,Export,Operating,United States,0.25,mtpa,0.34,32.091111,-81.000278
Elba Island LNG Terminal,Export,Operating,United States,0.25,mtpa,0.34,32.091111,-81.000278
Elba Island LNG Terminal,Export,Proposed,United States,0.4,mtpa,0.54,32.091111,-81.000278
Eos FLNG Terminal,Export,Cancelled,United States,1.6,bcf/d,16.54,25.950835,-97.410844
Floridian LNG Terminal,Export,Cancelled,United States,0.1,bcf/d,1.03,27.08,-80.4
Freeport LNG Import Terminal,Import,Mothballed,United States,13.2,mtpa,17.95,28.932003,-95.317355
Freeport LNG Terminal,Export,Operating,United States,5,mtpa,6.8,28.932003,-95.317355
Freeport LNG Terminal,Export,Operating,United States,5,mtpa,6.8,28.932003,-95.317355
Freeport LNG Terminal,Export,Operating,United States,5,mtpa,6.8,28.932003,-95.317355
Freeport LNG Terminal,Export,Proposed,United States,5.1,mtpa,6.94,28.932003,-95.317355
Freeport LNG Terminal,Export,Construction,United States,1.5,mtpa,2.04,28.932003,-95.317355
G2 LNG Terminal,Export,Cancelled,United States,1.3,mtpa,1.77,29.811571,-93.3596
G2 LNG Terminal,Export,Cancelled,United States,1.3,mtpa,1.77,29.811571,-93.3596
G2 LNG Terminal,Export,Cancelled,United States,1.3,mtpa,1.77,29.811571,-93.3596
G2 LNG Terminal,Export,Cancelled,United States,1.3,mtpa,1.77,29.811571,-93.3596
G2 LNG Terminal,Export,Cancelled,United States,1.3,mtpa,1.77,29.811571,-93.3596
G2 LNG Terminal,Export,Cancelled,United States,1.3,mtpa,1.77,29.811571,-93.3596
G2 LNG Terminal,Export,Cancelled,United States,1.3,mtpa,1.77,29.811571,-93.3596
G2 LNG Terminal,Export,Cancelled,United States,1.3,mtpa,1.77,29.811571,-93.3596
