ProjectID,Wiki,TerminalName,FacilityType,Status,Country,Capacity,CapacityUnits,CapacityInBcm/y,StartYearEarliest,Location,State/Province,Latitude,Longitude,CostUSD,LastUpdated
8,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
9,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
10,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
11,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
12,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
13,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
14,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
15,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
16,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
17,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
18,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
1,https://www.gem.wiki/CE_FLNG_Terminal,CE FLNG Terminal,Export,Cancelled,United States,4,mtpa,5.44,2026,Plaquemines Parish,Louisiana,29.30079786,-89.35821088,4000000000,2024-05-21
2,https://www.gem.wiki/CE_FLNG_Terminal,CE FLNG Terminal,Export,Cancelled,United States,4,mtpa,5.44,2026,Plaquemines Parish,Louisiana,29.30079786,-89.35821088,4000000000,2024-05-21
