name,type,country,status,latitude,longitude,capacity_mw,year,link
Akademik Lomonosov,smr,Russian,operational,57,160,70,2019,https://www.power-technology.com/projects/akademik-lomonosov-nuclear-co-generation-russia/
Shidao Bay,smr,China,operational,36.972222,122.52889,400,2023,https://www.world-nuclear-news.org/Articles/Chinese-HTR-PM-Demo-begins-commercial-operation
