Ref,Project name,Country,Status,Technology,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,References,Latitude,Longitude,Dummy_1,LOWE_CF,,,,,
1007,Energía Los Cabos,MEX,Feasibility study,PEM,Dedicated renewable,Solar PV,H2,,,,,,,1,,,,,,,,25,4808,3.7,,[915],23.07476916,-109.5841413,Electrolysis,0.3,,,,,
1008,GICON - Vietnam Petroleum Institute MoU,VNM,Feasibility study,Other Electrolysis,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,,,,,[825],0,0,Electrolysis,0.55,,,,,
1009,Heritage Gas - Ottawa,CAN,FID/Construction,Other Electrolysis,Dedicated renewable,Others/Various,H2,,,,,,,,1,,,,,,,,,,,[826],45.433152,-75.72896533,Electrolysis,0.5,,,,,
1011,RHYME,DEU,Feasibility study,PEM,Dedicated renewable,Onshore wind,H2,,,1,,1,1,,,,,,,,,20,3846,3.0,,[828] [1344] [1345],48.171131,12.831759,Electrolysis,0.4,,,,,
1012,Yanqing Hydrogen Energy Industrial Park,CHN,Operational,PEM,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,6.816,1311,1.0,,[874] [875] [876] [1634] [1698],40.51381489,116.1215243,Electrolysis,0.5,,,,,
1013,Cangzhou Bohai New District Hydrogen,CHN,Concept,Other Electrolysis,Other/Unknown,,H2,,,,,,,,,,,,,,,,,,,[831],38.31669838,116.8406296,Electrolysis,0.57,,,,,
1015,Hydrogen Energy Equipment Industrial Cluster Project in Handan Economic and Technological Development Zone,CHN,Concept,Other Electrolysis,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,1,,,,,,,,,[831],32.31093286,120.3803025,Electrolysis,0.4,,,,,
1016,Zhangjiakou Yangyuan Jingxi New Energy Base Project,CHN,Concept,Other Electrolysis,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,,,,,[831],40.7861058,114.8468786,Electrolysis,0.5,,,,,
1017,CGN Baicheng Hydrogen Production Project - Jilin,CHN,DEMO,Other Electrolysis,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,,,,0.225,50,0.0,,[832],43.81421046,126.4666924,Electrolysis,0.4,,,,,
1021,"Datong City solar plant, phase 2",CHN,FID/Construction,Other Electrolysis,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,40,8889,6.9,,[770] [836],40.07828301,113.3081818,Electrolysis,0.3,,,,,
1022,H2Pioneer - H2 Carinthia,AUT,Operational,PEM,Dedicated renewable,Others/Various,H2,,,,,1,,,,,,,,,,2,385,0.3,,[837][1061],46.59498321,13.85629418,Electrolysis,0.5,,,,,
1023,WIVA P&G Hydrogen Region,AUT,FID/Construction,Other Electrolysis,Dedicated renewable,Others/Various,H2,,,,,,1,1,1,,,,,,,21.067,4682,3.7,,[838],0,0,Electrolysis,0.5,,,,,
1026,Matra power pant,HUN,Concept,Other Electrolysis,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,,,,,[845],47.78937995,20.06821279,Electrolysis,0.5,,,,,
1027,"Konin Power Plant, phase 1 - ZE PAK",POL,FID/Construction,PEM,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,2.5,481,0.4,,"[846], Platts European Gas Daily 23-07-2021, [1635]",52.2875093,18.2839037,Electrolysis,0.5,,,,,
1028,Project AIR (Perstorp - Stenungsund),SWE,Feasibility study,ALK,Dedicated renewable,Onshore wind,MeOH,,,1,,,,,,,,,,,,25,5435,4.2,,[847] [1363][1437][1899],58.08020554,11.81807075,Electrolysis,0.4,,,,,
1029,Reichenau power plant,CHE,Operational,Other Electrolysis,Dedicated renewable,Hydropower,H2,,,,,,1,,,,,,,,,2.5,556,0.4,,[1645][2413],47.5602883,7.629416874,Electrolysis,0.8,,,,,
1030,Steklarna Hrastnik glass manufactuing plant,SVN,Operational,Other Electrolysis,Dedicated renewable,Solar PV,H2,,,,,1,,,,,,,,,,0.15,33,0.0,,[848],46.12903202,15.09450548,Electrolysis,0.3,,,,,
1032,Solar Global group headquarters,CZE,Concept,Other Electrolysis,Grid,N/A,H2,,,,,,,,,,,,,,,,,,,[842],0,0,Electrolysis,0.57,,,,,
1033,Greening of Gas (GoG) - Net4Gas DEMO,CZE,Feasibility study,Other Electrolysis,Dedicated renewable,Unknown,CH4,,,,,,,,,,,,,,,0.450,100,0.1,,[843] [853],0,0,Electrolysis,0.5,,,,,
1034,Lingen Green Hydrogen (LGH2) Phase 2,DEU,Concept,Other Electrolysis,Other/Unknown,,H2,1,,,,,,,,,,,1,,,400,88889,69.3,,"[272][638], Platts European Gas Daily 08-12-2021",52.55860477,7.310193321,Electrolysis,0.57,,,,,
1035,HyMAT SH,DEU,Feasibility study,Other Electrolysis,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,10,2222,1.7,,[844] [2399],0,0,Electrolysis,0.5,,,,,
1036,We-4-PUR,DEU,Feasibility study,Other Electrolysis,Dedicated renewable,Others/Various,H2,,,,,1,,,,,,,,,,25,5556,4.3,,[844],0,0,Electrolysis,0.5,,,,,
1037,H2 in the Ketzin energy transition laborator,DEU,Feasibility study,Other Electrolysis,Dedicated renewable,Others/Various,H2,,,,,,1,,1,,,,,,,2,444,0.3,,[844],0,0,Electrolysis,0.5,,,,,
1038,Green Energy Hub Helmstedt,DEU,Feasibility study,Other Electrolysis,Dedicated renewable,Others/Various,MeOH,,,1,,,,,,,,,,,,20,4444,3.5,,[844],52.22832664,11.0043476,Electrolysis,0.5,,,,,
1039,Speicherstadt Kerpen,DEU,Feasibility study,Other Electrolysis,Dedicated renewable,Others/Various,H2,,,,,,1,1,,,1,,,,,,,,,[844],0,0,Electrolysis,0.5,,,,,
1041,SLOP2G Project,SVN,Concept,Other Electrolysis,Dedicated renewable,Unknown,CH4,,,,,,,,,,,,,1,,,,,,[849],0,0,Electrolysis,0.5,,,,,
1042,Thermal Power Plant Sostanj,SVN,Operational,Other Electrolysis,Other/Unknown,,H2,,,,,,,,,,,,,,,0.1,22,0.0,,,46.3746747,15.05297235,Electrolysis,0.57,,,,,
1043,TPJ Jesenice,SVN,Operational,Other Electrolysis,Other/Unknown,,H2,,,,,,,,,,,,,,,0.35,78,0.1,,,0,0,Electrolysis,0.57,,,,,
1044,H2MUCTYNIC (Confidential data from H2 Europe),SVK,Feasibility study,Other Electrolysis,Dedicated renewable,Others/Various,H2,,1,,,1,,,,,,,,,,20.000,4444,3.5,,[2401],0,0,Electrolysis,0.5,,,,,
1045,"Dolphyn 1, phase 1",GBR,Feasibility study,Other Electrolysis,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,10,2222,1.7,,[850] [2366],57.06520831,-1.89828763,Electrolysis,0.55,,,,,
1046,"Dolphyn 1, phase 2",GBR,Concept,Other Electrolysis,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,90,20000,15.6,,[850] [2366],57.06520831,-1.89828763,Electrolysis,0.55,,,,,
1047,"PTG Bilsthorpe, Nottinghamshire",GBR,Other/Unknown,Other Electrolysis,Dedicated renewable,Others/Various,H2,,,,,,,,1,,,,,,,1.25,278,0.2,,[851],53.14237547,-1.035306593,Electrolysis,0.5,,,,,
1048,Uniper Killingholme site,GBR,Feasibility study,Other Electrolysis,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,100,22222,17.3,,[852],53.65480155,-0.254668893,Electrolysis,0.55,,,,,
1049,North Sea Wind Power Hub,NLD,Concept,Other Electrolysis,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,1897.965,421770,328.8,,[853],53.3590619,4.87415461,Electrolysis,0.55,,,,,
1050,P2G Velke Kapusany,SVK,Feasibility study,Other Electrolysis,Dedicated renewable,Unknown,H2,,,,,,,,1,,,,,,,78,17333,13.5,,[853],48.54429936,22.07745485,Electrolysis,0.5,,,,,
1052,"Element One (Element Eins), phase 3",DEU,Feasibility study,ALK,Dedicated renewable,Others/Various,CH4,,,,,,,,,,,,,,,232.817,50612,39.5,,[382],53.52494208,7.630359539,Electrolysis,0.5,,,,,
1053,"Green Hydrogen Hub, phase 1","DEU
DNK",Concept,Other Electrolysis,Other/Unknown,,H2,,,,,,,,,,,,,,,,,,,[853],56.63923041,9.795671508,Electrolysis,0.57,,,,,
1054,"Green Hydrogen Hub, phase 2","DEU
DNK",Concept,Other Electrolysis,Other/Unknown,,H2,,,,,,,,,,,,,,,,,,,[853],56.63923041,9.795671508,Electrolysis,0.57,,,,,
1056,HyGéo,FRA,Concept,Other Electrolysis,Grid,,H2,,,,,,,,1,,,,,,,,,,,[853],0,0,Electrolysis,0.57,,,,,
1057,Pegasus,ITA,Feasibility study,Other Electrolysis,Dedicated renewable,Unknown,CH4,,,,,,,,,,,,,1,,23,5111,4.0,,[853] [855],0,0,Electrolysis,0.5,,,,,
1058,Electrolyzers with "network related function" in Apulia - Phase 1,ITA,Concept,Other Electrolysis,Grid,,H2,,,,,,,,,,,,,1,,90,20000,15.6,,"[853], Data from Snam",41.06687898,16.68257759,Electrolysis,0.57,,,,,
1059,Hydrogen injection into the gas network in Lithuania,LTU,DEMO,Other Electrolysis,Other/Unknown,,H2,,,,,,,,1,,,,,,,1,222,0.2,,[853][1003],55.41380634,23.51968018,Electrolysis,0.57,,,,,
1060,Power to Gas Production with infrastructure building/enhacement in Latvia,LVA,Concept,Other Electrolysis,Grid,N/A,H2,,,,,,,,,,,,,,,,,,,[853],56.90636933,24.91494388,Electrolysis,0.57,,,,,
1061,"G2F - Gas to Future, phase 1",SVK,Feasibility study,Other Electrolysis,Dedicated renewable,Unknown,H2,,,,,,,,1,,,,,,,84,18667,14.6,,[853],0,0,Electrolysis,0.5,,,,,
1062,"G2F - Gas to Future, phase 2",SVK,Concept,Other Electrolysis,Dedicated renewable,Unknown,H2,,,,,,,,1,,,,,,,248,55111,43.0,,[853],48.8857681,19.36289159,Electrolysis,0.5,,,,,
1063,Herten HRS,DEU,FID/Construction,PEM,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,2.935,564,0.4,,[856] [869],51.59623275,7.139411063,Electrolysis,0.5,,,,,
1064,Vallée Hydrogène Grand Ouest (VHyGO) - Saint-Nazaire,FRA,Operational,Other Electrolysis,Dedicated renewable,Offshore wind,H2,,,,,,1,,,,,,,,,1.5,333,0.3,,[857] [858] [1628],47.27377389,-2.21032493,Electrolysis,0.55,,,,,
1065,Vallée Hydrogène Grand Ouest (VHyGO) - Dieppe,FRA,Concept,Other Electrolysis,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,0.5,111,0.1,,[857] [858],49.96313092,1.089687683,Electrolysis,0.5,,,,,
1066,NEL-Lhyfe Agreement,FRA,,Other Electrolysis,Dedicated renewable,Others/Various,,,,,,,1,,,,,,,,,,,,,,0,0,Electrolysis,0.5,,,,,
1067,McDermott - CB&I 2nd project,USA,Feasibility study,Other Electrolysis,Other/Unknown,,H2,,,,,,,,1,,,,,,,50,11111,8.7,,[761] [859],0,0,Electrolysis,0.57,,,,,
1068,Hy-Fi,CHL,Concept,Other Electrolysis,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,2738.764,608614,474.5,,[861],-26.38901715,-70.04808825,Electrolysis,0.5,,,,,
1069,HYBAYERN,DEU,FID/Construction,PEM,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,2.873,552,0.4,,[867],0,0,Electrolysis,0.5,,,,,
1070,"Hyways for future, total",DEU,Concept,PEM,Grid,N/A,H2,,,,1,,1,,,,,,,,,5.303,1020,0.8,,[868],0,0,Electrolysis,0.57,,,,,
1071,Norddeutsches Reallabor - Living Lab Northern Germany,DEU,Feasibility study,PEM,Dedicated renewable,Unknown,H2,1,1,,,1,1,,,,,,,,,48.689,9363,7.3,,,54.27535825,9.244366247,Electrolysis,0.5,,,,,
1072,"Haru Oni, phase 2",CHL,Feasibility study,PEM,Dedicated renewable,Others/Various,Various,,,,,,,,,,,,,,,412.690,79364,61.9,,[589][645] [870] [871] [1078][1518],-52.02782333,-72.3950138,Electrolysis,0.5,,,,,
1073,"Haru Oni, phase 3",CHL,Concept,Other Electrolysis,Dedicated renewable,Others/Various,Various,,,,,,,,,,,,,,,2000,444444,346.5,,[589][645] [870] [871] [1078],-52.02782333,-72.3950138,Electrolysis,0.5,,,,,
1074,Hydrogen Fuels Australia Truganina refuelling station - H2FA,AUS,FID/Construction,ALK,Dedicated renewable,Solar PV,H2,,,,,,1,,,,,,,,,0.432,94,0.1,,[872][2267],-37.82426002,144.7455641,Electrolysis,0.3,,,,,
1076,Pertamina Ulubelu geothermal plant,IDN,FID/Construction,Other Electrolysis,Dedicated renewable,Others/Various,H2,1,,,,,,,,,,1,,,,0.5,111,0.1,,[878] [879] [1332] [1636],-5.306544,104.577194,Electrolysis,0.5,,,,,
1077,P2X Harjavalta project,FIN,FID/Construction,ALK,Dedicated renewable,Unknown,H2,,,,,1,,,,,,,,1,,20,4348,3.4,,[881][1228][1475] [1614],61.31892106,22.12563319,Electrolysis,0.5,,,,,
1078,Ercros - Sabinanigo,ESP,FID/Construction,ALK,Dedicated renewable,Unknown,H2,,1,,,,,,,,,,,,,0.9,196,0.2,,[882][1644][2386],42.51887539,-0.372457215,Electrolysis,0.5,,,,,
1079,OMNI CT - California,USA,FID/Construction,Biomass,,,H2,,,,,,,,,,,,,,,,6413,5.0,,[886],37.06172514,-120.6982696,Other,0.9,,,,,
1081,Sapio - Mantova,ITA,Operational,NG w CCUS,,,H2,,,,,,,,,,,,,,,,1500,1.2,,,45.15573304,10.78972903,Fossil fuels with CCUS,0.9,,,,,
1082,Woikoski Kokkola H2 plant,FIN,Operational,ALK,Other/unknown,,H2,,,,,,,,,,,,,,,9,1957,1.5,,[888],63.8413308,23.12696039,Electrolysis,0.57,,,,,
1083,HyEnergy Zero Carbon Hydrogen,AUS,Feasibility study,Other Electrolysis,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,8000,1777778,1386.0,,[889][890][1202][1468],-24.67763139,113.6138749,Electrolysis,0.5,,,,,
1084,Yellow Sea,CHN,Concept,Other Electrolysis,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,2000,444444,346.5,,[889],36.07353232,120.394282,Electrolysis,0.5,,,,,
1085,HNH,CHL,Feasibility study,Other Electrolysis,Dedicated renewable,Onshore wind,Ammonia,,1,,,,,,,,,,,,,3000,666667,519.8,,[889][891][1220] [2713],-52.02782333,-72.3950138,Electrolysis,0.4,,,,,
1086,Rostock - RWE - (HyTechHafen-Rostock),DEU,Feasibility study,Other Electrolysis,Grid,,H2,,,,,,,,,,,,,,,100,22222,17.3,,[889][945][1988],54.14507287,12.10939724,Electrolysis,0.57,,,,,
1087,CRS4-Italgas Sardinia,ITA,Concept,Other Electrolysis,Dedicated renewable,Unknown,CH4,,,,,,,,,,,,,1,,,,,,[893],40.13250071,9.029131993,Electrolysis,0.5,,,,,
1090,"BP Castellon refinery, phase 1 (HyVal)",ESP,FID/Construction,PEM,Grid+Renewables,Others/Various,H2,1,,,,,,,,,,,,,,25,4808,3.7,,[895] [2603] [2604],39.95800423,-0.004072311,Electrolysis,0.7,,,,,
1091,SmartQuart project - Kaisersesch ,DEU,FID/Construction,PEM,Other/Unknown,,H2,,,,,,,,,,,,,,,1,192,0.1,,[896] [1343] [1688][2268],50.2307994,7.1404855,Electrolysis,0.57,,,,,
1093,"Canary Islands Hub, phase 1",ESP,Feasibility study,Other Electrolysis,Dedicated renewable,Unknown,H2,,,,,1,1,1,,,,,,,,5.8,1283,1.0,,[900],0,0,Electrolysis,0.5,,,,,
1094,"Canary Islands Hub, phase 2",ESP,Concept,Other Electrolysis,Dedicated renewable,Unknown,H2,,,,,1,1,1,,,,,,,,,,,,[900],0,0,Electrolysis,0.5,,,,,
1095,Suncor Edmonton Refinery - Heartland hydrogen hub (ALB),CAN,Feasibility study,NG w CCUS,,,H2,1,,,,,,1,,,,,,,,,384793,300.0,2000000,[901],53.712776,-113.213333,Fossil fuels with CCUS,0.9,,,,,
1096,Donghae 1 offshore wind plant,KOR,Feasibility study,Other Electrolysis,Dedicated renewable,Offshore wind,H2,,,,,,1,,,,,,,,,100,22222,17.3,,[904] [2402],35.51663948,129.4444447,Electrolysis,0.55,,,,,
1097,Turquoise Hydrogen,AUS,FID/Construction,Other,,,H2,,,,,1,1,,,,,,,,,,70,0.1,,[906][907][2234],-27.47538961,152.9986896,Other,0.9,,,,,
1100,BayoTech - St Louis Hub,USA,Operational,NG w CCUS,,,H2,,,,,,,,,,,,,,,,449,0.4,,[908][1652] [2201],38.6260157,-90.19539681,Fossil fuels with CCUS,0.9,,,,,
1102,ZEHUS,ITA,Feasibility study,ALK,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,4,870,0.7,,,0,0,Electrolysis,0.5,,,,,
1108,Roadrunner,USA,Feasibility study,ALK,Dedicated renewable,Solar PV,Synfuels,,,,,1,1,,,,,,1,,,42.4,9224,7.2,,[2335],31.38403144,-102.031466,Electrolysis,0.3,,,,,
1109,"Green Energy Oman (GEO), phase 1 (former Oman-Al Wusta green H2 project)",OMN,Feasibility study,Other Electrolysis,Dedicated renewable,Others/Various,Ammonia,,,,,,,,,,,,,,,1731.6,384793,300.0,,[913] [928][980],19.68668404,56.86378032,Electrolysis,0.5,,,,,
1110,Plug Power - Fort Worth,USA,FID/Construction,PEM,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,,,,273.9,52669,41.1,,[914][1663] [2229],32.76328925,-97.34013071,Electrolysis,0.4,,,,,
1113,HyDeal LA,USA,Feasibility study,Other Electrolysis,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,,,,,[917],0,0,Electrolysis,0.5,,,,,
1114,Energiepark Eemshaven West (phase I),NLD,Feasibility study,Other Electrolysis,Dedicated renewable,Others/Various,H2,,,,,1,1,,,,,,,,,10,2222,1.7,,[920] [1662],53.43912043,6.836530401,Electrolysis,0.5,,,,,
1115,Energiepark Eemshaven West (phase II),NLD,Feasibility study,Other Electrolysis,Dedicated renewable,Others/Various,H2,,,,,1,1,,,,,,,,,100,22222,17.3,,[920] [1662],53.43912043,6.836530401,Electrolysis,0.5,,,,,
1116,ELYgator,NLD,Feasibility study,Other Electrolysis,Dedicated renewable,Unknown,H2,,,,,1,1,,,,,,,,,200,44444,34.7,,[920] [1437] [1662],51.32069552,3.815185436,Electrolysis,0.5,,,,,
1117,"Central Queensland Hydrogen CQ-H2, phase 1",AUS,Feasibility study,Other Electrolysis,Dedicated renewable,Others/Various,H2,,,,,1,,,,,,,,,,640,142222,110.9,,[969][970][1146][1165] [2244],-23.84020759,151.0473419,Electrolysis,0.5,,,,,
1118,Zeeland Refinery - H2ero,NLD,Feasibility study,Other Electrolysis,Dedicated renewable,Unknown,H2,1,,,,,,,,,,,,,,150,33333,26.0,,[920],51.41895364,3.727398275,Electrolysis,0.5,,,,,
1119,FUREC,NLD,Feasibility study,Biomass,,,H2,,,,,,,,,,,,,,,,69263,54.0,,[920],50.98229949,5.831535016,Other,0.9,,,,,
1120,BrigH2,NLD,Feasibility study,Biomass,,,H2,,,,,,,,,,,,,,,,16854,13.1,,[920] [1662],0,0,Other,0.9,,,,,
1121,Hydrogen Wind Turbine in Wieringerwerf,NLD,FID/Construction,PEM,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,,,,5,962,0.7,,[920] [1662] [2316],52.83244411,4.93873371,Electrolysis,0.4,,,,,
1122,H2-gateway,NLD,Feasibility study,NG w CCUS,,,H2,,,,,,,,,,,,,,,,257,0.2,,[920] [1662] [2435],0,0,Fossil fuels with CCUS,0.9,,,,,
1123,Sinopec Star Corp Ordos Green Power-to-Gas Demonstration (or: Uxin Banner Wind-Solar Integrated Green Hydrogen Petrochemical Refinery Demo) Phase 1,CHN,FID/Construction,ALK,Dedicated renewable,Others/Various,H2,,,,,1,,,,,,,,,,59.0,12826,10.0,,[922] [972] [1302][1653][1857],39.67405784,109.7247561,Electrolysis,0.5,,,,,
1124,Sinopec - Kuqa,CHN,Operational,ALK,Dedicated renewable,Solar PV,H2,1,,,,,,,,,,,,,,260,56522,44.1,,[922][972][1148][1876][1990],41.82754999,83.39490166,Electrolysis,0.3,,,,,
1125,Pecos County Ultra Clean Fuels Refining (TX),USA,Concept,NG w CCUS,N/A,N/A,H2,1,,,,,,,,,,,,,,,,,,[923],31.39098157,-103.5359583,Fossil fuels with CCUS,0.9,,,,,
1126,GreenHyScale,DNK,Feasibility study,ALK,Other/Unknown,,H2,,,,,,,,,,,,,,,100,21739,16.9,,[924][1101][1231],56.56530195,9.02965887,Electrolysis,0.57,,,,,
1127,EI-H2 - Aghada (phase 1),IRL,Feasibility study,Other Electrolysis,Grid,,H2,1,,,,1,1,,,,,,,,,50,11111,8.7,,[925][981],51.84045272,-8.218320265,Electrolysis,0.57,,,,,
1128,Green lab skive (Phase II),DNK,FID/Construction,Other Electrolysis,Dedicated renewable,Others/Various,MeOH,,,1,,,,,,,,,,,,18,4000,3.1,,[641][924][926][1249],56.56530195,9.02965887,Electrolysis,0.5,,,,,
1129,Khalifa Industrial Zone Abu Dhabi (KIZAD) Helios Industry- phase 1,ARE,Feasibility study,ALK,Dedicated renewable,Solar PV,Ammonia,,1,,,,,,,,,,,,,124.0,26946,21.0,,[927],24.48524216,54.39272804,Electrolysis,0.3,,,,,
1130,"HySynergy, phase 3",DNK,Feasibility study,Other Electrolysis,Dedicated renewable,Others/Various,H2,1,,,,,1,,,,,,,,,700,155556,121.3,,[288] [331],55.59138504,9.752643675,Electrolysis,0.5,,,,,
1134,Kapuni Green Hydrogen Project - Taranaki,NZL,FID/Construction,Other Electrolysis,Dedicated renewable,Others/Various,Various,,1,,,,1,,,,,,,,,4.2,936,0.7,,[932],-39.32205121,174.4101175,Electrolysis,0.5,,,,,
1137,Horizon H2 capture tailings CCS (ALB),CAN,Operational,Oil w CCUS,,,H2,1,,,,,,,,,,,,,,,,,438000,[933-934],0,0,Fossil fuels with CCUS,0.9,,,,,
1139,Hyundai Oilbank - Blue H2 Ecosystem,KOR,Feasibility study,NG w CCUS,,,H2,,,,,,,1,,,,,,,,,128264,100.0,,[937],0,0,Fossil fuels with CCUS,0.9,,,,,
1140,Forestal del Atlántico - Triskelion,ESP,FID/Construction,Other Electrolysis,Dedicated renewable,Others/Various,MeOH,,,,,,,,,,,,1,,,88.345,19632,15.3,,[938] [2490],43.46907065,-8.214771433,Electrolysis,0.5,,,,,
1141,SoHyCal,USA,Operational,PEM,Dedicated renewable,Solar PV,H2,,,,,,1,,,,,,,,,7.5,1442,1.1,,[939][940][2192],36.73162032,-119.7740255,Electrolysis,0.3,,,,,
1142,Bee’ah waste-to-hydrogen,ARE,Concept,Biomass,,,H2,,,,,,1,,,,,,,,,,,,,[941],24.48524216,54.39272804,Other,0.9,,,,,
1143,Industrial Cachimayo,PER,Operational,ALK,Dedicated renewable,Hydropower,Ammonia,,1,,,,,,,,,,,,,25,5435,4.2,,[942],-13.37649265,-72.07907968,Electrolysis,0.8,,,,,
1144,Dos Bocas refinery,MEX,Concept,NG w CCUS,,,H2,1,,,,,,,,,,,,,,,,,,,18.41896827,-93.20383473,Fossil fuels with CCUS,0.9,,,,,
1145,Sirea - Castres site,FRA,Operational,Other Electrolysis,Dedicated renewable,Solar PV,H2,,,,,,1,,,,,,,,,0.43,96,0.1,,[943],43.60769064,2.24104035,Electrolysis,0.3,,,,,
1146,Rostock - RWE (future phases),DEU,Concept,Other Electrolysis,Grid,,H2,,,,,,,,,,,,,,,900,200000,155.9,,[889][945][1998],54.14507287,12.10939724,Electrolysis,0.57,,,,,
1147,Hy4Chem - BASF Ludwigshafen,DEU,FID/Construction,PEM,Dedicated renewable,Unknown,H2,,,,,1,1,,,,,,,,,54,10385,8.1,,[945][2223],47.81692921,9.057313619,Electrolysis,0.5,,,,,
1148,Davis-Besse Nuclear Power Station,USA,DEMO,PEM,Nuclear,,H2,,,,,,,,,,,,,,,2,385,0.3,,,41.595232,-83.089336,Electrolysis,0.8,,,,,
1149,Prairie Island,USA,DEMO,SOEC,Nuclear,,H2,,,,,,,,,,,,,,,0.2,53,0.0,,,44.62242749,-92.64020902,Electrolysis,0.8,,,,,
1151,Bruce Nuclear Generating Station,CAN,Feasibility study,Other Electrolysis,Nuclear,,H2,,,,,,,,,,,,,,,3,667,0.5,,,44.31856386,-81.57397598,Electrolysis,0.8,,,,,
1152,Heysham demonstrator 1,GBR,DEMO,SOEC,Nuclear,,H2,,,,,,,,,,,,,,,1,263,0.2,,,54.02965513,-2.914395771,Electrolysis,0.8,,,,,
1155,Kola Nuclear Power Plant demo,RUS,Operational,PEM,Nuclear,,H2,,,,,,,,,,,,,,,1,192,0.1,,[1598-1599],67.46500889,32.48146993,Electrolysis,0.8,,,,,
1156,Hydrogen Lab Bremerhaven (phase 1),DEU,Operational,PEM,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,1,,,1,192,0.1,,[948][949] [2215],53.53951134,8.591532904,Electrolysis,0.4,,,,,
1157,Hydrogen Lab Bremerhaven (phase 2),DEU,Concept,Other Electrolysis,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,1,,,9,2000,1.6,,[948][949],53.53951134,8.591532904,Electrolysis,0.4,,,,,
1158,Hydrogen Lab Leuna (phase 1),DEU,Operational,SOEC,Dedicated renewable,Onshore wind,MeOH,,,1,,,,,,,,,,,,1,263,0.2,,[948][949],51.32471117,12.02431106,Electrolysis,0.4,,,,,
1159,Hydrogen Lab Leuna (phase 2),DEU,Concept,Other Electrolysis,Dedicated renewable,Onshore wind,Synfuels,,,,,,,,,,,,1,,,4,889,0.7,,[948][949],51.32471117,12.02431106,Electrolysis,0.4,,,,,
1160,Hydrogen Lab Gorlitz,DEU,DEMO,Other Electrolysis,Other/Unknown,,H2,,,,,,1,,,,,,,,,2,444,0.3,,[948][949][950],51.13242117,14.96321633,Electrolysis,0.57,,,,,
1161,Hydrogen Eagle (various hubs),POL,Feasibility study,Other Electrolysis,Dedicated renewable,Offshore wind,H2,,,,,,1,,,,,,,,,100,22222,17.3,,[951],0,0,Electrolysis,0.55,,,,,
1162,Hydrogen Eagle (various hubs),POL,Feasibility study,Other Electrolysis,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,,,,,,10,2222,1.7,,[951],0,0,Electrolysis,0.4,,,,,
1163,Hydrogen Eagle (various hubs),POL,Feasibility study,Biomass,,,H2,,,,,,1,,,,,,,,,,19240,15.0,,[951],0,0,Other,0.9,,,,,
1164,Hydrogen Eagle (Litvínov),CZE,FID/Construction,PEM,Dedicated renewable,Onshore wind,H2,1,,,,,1,,,,,,,,,30,5769,4.5,,[951],50.57883081,13.60789487,Electrolysis,0.4,,,,,
1165,Hydrogen Eagle (Spolana),CZE,Feasibility study,Other Electrolysis,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,,,,,,18,4000,3.1,,[951],50.27041613,14.51319438,Electrolysis,0.4,,,,,
1166,"Hydrogen Eagle (Spolana), phase 1",CZE,Feasibility study,Other Electrolysis,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,6,1333,1.0,,[951],50.27041613,14.51319438,Electrolysis,0.5,,,,,
1167,Hydrogen Eagle (various hubs),SVK,Feasibility study,Other Electrolysis,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,,,,,,60,13333,10.4,,[951],48.253797,17.459326,Electrolysis,0.4,,,,,
