Ref,Project name,Country,Status,Technology,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,References,Latitude,Longitude,Dummy_1,LOWE_CF,,,,,
30,H2FUTURE,AUT,Operational,PEM,Grid,,H2,,,,1,,,,,,,,,,,6,1154,0.9,,[342],48.3059078,14.286198,Electrolysis,0.57,,,,,
31,Guangdong Synergy Hydrogen Power Technology Co. 1st phase,CHN,Operational,PEM,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,4,769,0.6,,[352],0,0,Electrolysis,0.5,,,,,
33,"Markham Energy Storage, Ontario",CAN,Operational,PEM,Grid,,H2,,,,,,,,1,,,,,,,2.5,481,0.4,,[394],43.85734939,-79.33112419,Electrolysis,0.57,,,,,
34,PFI - Pirmasens-Winzeln,DEU,Operational,Other Electrolysis,Dedicated renewable,Others/Various,CH4,,,,,,,,,,,,,1,,2.5,556,0.4,,[604],49.1996961,7.6087847,Electrolysis,0.5,,,,,
36,MEFCO2,DEU,DEMO,PEM,Grid,,MeOH,,,1,,,,,,,,,,,,1,192,0.1,,"[2], [4], [8], [50], [51] [408]",0,0,Electrolysis,0.57,,,,,
37,"Windgas Haurup, 2nd phase",DEU,Operational,PEM,Dedicated renewable,Onshore wind,H2,,,,,,,1,,,,,,,,1,192,0.1,,[440] [737][1002][1198],54.72670653,9.347591285,Electrolysis,0.4,,,,,
38,Parnu refuelling station,EST,Operational,ALK,Other/unknown,,H2,,,,,,1,,,,,,,,,1,217,0.2,,,58.39337285,24.5106866,Electrolysis,0.57,,,,,
40,"H2Nodes, Riga",EST,Operational,PEM,Other/unknown,,H2,,,,,,1,,,,,,,,,0.728,140,0.1,,[390] [391] [437],56.97288026,24.08787472,Electrolysis,0.57,,,,,
41,Houdain bus station HRS (TADAO/Bulle 6 SMTAG),FRA,Operational,ALK,Grid,,H2,,,,,,1,,,,,,,,,0.5,109,0.1,,,49.8808904,1.1415922,Electrolysis,0.57,,,,,
42,HyDeploy,GBR,Operational,PEM,Grid,,H2,,,,,,,,1,,,,,,,0.5,96,0.1,,[269] [302] [436],53.0038078,-2.2877425,Electrolysis,0.57,,,,,
43,Quebec Great Toronto Area East,CAN,Operational,ALK,Other/unknown,,H2,,,,,,1,,,,,,,,,0.5,109,0.1,,[458],0,0,Electrolysis,0.57,,,,,
44,Fébus Pau bus station HRS,FRA,Operational,PEM,Grid,,H2,,,,,,1,,,,,,,,,0.75,144,0.1,,[547],43.31136409,-0.362005309,Electrolysis,0.57,,,,,
46,"Solothurn, STORE&GO",CHE,Operational,PEM,Grid,,CH4,,,,,,,,,,,,,1,,0.35,67,0.1,,[372],47.20726589,7.534500701,Electrolysis,0.57,,,,,
