type,latitude,longitude,capacity_mw
Hydro,-42.0046,145.5437,8.4
Biomass,-18.6508,146.2016,24.0
Biomass,-27.4405,153.1158,2.0
Biomass,-35.2959,148.1371,20.0
Hydro,-33.8832,150.5965,50.0
Hydro,-42.4272,146.5347,38.3
Hydro,-36.7601,147.186,62.0
Hydro,-41.4833,146.1251,81.6
Hydro,-27.3952,152.6092,4.7
Hydro,-27.3722,152.632,500.0
Hydro,-33.981,148.9473,20.0
Hydro,-36.0094,145.9995,9.0
Hydro,48.248,14.4305,168.0
Hydro,46.7667,15.55,26.0
Hydro,47.0167,15.1667,30.0
Hydro,48.3853,14.023,287.0
Hydro,47.407,13.2205,16.0
Hydro,48.244,13.006,100.0
Hydro,47.4167,15.2833,16.0
Hydro,48.2194,13.16,72.0
Hydro,47.6,14.7333,1.0
Hydro,46.5347,14.1712,88.0
Hydro,46.8638,13.3355,38.0
Hydro,46.5462,14.2985,75.0
Hydro,47.1667,14.7333,22.0
Hydro,48.1764,16.4811,172.0
Hydro,47.1667,15.3333,12.0
Hydro,47.2354,12.0583,25.0
Hydro,46.7772,15.5842,14.0
Hydro,48.1766,16.4813,14.0
Hydro,47.2342,11.8997,200.0
Hydro,47.1333,15.35,11.0
Hydro,48.3553,16.2424,293.0
Hydro,47.6,14.7333,63.0
Hydro,47.6,14.7333,1.0
Hydro,48.5184,13.7076,132.0
Hydro,46.8142,12.7618,60.0
Hydro,47.2122,10.7215,89.0
Hydro,47.3932,11.7886,79.0
Hydro,47.0678,10.6652,392.0
Hydro,47.2078,11.0057,289.0
Hydro,47.2696,10.9678,500.0
Hydro,47.1985,12.7223,480.0
Hydro,47.1968,12.7192,113.0
Hydro,47.2591,12.7389,240.0
Hydro,46.67,13.6886,25.0
Hydro,47.2591,12.7389,1.0
Hydro,47.8314,14.1572,20.0
Hydro,46.975,10.043,525.0
Hydro,47.4412,13.2108,18.0
Hydro,46.8727,13.3117,45.0
Hydro,47.6833,14.7,30.0
Hydro,47.65,14.7167,25.0
Hydro,47.3,15.3167,18.0
Hydro,46.8522,15.5383,20.0
Hydro,47.3833,15.1,10.0
Hydro,47.9243,14.4367,39.0
Hydro,47.1485,11.8225,2.0
Hydro,47.074,9.874,280.0
Hydro,47.0659,13.3539,120.0
Hydro,47.0659,13.3539,730.0
Hydro,47.4,13.5667,6.0
Hydro,47.1581,11.8501,355.0
Hydro,48.2232,15.3042,187.0
Hydro,46.8833,15.5167,16.0
Hydro,40.1247,-8.7751,26.1
Hydro,46.8167,13.3167,2.0
Hydro,47.2167,14.4833,5.0
Hydro,47.6413,12.1989,60.0
Hydro,46.9271,10.0539,30.0
Hydro,46.745,15.5847,13.0
Hydro,48.3166,14.1512,179.0
Hydro,48.5536,13.4371,86.0
Hydro,46.7209,13.6453,24.0
Hydro,47.2,15.35,13.0
Hydro,47.3598,15.3424,22.0
Hydro,47.65,13.6667,2.0
Hydro,47.35,13.6833,14.0
Hydro,46.7333,15.5667,1.0
Hydro,47.085,9.8813,198.0
Hydro,47.0847,9.8744,295.0
Hydro,46.5696,14.0268,80.0
Hydro,48.489,14.6288,34.0
Hydro,48.3946,14.7302,30.0
Hydro,46.658,14.8726,79.0
Hydro,47.3152,13.1389,120.0
Hydro,47.5333,14.3667,6.0
Hydro,47.3386,13.1974,16.0
Hydro,47.4467,15.2849,10.0
Hydro,48.0076,12.8942,52.0
Hydro,47.3214,13.1744,16.0
Hydro,48.1007,14.4568,43.0
Hydro,46.7656,13.2717,1.0
Hydro,47.9333,14.35,40.0
Hydro,47.5,14.4667,10.0
Hydro,47.1485,11.8225,1.0
Hydro,47.3749,13.2101,16.0
Hydro,46.9684,10.0599,157.0
Hydro,48.1766,16.4814,172.0
Hydro,46.6329,13.8294,25.0
Hydro,47.192,9.6815,86.0
Hydro,47.316,13.141,13.0
Hydro,47.3833,12.6,5.0
Hydro,48.1666,14.6953,210.0
Hydro,46.8167,15.8667,1.0
