id,tech,capacity_mw,lcoe_total,lcoe_pre,lcoe_cons,lcoe_fixed,lcoe_var,lcoe_infra,lcoe_fuel,lcoe_carbon
DRAXD-2,biomass,2580.0,64.90945632568088,2.0637476395143626,41.859155346511265,13.984018264840183,6.999999999999999,0.002535074815074568,0.0,0.0
biomass_27,biomass,43.0,65.0590257397703,2.0637476395143626,41.85915534651127,13.984018264840184,7.0,0.15210448890447412,0.0,0.0
biomass_120,biomass,34.0,65.09928869271559,2.0637476395143626,41.859155346511265,13.984018264840184,6.999999999999999,0.19236744184977608,0.0,0.0
biomass_181,biomass,30.0,65.12493768496222,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.2180164340964129,0.0,0.0
biomass_199,biomass,40.0,65.07043357643812,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.16351232557230966,0.0,0.0
biomass_226,biomass,30.0,65.12493768496222,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.2180164340964129,0.0,0.0
biomass_352,biomass,30.0,65.12493768496222,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.2180164340964129,0.0,0.0
biomass_369,biomass,38.0,65.07903948831036,2.063747639514363,41.85915534651127,13.984018264840184,7.0,0.1721182374445365,0.0,0.0
biomass_401,biomass,68.0,65.0031049717907,2.0637476395143626,41.859155346511265,13.984018264840184,6.999999999999999,0.09618372092488804,0.0,0.0
biomass_402,biomass,70.0,65.00035686547857,2.063747639514363,41.859155346511265,13.984018264840183,6.999999999999999,0.09343561461274838,0.0,0.0
biomass_1103,biomass,37.0,65.0836913325656,2.063747639514363,41.85915534651127,13.984018264840186,7.0,0.17677008169979425,0.0,0.0
biomass_1162,biomass,140.0,64.95363905817219,2.063747639514363,41.859155346511265,13.984018264840183,6.999999999999999,0.04671780730637419,0.0,0.0
biomass_1163,biomass,140.0,64.95363905817219,2.063747639514363,41.859155346511265,13.984018264840183,6.999999999999999,0.04671780730637419,0.0,0.0
biomass_1164,biomass,140.0,64.95363905817219,2.063747639514363,41.859155346511265,13.984018264840183,6.999999999999999,0.04671780730637419,0.0,0.0
biomass_1185,biomass,40.0,65.07043357643812,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.16351232557230966,0.0,0.0
biomass_1186,biomass,55.0,65.02583930582749,2.0637476395143626,41.859155346511265,13.984018264840184,6.999999999999999,0.11891805496167974,0.0,0.0
biomass_1259,biomass,42.0,65.06264727522041,2.063747639514363,41.85915534651127,13.984018264840186,7.000000000000001,0.15572602435458063,0.0,0.0
biomass_1273,biomass,40.0,65.07043357643812,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.16351232557230966,0.0,0.0
biomass_1394,biomass,62.0,65.0124130738157,2.063747639514363,41.85915534651127,13.984018264840184,7.0,0.1054918229498772,0.0,0.0
biomass_1400,biomass,60.0,65.01592946791402,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.10900821704820644,0.0,0.0
biomass_1403,biomass,40.0,65.07043357643812,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.16351232557230966,0.0,0.0
biomass_1404,biomass,40.0,65.07043357643812,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.16351232557230966,0.0,0.0
biomass_1463,biomass,38.0,65.07903948831036,2.063747639514363,41.85915534651127,13.984018264840184,7.0,0.1721182374445365,0.0,0.0
biomass_1608,biomass,38.0,65.07903948831036,2.063747639514363,41.85915534651127,13.984018264840184,7.0,0.1721182374445365,0.0,0.0
biomass_1611,biomass,42.0,65.06264727522041,2.063747639514363,41.85915534651127,13.984018264840186,7.000000000000001,0.15572602435458063,0.0,0.0
biomass_1625,biomass,35.0,65.09379248009131,2.063747639514363,41.859155346511265,13.984018264840183,6.999999999999999,0.18687122922549676,0.0,0.0
biomass_1632,biomass,44.0,65.05556881956791,2.0637476395143626,41.859155346511265,13.984018264840184,7.0,0.1486475687020997,0.0,0.0
biomass_1665,biomass,44.0,65.05556881956791,2.0637476395143626,41.859155346511265,13.984018264840184,7.0,0.1486475687020997,0.0,0.0
biomass_1671,biomass,44.0,65.05556881956791,2.0637476395143626,41.859155346511265,13.984018264840184,7.0,0.1486475687020997,0.0,0.0
biomass_1681,biomass,43.0,65.0590257397703,2.0637476395143626,41.85915534651127,13.984018264840184,7.0,0.15210448890447412,0.0,0.0
biomass_1784,biomass,50.0,65.03773111132367,2.0637476395143626,41.859155346511265,13.984018264840184,6.999999999999999,0.13080986045784773,0.0,0.0
biomass_1789,biomass,30.0,65.12493768496222,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.2180164340964129,0.0,0.0
biomass_1790,biomass,49.0,65.04040070031259,2.0637476395143626,41.85915534651127,13.984018264840184,6.999999999999999,0.1334794494467834,0.0,0.0
biomass_1795,biomass,49.0,65.04040070031259,2.0637476395143626,41.85915534651127,13.984018264840184,6.999999999999999,0.1334794494467834,0.0,0.0
LARKS-1,PV(50kW+),49.9,40.10832523221977,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,1.7781596843165324,0.0,0.0
solar_21771,PV(50kW+),24.7,41.92248005184636,3.3273813092773117,25.351476642112853,9.651307596513076,0.0,3.5923145039431166,0.0,0.0
solar_21780,PV(50kW+),24.2,41.99670142589477,3.3273813092773117,25.351476642112853,9.651307596513076,0.0,3.6665358779915276,0.0,0.0
solar_21781,PV(50kW+),20.0,42.76667396027299,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,4.436508412369749,0.0,0.0
solar_21784,PV(50kW+),21.0,42.555411654922054,3.327381309277312,25.351476642112853,9.651307596513078,0.0,4.225246107018808,0.0,0.0
solar_21789,PV(50kW+),25.0,41.87937227779904,3.3273813092773117,25.351476642112853,9.651307596513078,0.0,3.549206729895799,0.0,0.0
solar_21805,PV(50kW+),31.8,41.12042241102886,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,2.790256863125628,0.0,0.0
solar_21809,PV(50kW+),29.0,41.389826521951335,3.3273813092773117,25.35147664211285,9.651307596513078,0.0,3.0596609740481027,0.0,0.0
solar_21813,PV(50kW+),37.0,40.72827820323823,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,2.3981126553349994,0.0,0.0
solar_21814,PV(50kW+),28.0,41.49910012816734,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,3.1689345802641062,0.0,0.0
solar_21826,PV(50kW+),31.6,41.13808226459295,3.3273813092773117,25.35147664211285,9.651307596513078,0.0,2.8079167166897143,0.0,0.0
solar_21831,PV(50kW+),40.0,40.548419754088115,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,2.2182542061848745,0.0,0.0
solar_21842,PV(50kW+),24.0,42.0272558915447,3.3273813092773117,25.351476642112846,9.651307596513076,0.0,3.6970903436414573,0.0,0.0
solar_21852,PV(50kW+),41.0,40.49431599296165,3.3273813092773117,25.351476642112853,9.651307596513076,0.0,2.164150445058414,0.0,0.0
solar_21862,PV(50kW+),21.3,42.49590114637249,3.3273813092773112,25.35147664211285,9.651307596513076,0.0,4.165735598469247,0.0,0.0
solar_21864,PV(50kW+),20.0,42.76667396027299,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,4.436508412369749,0.0,0.0
solar_21865,PV(50kW+),36.0,40.7948924436642,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,2.4647268957609714,0.0,0.0
solar_21874,PV(50kW+),23.0,42.187998949963884,3.3273813092773112,25.351476642112846,9.651307596513076,0.0,3.8578334020606504,0.0,0.0
solar_21880,PV(50kW+),20.0,42.76667396027299,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,4.436508412369749,0.0,0.0
solar_21887,PV(50kW+),30.0,41.28783782281641,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,2.9576722749131656,0.0,0.0
solar_21899,PV(50kW+),40.0,40.548419754088115,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,2.2182542061848745,0.0,0.0
solar_21909,PV(50kW+),31.3,41.164995204369525,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,2.834829656466293,0.0,0.0
