id,tech,capacity_mw,lcoe_per_mwh,pv_total_costs,pv_generation_mwh,pv_pre_capex_per_mw,pv_construction_capex_per_mw,pv_fixed_opex_per_mw,pv_variable_opex_per_mw,pv_pre_capex,pv_construction_capex,pv_fixed_opex,pv_variable_opex,pv_infra,lcoe_pre,lcoe_cons,lcoe_fixed,lcoe_var,lcoe_infra,lcoe_fuel,lcoe_carbon,capex_df,build_years
DRAXD-2,biomass,2580.0,64.90945632568088,9788218997.353376,150798043.17326796,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,311209105.6422167,6312278715.139736,2108762590.0371375,1055586302.2128756,382284.321411079,2.0637476395143626,41.859155346511265,13.984018264840183,6.999999999999999,0.002535074815074568,0.0,0.0,0.7709439463628691,5
biomass_27,biomass,43.0,65.0590257397703,163512896.2052772,2513300.7195544657,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,5186818.427370278,105204645.25232895,35146043.16728563,17593105.03688126,382284.321411079,2.0637476395143626,41.85915534651127,13.984018264840184,7.0,0.15210448890447412,0.0,0.0,0.7709439463628691,5
biomass_120,biomass,34.0,65.09928869271559,129369279.764468,1987261.0340663218,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,4101205.268153243,83185068.33905078,27789894.597388636,13910827.238464251,382284.321411079,2.0637476395143626,41.859155346511265,13.984018264840184,6.999999999999999,0.19236744184977608,0.0,0.0,0.7709439463628691,5
biomass_181,biomass,30.0,65.12493768496222,114194339.12410836,1753465.6182938134,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,3618710.5307234502,73398589.71092717,24520495.23298997,12274259.328056693,382284.321411079,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.2180164340964129,0.0,0.0,0.7709439463628691,5
biomass_199,biomass,40.0,65.07043357643812,152131690.72500744,2337954.1577250846,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,4824947.374297934,97864786.28123623,32693993.643986627,16365679.10407559,382284.321411079,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.16351232557230966,0.0,0.0,0.7709439463628691,5
biomass_226,biomass,30.0,65.12493768496222,114194339.12410836,1753465.6182938134,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,3618710.5307234502,73398589.71092717,24520495.23298997,12274259.328056693,382284.321411079,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.2180164340964129,0.0,0.0,0.7709439463628691,5
biomass_352,biomass,30.0,65.12493768496222,114194339.12410836,1753465.6182938134,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,3618710.5307234502,73398589.71092717,24520495.23298997,12274259.328056693,382284.321411079,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.2180164340964129,0.0,0.0,0.7709439463628691,5
biomass_369,biomass,38.0,65.07903948831036,144544220.40482762,2221056.44983883,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,4583700.005583037,92971546.96717441,31059293.9617873,15547395.148871811,382284.321411079,2.063747639514363,41.85915534651127,13.984018264840184,7.0,0.1721182374445365,0.0,0.0,0.7709439463628691,5
biomass_401,biomass,68.0,65.0031049717907,258356275.20752493,3974522.0681326436,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,8202410.536306486,166370136.67810157,55579789.19477727,27821654.476928502,382284.321411079,2.0637476395143626,41.859155346511265,13.984018264840184,6.999999999999999,0.09618372092488804,0.0,0.0,0.7709439463628691,5
biomass_402,biomass,70.0,65.00035686547857,265943745.52770475,4091419.776018898,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,8443657.905021384,171263375.9921634,57214488.8769766,28639938.43213228,382284.321411079,2.063747639514363,41.859155346511265,13.984018264840183,6.999999999999999,0.09343561461274838,0.0,0.0,0.7709439463628691,5
