bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
BA5-220,220,f,Substation,f,BA5,19.069671123159036,44.40383966176981,BA,POINT (19.069671123159033 44.40383966176981)
BA5-400,400,f,Substation,f,BA5,19.06996587767301,44.40400620882524,BA,POINT (19.06996587767301 44.40400620882524)
BA6-220,220,f,Substation,f,BA6,17.962361357541017,44.19172867704639,BA,POINT (17.962361357541017 44.191728677046385)
BA7-220,220,f,Substation,f,BA7,18.106497799999985,44.11134848994992,BA,POINT (18.106497799999985 44.11134848994992)
BA8-220,220,f,Substation,f,BA8,18.0602515,44.09301888993531,BA,POINT (18.0602515 44.09301888993531)
BA9-220,220,f,Substation,f,BA9,18.109364416888965,44.0815467972944,BA,POINT (18.109364416888965 44.0815467972944)
BE1-220,220,f,Substation,f,BE1,2.917741900000007,51.61979549456939,BE,POINT (2.917741900000007 51.61979549456939)
BE10-380,380,f,Substation,f,BE10,4.219809076841336,50.7619442021603,BE,POINT (4.219809076841336 50.7619442021603)
BE13-220,220,f,Substation,f,BE13,5.535898900000001,50.58218819409009,BE,POINT (5.535898900000001 50.58218819409009)
BE14-380,380,f,Substation,f,BE14,4.9164197130267375,50.50924454541306,BE,POINT (4.9164197130267375 50.50924454541306)
BE15-380,380,f,Substation,f,BE15,4.526833310508871,50.49476941493496,BE,POINT (4.526833310508871 50.494769414934964)
BE16-380,380,f,Substation,f,BE16,4.544039199999991,50.45753709402926,BE,POINT (4.5440391999999905 50.45753709402926)
BE17-220,220,f,Substation,f,BE17,5.6620236,49.99339089379639,BE,POINT (5.6620236 49.99339089379639)
BE2-220,220,f,Substation,f,BE2,2.8685830000000023,51.582366994552885,BE,POINT (2.8685830000000023 51.582366994552885)
BE3-220,220,f,Substation,f,BE3,2.9188744000000075,51.57556789454989,BE,POINT (2.9188744000000075 51.57556789454989)
BE4-220,220,f,Substation,f,BE4,2.9914999999999985,51.51349999452243,BE,POINT (2.9914999999999985 51.51349999452243)
BE5-380,380,f,Substation,f,BE5,4.272352832602837,51.34934851722876,BE,POINT (4.272352832602837 51.34934851722876)
BE6-380,380,f,Substation,f,BE6,4.232017628917226,51.02226309810264,BE,POINT (4.232017628917226 51.02226309810264)
BE7-380,380,f,Substation,f,BE7,5.5420586,50.9230047942528,BE,POINT (5.5420586 50.9230047942528)
BE8-380,380,f,Substation,f,BE8,5.544037500000003,50.907835194245685,BE,POINT (5.544037500000003 50.907835194245685)
BE9-380,380,f,Substation,f,BE9,5.558727999999995,50.80723419419813,BE,POINT (5.558727999999995 50.80723419419813)
BG1-400,400,f,Substation,f,BG1,23.64987310803169,43.79158571027558,BG,POINT (23.64987310803169 43.79158571027558)
BG10-220,220,f,Substation,f,BG10,23.96655736405858,43.4874152581174,BG,POINT (23.96655736405858 43.4874152581174)
BG10-400,400,f,Substation,f,BG10,23.96686118252689,43.4875674336775,BG,POINT (23.966861182526895 43.4875674336775)
BG11-400,400,f,Substation,f,BG11,23.35443679482273,43.45280400132524,BG,POINT (23.35443679482273 43.45280400132524)
BG12-400,400,f,Substation,f,BG12,27.579463396207032,43.42832624102062,BG,POINT (27.579463396207032 43.42832624102062)
BG13-400,400,f,Substation,f,BG13,27.585074516194407,43.41349366038322,BG,POINT (27.585074516194407 43.41349366038322)
BG14-220,220,f,Substation,f,BG14,24.58850549999999,43.39653238936978,BG,POINT (24.58850549999999 43.39653238936978)
BG15-400,400,f,Substation,f,BG15,27.56230851532668,43.38373864227841,BG,POINT (27.562308515326677 43.38373864227841)
BG16-400,400,f,Substation,f,BG16,27.55635821556136,43.36470593400288,BG,POINT (27.55635821556136 43.36470593400288)
BG17-400,400,f,Substation,f,BG17,27.563097112175065,43.313695002549615,BG,POINT (27.563097112175065 43.313695002549615)
