transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,s_nom,geometry
DE73-220-380,DE73-220,DE73-380,220,380,3397,'LINESTRING (6.646240660261792 51.6070171984416, 6.646532540367632 51.60721638506907)'
DE74-220-380,DE74-220,DE74-380,220,380,3397,'LINESTRING (6.659488155160946 51.5994483147769, 6.659780045468268 51.5996474687237)'
DE77-220-380,DE77-220,DE77-380,220,380,3397,'LINESTRING (6.703760587789809 51.558300369301975, 6.704052412838204 51.55849941414412)'
DE80-220-380,DE80-220,DE80-380,220,380,6793,'LINESTRING (7.134048217373065 51.552274977386226, 7.13434186775489 51.552472954014846)'
DE87-220-380,DE87-220,DE87-380,220,380,5095,'LINESTRING (7.147695502069386 51.504611179419676, 7.14798891069284 51.504809122670146)'
DE89-220-380,DE89-220,DE89-380,220,380,3397,'LINESTRING (7.10416325241841 51.47847583973024, 7.1044563088784365 51.47867389177694)'
DE96-220-380,DE96-220,DE96-380,220,380,6793,'LINESTRING (7.427419383769192 51.428713068832394, 7.427713516633729 51.428910314589444)'
DK16-380-400,DK16-380,DK16-400,380,400,1788,'LINESTRING (9.321915799220022 54.80573219043113, 9.32224240154643 54.80592459663752)'
ES103-220-400,ES103-220,ES103-400,220,400,3575,'LINESTRING (-7.227225091778386 42.283844542595375, -7.227028036007776 42.28407405462945)'
ES12-220-400,ES12-220,ES12-400,220,400,3575,'LINESTRING (-3.0538614802526163 43.33785193976023, -3.0536460336570066 43.33807327645732)'
ES18-220-400,ES18-220,ES18-400,220,400,3575,'LINESTRING (-5.9017026093077884 43.32204967116984, -5.901497837130205 43.322276597164034)'
ES199-220-400,ES199-220,ES199-400,220,400,5363,'LINESTRING (0.8651093939366029 40.951153356358745, 0.8653310617480522 40.95136674797601)'
ES257-220-400,ES257-220,ES257-400,220,400,7150,'LINESTRING (-0.002023534382151 39.95793728967189, -0.0018077566858197 39.958152703543085)'
FR128-225-400,FR128-225,FR128-400,225,400,3575,'LINESTRING (4.693057644609545 46.27938872609994, 4.69331316157731 46.27959285490678)'
FR136-225-400,FR136-225,FR136-400,225,400,10725,'LINESTRING (5.010640767576626 45.874219485635855, 5.01089564148745 45.87442289794865)'
